"date","source_pm2p5.x","Org.x","NH4.x","SO4.x","NO3.x","Chl.x","source_pm2p5.y","Org.y","NH4.y","SO4.y","NO3.y","Chl.y","PM1","PM2p5","PM10","qc_flag_Org.x","qc_flag_NH4.x","qc_flag_SO4.x","qc_flag_NO3.x","qc_flag_Chl.x","qc_flag_Org.y","qc_flag_NH4.y","qc_flag_SO4.y","qc_flag_NO3.y","qc_flag_Chl.y","qc_flag_PM1","qc_flag_PM2p5","qc_flag_PM10"
2022-05-01,"BAQS",0.0442503898821611,0.496127222028961,0.658305244008136,0.848262151936306,0,"BAQS",0.0442503898821611,0.496127222028961,0.658305244008136,0.848262151936306,0,NA,NA,NA,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",2,2,2
2022-05-01 01:00:00,"BAQS",3.28809013690527,0.40481779007231,0.677945563892237,0.792915516259037,0.0187859937417559,"BAQS",3.28809013690527,0.40481779007231,0.677945563892237,0.792915516259037,0.0187859937417559,NA,NA,NA,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",2,2,2
2022-05-01 02:00:00,"BAQS",0,0.387121346565821,0.554054337326471,0.680267844136274,0,"BAQS",0,0.387121346565821,0.554054337326471,0.680267844136274,0,NA,NA,NA,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",2,2,2
2022-05-01 03:00:00,"BAQS",0.00349653998045096,0.0923101451190325,0.446092250955255,0.223470670634332,0.0654543495696671,"BAQS",0.00349653998045096,0.0923101451190325,0.446092250955255,0.223470670634332,0.0654543495696671,NA,NA,NA,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",2,2,2
2022-05-01 04:00:00,"BAQS",1.02706464981192,0.188659712620365,0.342401034862742,0.19484691021223,0,"BAQS",1.02706464981192,0.188659712620365,0.342401034862742,0.19484691021223,0,NA,NA,NA,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",3,3,3
2022-05-01 05:00:00,"BAQS",0,0.170806743772238,0.437318993961723,0.429376808969619,0,"BAQS",0,0.170806743772238,0.437318993961723,0.429376808969619,0,NA,NA,NA,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",2,2,2
2022-05-01 06:00:00,"BAQS",0,0.301677129813731,0.43483951846369,0.518339751922863,0,"BAQS",0,0.301677129813731,0.43483951846369,0.518339751922863,0,4.72424218333333,5.69110125,7.43201215,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",1,1,1
2022-05-01 07:00:00,"BAQS",0,0.333774170927658,0.385092504515319,0.506383254928923,0,"BAQS",0,0.333774170927658,0.385092504515319,0.506383254928923,0,5.78975235,6.75960281666667,8.21141066666667,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",1,1,1
2022-05-01 08:00:00,"BAQS",0,0.318201286497928,0.341094140280487,0.565289466023232,0,"BAQS",0,0.318201286497928,0.341094140280487,0.565289466023232,0,6.41367538333333,7.44660676666667,9.42658481666667,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",1,1,1
2022-05-01 09:00:00,"BAQS",0.918742779612583,0.479615969756403,0.682387568739947,0.811147020506148,0.0269585966704665,"BAQS",0.918742779612583,0.479615969756403,0.682387568739947,0.811147020506148,0.0269585966704665,5.38019108333333,6.33242218333333,7.99199361666667,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",1,1,1
2022-05-01 10:00:00,"BAQS",1.87053248784713,0.535337769294481,0.946161549482238,0.960669894435829,0,"BAQS",1.87053248784713,0.535337769294481,0.946161549482238,0.960669894435829,0,7.02110613333333,7.8160917,9.12356851666667,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",1,1,1
2022-05-01 11:00:00,"BAQS",3.43733787410667,0.552975079779757,0.755992524041947,0.906085696179263,0.0119649499515796,"BAQS",3.43733787410667,0.552975079779757,0.755992524041947,0.906085696179263,0.0119649499515796,10.0042270666667,10.7822156,12.0297789666667,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",1,1,1
2022-05-01 12:00:00,"BAQS",2.68998188134088,0.479448751695316,0.575981451746575,0.884033354859808,0.0860850013452393,"BAQS",2.68998188134088,0.479448751695316,0.575981451746575,0.884033354859808,0.0860850013452393,9.39872565,10.1170252166667,11.3408259833333,"2b","2b","2b","2b","2b","2b","2b","2b","2b","2b",1,1,1
