"date","source_pm2p5","Org","NH4","SO4","NO3","Chl","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","PM1","PM2p5","PM10","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm","qc_flag_PM1","qc_flag_PM2p5","qc_flag_PM10"
2020-12-01,"BAQS",1.58408542972067,0.324650039738549,0.341108475299843,0.528675936421961,0,0.374916666666667,0.3521,0.330883333333333,0.321216666666667,2.80805882352941,0.293866666666667,0.295066666666667,3.01363466666667,5.9598775,11.4865745333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-12-01 01:00:00,"BAQS",1.15777480757744,0.621453131931514,0.499417219368445,0.385728016667165,0,0.360233333333333,0.345316666666667,0.325,0.31685,4.76169230769231,0.289583333333333,0.29325,2.90962711666667,5.62564696666667,10.76851305,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-12-01 02:00:00,"BAQS",1.27123218841173,0.03942152141561,0.0378786613960933,0.50342066346375,0,0.28305,0.271266666666667,0.25585,0.249033333333333,12.5658484848485,0.22805,0.229883333333333,2.67232718333333,5.31168463333333,10.7002597166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-12-01 03:00:00,"BAQS",1.32184321100425,0.186210910736745,0.228583228769882,0.506527734729972,0,0.246916666666667,0.240033333333333,0.226716666666667,0.222166666666667,10.0165925925926,0.201916666666667,0.205133333333333,2.32052385,4.43295928333333,8.25147745,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-12-01 04:00:00,"BAQS",1.2257927099145,0.326492610401505,0.193667947990093,0.500900549136176,0,0.2378,0.23155,0.218716666666667,0.212733333333333,1.3761935483871,0.19215,0.1944,2.1204631,3.81217416666667,6.23602171666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-12-01 05:00:00,"BAQS",1.27218407277055,0,0.0509631782709408,0.414743951199641,0,0.32875,0.327183333333333,0.309966666666667,0.30425,1.95777419354839,0.283166666666667,0.286583333333333,2.09228285,3.68355355,6.31087305,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-12-01 06:00:00,"BAQS",1.16134237257584,0.249929406798804,0.287365683859647,0.730914401061832,0,0.44935,0.445066666666667,0.422816666666667,0.4149,4.10353333333333,0.38505,0.390716666666667,2.3815359,3.95882041666667,7.19803546666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-12-01 07:00:00,"BAQS",1.98664658339216,0.791580259617311,0,0.95155618503598,0,0.99325,0.999683333333333,0.950516666666667,0.93405,14.3289333333333,0.869716666666667,0.88035,3.02420501666667,4.66488336666667,7.60999568333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-12-01 08:00:00,"BAQS",3.08059632729648,0.818439127454441,0.498530007297336,1.11473084542356,0,1.44321666666667,1.44206666666667,1.3656,1.3369,12.6821612903226,1.23161666666667,1.24956666666667,3.6009296,5.27271765,8.1965179,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-12-01 09:00:00,"BAQS",4.73751498410951,0.934005141947838,0.303248754501756,1.36107924302157,0,2.05993333333333,1.9882,1.85606666666667,1.79486666666667,4.257425,1.6119,1.6301,5.32848448333333,7.29412701666667,12.6743148666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-12-01 10:00:00,"BAQS",4.30920695606506,0.837980102325517,0.210209002710547,1.63205107359789,0,1.90206666666667,1.87481666666667,1.7658,1.7188,9.76716129032258,1.5621,1.58261666666667,5.57703358333333,7.88881036666667,15.4636951333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
