"date","source_pm2p5","Org","NH4","SO4","NO3","Chl","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","PM1","PM2p5","PM10","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm","qc_flag_PM1","qc_flag_PM2p5","qc_flag_PM10"
2021-06-01,"BAQS",5.30287291060112,1.24180016176912,0.897240712884489,0.754451611126067,0,0.540533333333333,0.521483333333333,0.494083333333333,0.48185,0.452766666666667,0.43675,0.438183333333333,8.72214015,9.94134446666667,13.2725017,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 01:00:00,"BAQS",5.22418464918284,0.909181260779643,0.838050503209546,0.773641088327739,0.010131547251699,0.688766666666667,0.67175,0.638833333333333,0.625533333333333,0.588433333333333,0.5701,0.573266666666667,8.30599905,9.59820098333333,12.4987893,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 02:00:00,"BAQS",5.97671565373862,1.27856568862446,1.06252768352324,1.31040359382735,0.029781027002543,0.752333333333333,0.7334,0.6978,0.683816666666667,0.645083333333333,0.6226,0.6271,8.08304623333333,9.35626063333333,12.4076337666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 03:00:00,"BAQS",5.88768163468948,1.58987973758761,0.976395890088638,1.72475443691117,0,0.74595,0.715433333333333,0.677616666666667,0.660066666666667,0.62175,0.596366666666667,0.599616666666667,9.70791258333333,11.039818,13.81258195,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 04:00:00,"BAQS",6.69684381780355,1.76647069851564,0.870779176785049,1.90461159214055,0,1.07791666666667,1.04316666666667,0.984183333333333,0.958933333333333,0.898716666666667,0.86195,0.867766666666667,10.4297046,11.7788035333333,14.3954761,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 05:00:00,"BAQS",5.88258703557976,2.26859066170639,0.995123226244636,2.85412895402788,0,1.06696666666667,1.04143333333333,0.988166666666667,0.962533333333333,0.907916666666667,0.87505,0.881133333333333,11.2889968833333,12.6613089333333,15.5491591833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 06:00:00,"BAQS",5.26739665490166,1.83560508480443,0.811324160020728,1.9967348145959,0,0.9426,0.92375,0.874933333333333,0.853133333333333,0.8017,0.775216666666667,0.780216666666667,12.55340955,14.2763168166667,18.4027351166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 07:00:00,"BAQS",4.98314920422413,1.72283147114144,0.987432287819927,2.13057116707019,0.0255484772571483,1.19785714285714,1.08110714285714,1.01232142857143,0.997357142857143,0.956517857142857,0.928714285714286,0.937910714285714,11.0589220666667,12.8884720333333,17.37896625,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 08:00:00,"BAQS",5.05787481379887,1.85448890448889,0.76483820958279,2.08384896983329,0,1.21721666666667,1.1713,1.09796666666667,1.07728333333333,1.03548333333333,1.00133333333333,1.00421666666667,10.7822112166667,13.1197191166667,20.3600349833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 09:00:00,"BAQS",5.42338778356197,2.14689149806286,0.878032849562505,2.23201352213445,0,1.2596,1.26696666666667,1.1997,1.18153333333333,1.1377,1.09331666666667,1.09895,11.5424437333333,14.2655712333333,24.47625115,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 10:00:00,"BAQS",5.73807367337624,1.94342833584402,1.23614354754259,1.28241137239272,0.0145452428497129,0.781383333333333,0.779466666666667,0.737866666666667,0.723616666666667,0.69305,0.649033333333333,0.65215,11.8901366166667,14.6598079333333,24.7508159166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 11:00:00,"BAQS",5.90453171293454,0.992957069296782,1.22846669469198,0.529053630453005,0,0.515166666666667,0.503016666666667,0.475716666666667,0.46535,0.446133333333333,0.4136,0.415383333333333,10.6561285833333,13.1357951333333,23.1768969666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 12:00:00,"BAQS",5.67569942912284,0.981190663192738,0.993845611952586,0.408961731281157,0.0176769652423231,0.465254237288136,0.44435593220339,0.419423728813559,0.410627118644068,0.393372881355932,0.377140350877193,0.383543859649123,7.77076723333333,9.6270867,17.7523112666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 13:00:00,"BAQS",5.95634576682477,1.05956191678024,0.998912279311349,0.413039386979316,0,0.5826,0.565166666666667,0.534966666666667,0.525716666666667,0.506366666666667,0.485322033898305,0.489864406779661,6.53044101666667,7.95193846666667,13.3720588833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 14:00:00,"BAQS",6.68752704141713,1.10059239362511,1.50053561710732,0.453285516292944,0.0197037056617979,0.5327,0.5106,0.4831,0.472733333333333,0.453283333333333,0.427237288135593,0.431762711864407,6.02899646666667,7.28113226666667,12.7138606833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 15:00:00,"BAQS",6.57982006039126,1.13046285536907,1.38252574909223,0.516754516856369,0,0.614116666666667,0.593416666666667,0.562033333333333,0.552,0.530483333333333,0.50564406779661,0.5205,7.51469875,8.94320955,14.5773834666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 16:00:00,"BAQS",6.17414939695837,0.986336066148344,1.16158610386106,0.398462963669442,0.00281200269610333,0.47575,0.45825,0.431466666666667,0.420483333333333,0.4005,0.3721,0.37535,7.6125702,9.07684653333333,14.6718531666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 17:00:00,"BAQS",5.58015380314742,0.594636445251482,0.69734085660066,0.330870319838217,0.00472881245588555,0.456783333333333,0.436133333333333,0.408883333333333,0.3986,0.378733333333333,0.35785,0.359716666666667,6.70637803333333,8.12747783333333,14.3463004833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 18:00:00,"BAQS",5.02562980288351,0.607971336327637,0.561049043999285,0.280419260019282,0,0.444633333333333,0.421116666666667,0.395516666666667,0.385266666666667,0.36415,0.352116666666667,0.351883333333333,5.4147343,6.57099571666667,12.5754376666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 19:00:00,"BAQS",5.34265641108919,0.763568345430203,0.726969980199712,0.283061703750778,0.0031486120204431,0.492733333333333,0.466816666666667,0.4375,0.425883333333333,0.400083333333333,0.389883333333333,0.387516666666667,5.38442381666667,6.5215839,11.9089522,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 20:00:00,"BAQS",5.29439441818882,0.682283061824299,0.696970937252233,0.303384183251604,0,0.60235,0.56885,0.53395,0.52045,0.4889,0.477766666666667,0.477866666666667,5.6400496,6.85470023333333,12.1446359,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-01 21:00:00,"BAQS",5.85933249500093,0.704358311965641,0.502461117732334,0.355558472202476,0.0107862728860385,1.0151,0.879,0.8031,0.767066666666667,0.7101,0.672516666666667,0.669916666666667,NA,NA,NA,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",2,2,2
2021-06-01 22:00:00,"BAQS",6.67713464842799,0.737839030720355,0.625241416957751,0.498696128156653,0,0.994733333333333,0.9067,0.840283333333333,0.8107,0.757,0.723966666666667,0.72675,NA,NA,NA,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",2,2,2
2021-06-01 23:00:00,"BAQS",6.71428889804154,0.834531164242266,0.787609038894637,0.702335189887688,0.0234295820965485,1.324,1.24538333333333,1.16728333333333,1.1357,1.0689,1.03265,1.04023333333333,7.50799415,8.7506064,13.9857209,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02,"BAQS",6.57102924480548,1.1540271533469,0.741869501537183,1.00253354472769,0,1.12041666666667,1.0811,1.02258333333333,1.00078333333333,0.943983333333333,0.916216666666667,0.924083333333333,7.58766331666667,8.96961536666667,14.56697055,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 01:00:00,"BAQS",6.88262673778215,1.31544219260825,0.800988826841542,1.52093317412536,0.0153887263606295,0.971133333333333,0.93745,0.887733333333333,0.869333333333333,0.82105,0.800283333333333,0.807483333333333,8.88932838333333,10.4485837,15.9858012166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 02:00:00,"BAQS",6.18483717423532,1.67177580254209,0.800786126951939,1.90755451185537,0,0.9097,0.888266666666667,0.843283333333333,0.826666666666667,0.780166666666667,0.762066666666667,0.769633333333333,10.2302651333333,11.8000657833333,16.9965462166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 03:00:00,"BAQS",6.60773870340322,1.92326877136455,0.695089283751054,2.49868680777684,0,0.94675,0.93785,0.8961,0.881716666666667,0.837166666666667,0.822766666666667,0.831683333333333,10.7922677166667,12.3926206666667,17.1339366166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 04:00:00,"BAQS",6.51053184263283,2.56692470871066,0.954538285542605,3.86820778074279,0.0117399259685636,0.9842,0.991766666666667,0.95105,0.9417,0.89605,0.887333333333333,0.898716666666667,11.8845570166667,13.55897855,19.04725545,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 05:00:00,"BAQS",6.61139651838301,3.17236556095168,0.864039307989405,4.80028079600921,0,1.0901,1.1059,1.0629,1.04888333333333,1.00205,0.994633333333333,1.00905,14.6111165166667,16.4245821833333,21.91186805,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 06:00:00,"BAQS",6.50409664663179,3.24378091167438,0.896269003710934,5.56029320764496,0,1.14355357142857,1.04805357142857,0.992392857142857,0.981267857142857,0.940107142857143,0.926857142857143,0.938607142857143,15.85952575,17.8893827333333,23.6645582333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 07:00:00,"BAQS",6.13868616437341,3.04515169871851,1.00758695007432,4.3818203134034,0,1.32906666666667,1.2954,1.22081666666667,1.19931666666667,1.15275,1.12771666666667,1.13221666666667,16.9815851666667,19.5025835166667,27.0546595,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 08:00:00,"BAQS",6.1712637510661,2.43767539098928,1.01723793654082,3.42245346838167,0.00317893235451071,1.393,1.40543333333333,1.33173333333333,1.30966666666667,1.25676666666667,1.21626666666667,1.2239,15.8011924333333,19.0218547833333,30.45381695,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 09:00:00,"BAQS",6.41305473508308,2.09715536201883,0.968403964441973,2.52170698842732,0,1.13928333333333,1.12626666666667,1.0625,1.0407,0.996316666666667,0.950116666666667,0.957033333333333,14.011103,17.6343168,30.4989946833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 10:00:00,"BAQS",6.24760662568473,1.37760433706091,0.880299852153292,1.32632135279985,0,1.02531666666667,0.999416666666667,0.93835,0.915466666666667,0.872916666666667,0.823783333333333,0.8311,12.6020933833333,15.96288285,28.2172870833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 11:00:00,"BAQS",6.75391023004778,1.09525362538049,0.847497275064032,0.898497024526174,0,0.7943,0.753633333333333,0.7037,0.6835,0.650566666666667,0.614830508474576,0.621661016949153,9.96766131666667,13.2909619166667,27.64765865,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 12:00:00,"BAQS",6.21184314451101,0.852874768684506,0.752399549313096,0.417940766472789,0.00950351205567718,0.718433333333333,0.684733333333333,0.642983333333333,0.627683333333333,0.600683333333333,0.559683333333333,0.567516666666667,8.32119098333333,10.9815459,22.4674590166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 13:00:00,"BAQS",6.95438613412464,0.803871651377482,0.986474723050308,0.479363316547827,0.0146163913607565,0.818983333333333,0.791633333333333,0.747966666666667,0.73225,0.701866666666667,0.65405,0.687293103448276,6.58194803333333,8.43340058333333,17.5077379333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 14:00:00,"BAQS",7.22931459885177,0.855277712955474,0.911208656291326,0.500695595647288,0,0.779322033898305,0.740866666666667,0.698216666666667,0.68205,0.665254237288136,0.619406779661017,0.640913793103448,7.19639275,9.05766043333333,17.4799407833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 15:00:00,"BAQS",6.21932137330825,0.87776821763765,0.744520680380258,0.323872945977782,0,0.694576271186441,0.658440677966102,0.614796610169491,0.597525423728813,0.572084745762712,0.539362068965517,0.550103448275862,7.12702843333333,8.89056411666667,16.6042824,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 16:00:00,"BAQS",6.95125546287942,0.738808110506574,0.657434938627395,0.568864108847102,0.0011077038298626,1.19035,1.16633333333333,1.11151666666667,1.09625,1.0618,1.0198,1.04071666666667,6.4532355,8.05117181666667,16.3649707,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 17:00:00,"BAQS",8.09527617547901,0.938894154982408,0.649149424025269,0.827400479366405,0.0645159587034141,1.61983333333333,1.5779,1.49303333333333,1.466,1.41173333333333,1.35456666666667,1.38076666666667,6.93413333333333,8.82063653333333,18.4765275166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2021-06-02 18:00:00,"BAQS",9.20200734014472,0.914408817266176,0.775552229223075,0.865833845522557,0,1.78003333333333,1.70081666666667,1.60013333333333,1.56401666666667,1.49228333333333,1.42996666666667,1.45188333333333,9.08464525,10.9990480333333,18.2631933166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
