"date","source_pm2p5","Org","NH4","SO4","NO3","Chl","BC_370_nm.x","BC_470_nm.x","BC_520_nm.x","BC_590_nm.x","BC_660_nm.x","BC_880_nm.x","BC_950_nm.x","BC_370_nm.y","BC_470_nm.y","BC_520_nm.y","BC_590_nm.y","BC_660_nm.y","BC_880_nm.y","BC_950_nm.y","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl","qc_flag_BC_370_nm.x","qc_flag_BC_470_nm.x","qc_flag_BC_520_nm.x","qc_flag_BC_590_nm.x","qc_flag_BC_660_nm.x","qc_flag_BC_880_nm.x","qc_flag_BC_950_nm.x","qc_flag_BC_370_nm.y","qc_flag_BC_470_nm.y","qc_flag_BC_520_nm.y","qc_flag_BC_590_nm.y","qc_flag_BC_660_nm.y","qc_flag_BC_880_nm.y","qc_flag_BC_950_nm.y"
2021-10-01,NA,1.37447152685321,0.550333298388596,0.64078151968509,0.750501116348008,0,0.14235593220339,0.137616666666667,0.13095,0.13025,0.12215,0.122433333333333,0.12385,0.14235593220339,0.137616666666667,0.13095,0.13025,0.12215,0.122433333333333,0.12385,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 01:00:00,"LW",1.73291134212374,0.48609354443951,0.365084396602886,0.261155150092117,0,0.10715,0.1105,0.107533333333333,0.107333333333333,0.102216666666667,0.0979666666666667,0.0993833333333333,0.10715,0.1105,0.107533333333333,0.107333333333333,0.102216666666667,0.0979666666666667,0.0993833333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 02:00:00,"LW",0.416055887896952,0.663647562302018,0.559641656811759,0.434867879719975,0,0.0993166666666667,0.102366666666667,0.0983666666666667,0.0982166666666667,0.0942203389830508,0.091,0.0943793103448276,0.0993166666666667,0.102366666666667,0.0983666666666667,0.0982166666666667,0.0942203389830508,0.091,0.0943793103448276,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 03:00:00,"LW",2.0230741120743,0.980156946347609,0,0.353406865178912,0.0434351770380931,0.0764,0.0829166666666667,0.0792666666666667,0.0771833333333333,0.0748793103448276,0.0709333333333333,0.0708813559322034,0.0764,0.0829166666666667,0.0792666666666667,0.0771833333333333,0.0748793103448276,0.0709333333333333,0.0708813559322034,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 04:00:00,"LW",0.440119933469943,0,0.333878295116629,0.355256276204411,0,0.053468085106383,0.0536041666666667,0.0524893617021277,0.0582325581395349,0.0496304347826087,0.0562,0.0540851063829787,0.053468085106383,0.0536041666666667,0.0524893617021277,0.0582325581395349,0.0496304347826087,0.0562,0.0540851063829787,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 05:00:00,"LW",0,0.0108432463582012,0.353653236056186,0.325747488966871,0,0.0838448275862069,0.0852033898305085,0.0808166666666667,0.07975,0.0775862068965517,0.0799152542372881,0.0785,0.0838448275862069,0.0852033898305085,0.0808166666666667,0.07975,0.0775862068965517,0.0799152542372881,0.0785,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 06:00:00,"LW",1.35805740783469,0.47175885761502,0,0.095569009842114,0.0184667097749031,0.21428813559322,0.224416666666667,0.212133333333333,0.209416666666667,0.1961,0.20275,0.204283333333333,0.21428813559322,0.224416666666667,0.212133333333333,0.209416666666667,0.1961,0.20275,0.204283333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 07:00:00,"LW",1.80922050401884,0,0,0.176155902645573,0,0.445666666666667,0.463716666666667,0.44,0.4338,0.40815,0.422833333333333,0.425766666666667,0.445666666666667,0.463716666666667,0.44,0.4338,0.40815,0.422833333333333,0.425766666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 08:00:00,"LW",2.09007239735594,0.888345630811987,0,0.313017343182265,0,0.365169491525424,0.375254237288136,0.364551724137931,0.351745762711864,0.337465517241379,0.360571428571429,0.357561403508772,0.365169491525424,0.375254237288136,0.364551724137931,0.351745762711864,0.337465517241379,0.360571428571429,0.357561403508772,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 09:00:00,"LW",2.44831993822937,0.292592194778204,0.295051141057868,0.337361372089066,0,0.268706896551724,0.265916666666667,0.258220338983051,0.254237288135593,0.240423728813559,0.244440677966102,0.261,0.268706896551724,0.265916666666667,0.258220338983051,0.254237288135593,0.240423728813559,0.244440677966102,0.261,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 10:00:00,"LW",1.03938763429144,0.654186529963875,0.155588254946225,0.313367268359158,0.112568804790641,0.369814814814815,0.299407407407407,0.275732142857143,0.279890909090909,0.262446428571429,0.270685185185185,0.283716981132075,0.369814814814815,0.299407407407407,0.275732142857143,0.279890909090909,0.262446428571429,0.270685185185185,0.283716981132075,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 11:00:00,"LW",1.24844312904026,0.397988683535625,0,0.144904427396659,0,0.29025,0.231766666666667,0.21815,0.215383333333333,0.206983333333333,0.203830508474576,0.208844827586207,0.29025,0.231766666666667,0.21815,0.215383333333333,0.206983333333333,0.203830508474576,0.208844827586207,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 12:00:00,"LW",1.50509280826427,0.124754697829728,0.0371038709904706,0.260170971331867,0,0.225947368421053,0.198366666666667,0.186783333333333,0.184233333333333,0.179483333333333,0.200982142857143,0.210277777777778,0.225947368421053,0.198366666666667,0.186783333333333,0.184233333333333,0.179483333333333,0.200982142857143,0.210277777777778,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 13:00:00,"LW",0.746843183755164,0.457279016563889,0.0714959280876179,0.206354812008296,0,0.159233333333333,0.147483333333333,0.138066666666667,0.136733333333333,0.136237288135593,0.136245614035088,0.139526315789474,0.159233333333333,0.147483333333333,0.138066666666667,0.136733333333333,0.136237288135593,0.136245614035088,0.139526315789474,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 14:00:00,"LW",2.70088511336579,0,0,0.222853588662327,0.0541882172156421,0.21045,0.204283333333333,0.192066666666667,0.190383333333333,0.186883333333333,0.182745762711864,0.189135593220339,0.21045,0.204283333333333,0.192066666666667,0.190383333333333,0.186883333333333,0.182745762711864,0.189135593220339,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 15:00:00,"LW",0.987305344464328,0.383951531930689,0.188975376011706,0.321734987965891,0,0.231316666666667,0.228466666666667,0.215266666666667,0.21285,0.2096,0.20835593220339,0.214186440677966,0.231316666666667,0.228466666666667,0.215266666666667,0.21285,0.2096,0.20835593220339,0.214186440677966,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 16:00:00,"LW",1.81459097138325,0.130106548057426,0,0.519211215817307,0,0.25415,0.2635,0.249266666666667,0.246283333333333,0.240183333333333,0.239016666666667,0.242183333333333,0.25415,0.2635,0.249266666666667,0.246283333333333,0.240183333333333,0.239016666666667,0.242183333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 17:00:00,"LW",1.36938890827804,0,0.217792111496506,0.363894567741076,0,0.50705,0.533783333333333,0.508483333333333,0.505216666666667,0.49205,0.503483333333333,0.506933333333333,0.50705,0.533783333333333,0.508483333333333,0.505216666666667,0.49205,0.503483333333333,0.506933333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 18:00:00,"LW",3.21108979437467,0.00688219476171713,0,0.849319346771532,0,1.04971666666667,1.08338333333333,1.02075,1.00435,0.968266666666667,0.967383333333333,0.970733333333333,1.04971666666667,1.08338333333333,1.02075,1.00435,0.968266666666667,0.967383333333333,0.970733333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 19:00:00,"LW",4.33044806159236,0.373344446156261,0,0.606051518207115,0,1.02931666666667,1.0239,0.956466666666667,0.93615,0.8957,0.887833333333333,0.88805,1.02931666666667,1.0239,0.956466666666667,0.93615,0.8957,0.887833333333333,0.88805,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 20:00:00,"LW",2.96114157585594,0.146473486160744,0.497795753118158,0.59885368378356,0,0.647683333333333,0.6444,0.604416666666667,0.5927,0.564583333333333,0.562833333333333,0.5615,0.647683333333333,0.6444,0.604416666666667,0.5927,0.564583333333333,0.562833333333333,0.5615,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 21:00:00,"LW",3.01870145265042,0.24607460002712,0.325125409261437,0.795811617636301,0,0.6367,0.634416666666667,0.598683333333333,0.58785,0.561116666666667,0.561966666666667,0.562816666666667,0.6367,0.634416666666667,0.598683333333333,0.58785,0.561116666666667,0.561966666666667,0.562816666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 22:00:00,"LW",3.53302969623859,0.324379895775102,0.480058382497204,0.768590110360551,0,0.431883333333333,0.431266666666667,0.4073,0.400433333333333,0.38035,0.3866,0.385983333333333,0.431883333333333,0.431266666666667,0.4073,0.400433333333333,0.38035,0.3866,0.385983333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-01 23:00:00,"LW",1.73566814950344,0.41209830952044,0,0.772780416856279,0,0.347666666666667,0.34025,0.319866666666667,0.311733333333333,0.294683333333333,0.3003,0.29725,0.347666666666667,0.34025,0.319866666666667,0.311733333333333,0.294683333333333,0.3003,0.29725,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02,NA,2.19027188977328,0.350060749338471,0.343231331093212,0.892599424174991,0,0.423733333333333,0.39355,0.365766666666667,0.35515,0.333583333333333,0.33225,0.330433333333333,0.423733333333333,0.39355,0.365766666666667,0.35515,0.333583333333333,0.33225,0.330433333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 01:00:00,"LW",2.91540656733964,0.296182947144619,0,0.968691006036198,0,0.445883333333333,0.4133,0.383366666666667,0.372716666666667,0.350316666666667,0.34485,0.344933333333333,0.445883333333333,0.4133,0.383366666666667,0.372716666666667,0.350316666666667,0.34485,0.344933333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 02:00:00,"LW",3.64211253911394,0.0209400935561825,0.0942127614559349,1.0153936786349,0,0.430033333333333,0.37815,0.347166666666667,0.335216666666667,0.31355,0.30415,0.3051,0.430033333333333,0.37815,0.347166666666667,0.335216666666667,0.31355,0.30415,0.3051,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 03:00:00,"LW",4.35423335844506,0,0,0.688963898773556,0,0.367833333333333,0.299383333333333,0.2681,0.25605,0.237233333333333,0.228616666666667,0.228066666666667,0.367833333333333,0.299383333333333,0.2681,0.25605,0.237233333333333,0.228616666666667,0.228066666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 04:00:00,"LW",2.15795464736309,0.267801113660588,0,0.656545107246171,0,0.19745,0.18875,0.17575,0.17145,0.160566666666667,0.160516666666667,0.159966666666667,0.19745,0.18875,0.17575,0.17145,0.160566666666667,0.160516666666667,0.159966666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 05:00:00,"LW",1.47482488543622,0.261025308608285,0.0671410593199147,0.481988916116001,0,0.247983333333333,0.230866666666667,0.2161,0.210833333333333,0.1993,0.1979,0.199316666666667,0.247983333333333,0.230866666666667,0.2161,0.210833333333333,0.1993,0.1979,0.199316666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 06:00:00,"LW",1.29343766993214,0.671194857595238,0,0.367537961995009,0.0314794755767621,0.215366666666667,0.209016666666667,0.197666666666667,0.193566666666667,0.18585,0.184283333333333,0.187083333333333,0.215366666666667,0.209016666666667,0.197666666666667,0.193566666666667,0.18585,0.184283333333333,0.187083333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 07:00:00,"LW",1.50566773764609,0,0,0.394011105809853,0,0.282733333333333,0.272333333333333,0.2561,0.252566666666667,0.238216666666667,0.239333333333333,0.239533333333333,0.282733333333333,0.272333333333333,0.2561,0.252566666666667,0.238216666666667,0.239333333333333,0.239533333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 08:00:00,"LW",1.1400571598741,0.190338398293152,0.488442528361074,0.621378294485441,0,0.242616666666667,0.2421,0.229416666666667,0.2254,0.213433333333333,0.217066666666667,0.217266666666667,0.242616666666667,0.2421,0.229416666666667,0.2254,0.213433333333333,0.217066666666667,0.217266666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 09:00:00,"LW",1.49058466349883,0.0862610410807357,0,0.437740908855321,0.0592983448108679,0.292,0.28825,0.272966666666667,0.26995,0.256233333333333,0.261483333333333,0.262533333333333,0.292,0.28825,0.272966666666667,0.26995,0.256233333333333,0.261483333333333,0.262533333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 10:00:00,"LW",1.51610367245918,0.187835644916764,0.478926795775699,0.294480756870614,0,0.30715,0.2977,0.280166666666667,0.2762,0.260816666666667,0.262033333333333,0.2641,0.30715,0.2977,0.280166666666667,0.2762,0.260816666666667,0.262033333333333,0.2641,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 11:00:00,"LW",1.34265376339325,0.539241503269932,0.0365993676674048,0.538561307024197,0.0149857271599864,0.272633333333333,0.27095,0.259066666666667,0.255283333333333,0.2428,0.241633333333333,0.2444,0.272633333333333,0.27095,0.259066666666667,0.255283333333333,0.2428,0.241633333333333,0.2444,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 12:00:00,"LW",1.20746736594331,0.396609812723005,0.0650697496914849,0.151244230448892,0,0.34635,0.338116666666667,0.320266666666667,0.316283333333333,0.30205,0.294083333333333,0.299016666666667,0.34635,0.338116666666667,0.320266666666667,0.316283333333333,0.30205,0.294083333333333,0.299016666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 13:00:00,"LW",1.66177395195586,0.229906470380802,0.281224177636928,0.324073177859782,0,0.37505,0.370333333333333,0.350533333333333,0.34485,0.331083333333333,0.317983333333333,0.3265,0.37505,0.370333333333333,0.350533333333333,0.34485,0.331083333333333,0.317983333333333,0.3265,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 14:00:00,"LW",1.53568713856877,0,0.518391971151598,0.254659868913922,0.032268000350809,0.398516666666667,0.397133333333333,0.375933333333333,0.367483333333333,0.352183333333333,0.339933333333333,0.347366666666667,0.398516666666667,0.397133333333333,0.375933333333333,0.367483333333333,0.352183333333333,0.339933333333333,0.347366666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 15:00:00,"LW",1.50318699341456,0.207939523913141,0.0604790701103908,0.294729932953678,0,0.370466666666667,0.367033333333333,0.346683333333333,0.340383333333333,0.325583333333333,0.315433333333333,0.322566666666667,0.370466666666667,0.367033333333333,0.346683333333333,0.340383333333333,0.325583333333333,0.315433333333333,0.322566666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 16:00:00,"LW",2.37731605137904,0.576188914065261,0.11764100960376,0.483436545632129,0,0.529483333333333,0.502016666666667,0.469066666666667,0.456016666666667,0.4316,0.415416666666667,0.4202,0.529483333333333,0.502016666666667,0.469066666666667,0.456016666666667,0.4316,0.415416666666667,0.4202,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 17:00:00,"LW",2.15579263512596,0.162050613389148,0.578422627968595,0.632299095437494,0.028867949840673,0.615266666666667,0.594816666666667,0.560916666666667,0.55075,0.52415,0.506933333333333,0.514866666666667,0.615266666666667,0.594816666666667,0.560916666666667,0.55075,0.52415,0.506933333333333,0.514866666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 18:00:00,"LW",3.98080500191183,0.305069989349002,0.0941394218720804,0.802446775250468,0,0.757683333333333,0.73895,0.697366666666667,0.68295,0.651666666666667,0.634,0.644533333333333,0.757683333333333,0.73895,0.697366666666667,0.68295,0.651666666666667,0.634,0.644533333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
2021-10-02 19:00:00,"LW",3.57226609122489,0.853927859412878,0.508910638155899,1.0175947485991,0,0.645666666666667,0.64075,0.6055,0.59425,0.567716666666667,0.55615,0.5653,0.645666666666667,0.64075,0.6055,0.59425,0.567716666666667,0.55615,0.5653,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
