"date","source_pm2p5","Org","NH4","SO4","NO3","Chl","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","PM1","PM2p5","PM10","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm","qc_flag_PM1","qc_flag_PM2p5","qc_flag_PM10"
2020-09-01,"BAQS",7.14189861454377,0.459556053870445,1.17846218558897,0.634390690875948,0.0123577316077057,3.15053333333333,2.64755,2.336,2.20505,2.05213333333333,1.89341666666667,1.92026666666667,11.4872857166667,13.1973090333333,17.1872453333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-09-01 01:00:00,"BAQS",7.11108899181623,0.356035109722673,0.456335411619403,0.785604502723549,0,2.92893333333333,2.46885,2.19701666666667,2.0775,1.91855,1.7983,1.81523333333333,10.5239845,12.1576075166667,16.1536075833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-09-01 02:00:00,"BAQS",7.49303752806912,0.792935500060742,0.520742034738578,0.786436817522676,0.0228359441747954,2.42303333333333,1.9822,1.7472,1.64098333333333,1.48711666666667,1.40253333333333,1.4049,10.2686014333333,11.8736668833333,15.9134378833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-09-01 03:00:00,"BAQS",7.42191498912719,0.18555423305249,0.378999864758754,0.663515786167994,0.0363743266751859,2.41285,2.02421666666667,1.78951666666667,1.68306666666667,1.52801666666667,1.43815,1.44498333333333,9.3914347,11.30641455,16.9825405333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-09-01 04:00:00,"BAQS",6.06260455694592,0.449642632921214,0.881307883165308,0.66306889789599,0.0158746474906883,2.44907142857143,2.05282142857143,1.82532142857143,1.72153571428571,1.58098214285714,1.46248214285714,1.48276785714286,9.16124571666667,11.4638625833333,17.8345482166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-09-01 05:00:00,"BAQS",5.67705973118297,0.792343255663358,0,0.592722111019165,0,2.18013333333333,1.88295,1.69588333333333,1.61838333333333,1.52778333333333,1.44488333333333,1.4447,9.2877991,11.1425608666667,16.2549796833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-09-01 06:00:00,"BAQS",4.90381951143365,0.441293032136991,0.292453090825909,0.795932383909792,0,1.70533333333333,1.65613333333333,1.53981666666667,1.49533333333333,1.42101666666667,1.38001666666667,1.38006666666667,7.57403626666667,9.26029111666667,14.10240675,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-09-01 07:00:00,"BAQS",4.66871927633175,0.704696371455507,1.11334214874716,1.0292400128827,0.00104791005861514,1.68331666666667,1.66001666666667,1.55211666666667,1.51245,1.43276666666667,1.3998,1.40223333333333,5.97416255,7.76429775,13.0787279333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-09-01 08:00:00,"BAQS",4.11220187168178,0.459829648990347,0.384399390096985,0.832539490311179,0,1.29635,1.28091666666667,1.20318333333333,1.17446666666667,1.10701666666667,1.07766666666667,1.08131666666667,7.1630368,11.3205779666667,25.9370630833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,4
2020-09-01 09:00:00,"BAQS",4.28127671097971,0.74133899120642,0.967550814116628,0.345356157492768,0,0.536216666666667,0.5299,0.501016666666667,0.488883333333333,0.458033333333333,0.439483333333333,0.449169491525424,6.0133203,8.5239622,16.7680015666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2020-09-01 10:00:00,"BAQS",4.55709238101188,0.500285522321059,0.605175192055481,0.57901329281906,0.0251060284981936,0.9242,0.865333333333333,0.807783333333333,0.784816666666667,0.73585,0.714083333333333,0.716783333333333,NA,NA,NA,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",2,2,2
