"date (UTC+0)","NO_ppb","NOy_ppb"
2024-03-31 23:00:00,0.137105666666667,NA
2024-04-01,0.164396533333333,NA
2024-04-01 01:00:00,0.168451083333333,NA
2024-04-01 02:00:00,0.14591495,NA
2024-04-01 03:00:00,0.151435,NA
2024-04-01 04:00:00,0.246676216666667,NA
2024-04-01 05:00:00,0.281376,NA
2024-04-01 06:00:00,0.98857745,NA
2024-04-01 07:00:00,1.11179343333333,NA
2024-04-01 08:00:00,1.10935093333333,NA
2024-04-01 09:00:00,1.15150848333333,NA
2024-04-01 10:00:00,1.2038594,NA
2024-04-01 11:00:00,1.12338716666667,NA
2024-04-01 12:00:00,1.0064077,NA
2024-04-01 13:00:00,1.12517833333333,NA
2024-04-01 14:00:00,0.989538166666667,NA
2024-04-01 15:00:00,0.949236916666667,NA
2024-04-01 16:00:00,0.553535633333333,NA
2024-04-01 17:00:00,0.304156383333333,NA
2024-04-01 18:00:00,0.273690266666667,NA
2024-04-01 19:00:00,0.08915125,NA
2024-04-01 20:00:00,0.12657035,NA
2024-04-01 21:00:00,0.155131316666667,NA
2024-04-01 22:00:00,0.128247533333333,NA
2024-04-01 23:00:00,0.11123145,NA
2024-04-02,0.17874215,NA
2024-04-02 01:00:00,4.4038275,NA
2024-04-02 02:00:00,0.213555916666667,NA
2024-04-02 03:00:00,0.404591983333333,NA
2024-04-02 04:00:00,3.17894631666667,NA
2024-04-02 05:00:00,11.4282783833333,NA
2024-04-02 06:00:00,2.52608235,NA
2024-04-02 07:00:00,2.15387791666667,NA
2024-04-02 08:00:00,1.5814699,NA
2024-04-02 09:00:00,1.60284991666667,NA
2024-04-02 10:00:00,1.54046846666667,NA
2024-04-02 11:00:00,1.60965635,NA
2024-04-02 12:00:00,1.2420601,NA
2024-04-02 13:00:00,1.22685146666667,NA
2024-04-02 14:00:00,1.05748851666667,NA
2024-04-02 15:00:00,0.421803466666667,NA
2024-04-02 16:00:00,0.417113866666667,NA
2024-04-02 17:00:00,0.1146021,NA
2024-04-02 18:00:00,0.0900631166666667,NA
2024-04-02 19:00:00,0.0869204333333333,NA
2024-04-02 20:00:00,0.130657466666667,NA
2024-04-02 21:00:00,0.120887466666667,NA
2024-04-02 22:00:00,0.262340783333333,NA
2024-04-02 23:00:00,0.241205016666667,NA
2024-04-03,0.193332016666667,NA
2024-04-03 01:00:00,0.162019166666667,NA
2024-04-03 02:00:00,0.16946065,NA
2024-04-03 03:00:00,0.134076966666667,NA
2024-04-03 04:00:00,0.46783645,NA
2024-04-03 05:00:00,1.06602098333333,NA
2024-04-03 06:00:00,1.37589281666667,NA
2024-04-03 07:00:00,1.80282553333333,NA
2024-04-03 08:00:00,1.51715073333333,NA
2024-04-03 09:00:00,1.67127248333333,NA
2024-04-03 10:00:00,1.55471638333333,NA
2024-04-03 11:00:00,1.30035443333333,NA
2024-04-03 12:00:00,1.21003078333333,NA
2024-04-03 13:00:00,1.10907411666667,NA
2024-04-03 14:00:00,1.01575433333333,NA
2024-04-03 15:00:00,1.19322638333333,NA
2024-04-03 16:00:00,0.942918983333333,NA
2024-04-03 17:00:00,0.37013645,NA
2024-04-03 18:00:00,0.180419333333333,NA
2024-04-03 19:00:00,0.264311066666667,NA
2024-04-03 20:00:00,0.216666033333333,NA
2024-04-03 21:00:00,0.388846,NA
2024-04-03 22:00:00,0.391125666666667,NA
2024-04-03 23:00:00,0.116686366666667,NA
2024-04-04,0.134793433333333,NA
2024-04-04 01:00:00,0.165617783333333,NA
2024-04-04 02:00:00,0.13272545,NA
2024-04-04 03:00:00,0.126782033333333,NA
2024-04-04 04:00:00,0.174068833333333,NA
2024-04-04 05:00:00,2.42691685,NA
2024-04-04 06:00:00,1.57378416666667,NA
2024-04-04 07:00:00,1.5196258,NA
2024-04-04 08:00:00,1.16492595,NA
2024-04-04 09:00:00,1.12869553333333,NA
2024-04-04 10:00:00,1.21789563333333,NA
2024-04-04 11:00:00,0.9425119,NA
2024-04-04 12:00:00,0.92487705,NA
2024-04-04 13:00:00,0.912208616666667,NA
2024-04-04 14:00:00,0.852937283333333,NA
2024-04-04 15:00:00,0.954916431034483,NA
2024-04-04 16:00:00,0.9296155,NA
2024-04-04 17:00:00,0.336804466666667,NA
2024-04-04 18:00:00,0.0925056166666667,NA
2024-04-04 19:00:00,0.129859583333333,NA
2024-04-04 20:00:00,0.11064525,NA
2024-04-04 21:00:00,0.44515825862069,NA
2024-04-04 22:00:00,0.206944883333333,NA
2024-04-04 23:00:00,0.119910466666667,NA
2024-04-05,0.0770038833333333,NA
2024-04-05 01:00:00,0.13194385,NA
2024-04-05 02:00:00,0.093792,NA
2024-04-05 03:00:00,0.135151666666667,NA
2024-04-05 04:00:00,1.75286826666667,NA
2024-04-05 05:00:00,1.57363761666667,NA
2024-04-05 06:00:00,1.8528805,NA
2024-04-05 07:00:00,1.56297203333333,NA
2024-04-05 08:00:00,1.31121541666667,NA
2024-04-05 09:00:00,1.22745395,NA
2024-04-05 10:00:00,1.22289461666667,NA
