"datetime","pm_fraction","Al","Si","P","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Sr","Y","Zr","Mo","Pd","Ag","Cd","In","Sn","Sb","Te","Ba","La","Ce","Pt","Hg","Tl","Pb","Bi","Al_Flags","Si_Flags","P_Flags","S_Flags","Cl_Flags","K_Flags","Ca_Flags","Ti_Flags","V_Flags","Cr_Flags","Mn_Flags","Fe_Flags","Co_Flags","Ni_Flags","Cu_Flags","Zn_Flags","Ga_Flags","Ge_Flags","As_Flags","Se_Flags","Br_Flags","Sr_Flags","Y_Flags","Zr_Flags","Mo_Flags","Pd_Flags","Ag_Flags","Cd_Flags","In_Flags","Sn_Flags","Sb_Flags","Te_Flags","Ba_Flags","La_Flags","Ce_Flags","Pt_Flags","Hg_Flags","Tl_Flags","Pb_Flags","Bi_Flags"
"2022-07-01 00:30:00","PM10",1399.5697,0,0,247.7763,0,32.531,7.8352,0,0,0,0,14.5882,0,0,1.4125,3.5446,0,0,0.0083,0,NA,NA,0,0,0,26.083,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,"1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","3b","3b","1b","1b","1b","1b","3b","3b","1b","3b","1b","3b","3b","1b","1b","1b","1b","1b","1b","1b"
"2022-07-01 01:00:00","PM2.5",859.3949,0,0,219.2269,0,26.5122,6.8048,0,0,NA,0,14.5851,NA,0,1.0985,3.4686,0,0,NA,NA,0.6759,0,0,0,0,NA,NA,NA,0,0,NA,0,0.0146,0,0,0,NA,0,NA,0,"1b","1b","1b","1b","1b","1b","1b","1b","1b","3b","1b","1b","3b","1b","1b","1b","1b","1b","3b","3b","1b","1b","1b","1b","1b","3b","3b","3b","1b","1b","3b","1b","1b","1b","1b","1b","3b","1b","3b","1b"
"2022-07-01 02:00:00","PM10",NA,0,NA,218.2514,0,23.67,2.7425,0,0,0,0,12.5701,0,NA,1.0648,3.4471,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0.0301,0,0,0,0,0,NA,0,"3b","1b","3b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","3b","1b","1b","1b","1b","3b","1b","3b","3b","1b","1b","1b","3b","3b","1b","1b","1b","3b","1b","1b","1b","1b","1b","1b","1b","3b","1b"
"2022-07-01 03:00:00","PM2.5",NA,0,0,210.7491,0,26.7711,2.8525,0,0,0,0,11.4488,0,0,NA,2.6172,0,0,0.9063,NA,NA,NA,0,0,0,16.4815,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,"3b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","3b","1b","1b","1b","1b","3b","3b","3b","1b","1b","1b","1b","1b","1b","1b","3b","1b","3b","1b","1b","1b","1b","1b","1b","1b","1b"
"2022-07-01 04:00:00","PM10",NA,0,0,242.0516,0,24.015,NA,0,0,0,0,12.3416,0,NA,0.4692,3.6957,0,0,0.4913,NA,1.2823,NA,0,0,0,12.7429,NA,0,0,0,NA,0,NA,NA,0,0,0,0,0.7745,0,"3b","1b","1b","1b","1b","1b","3b","1b","1b","1b","1b","1b","1b","3b","1b","1b","1b","1b","1b","3b","1b","3b","1b","1b","1b","1b","3b","1b","1b","1b","3b","1b","3b","3b","1b","1b","1b","1b","1b","1b"
"2022-07-01 05:00:00","PM2.5",0,0,0,269.3005,0,31.1555,6.1158,NA,NA,0,0,36.0538,0,NA,1.5266,2.3119,0,0,0.7017,NA,1.5918,NA,0,0,0,15.9301,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,"1b","1b","1b","1b","1b","1b","1b","3b","3b","1b","1b","1b","1b","3b","1b","1b","1b","1b","1b","3b","1b","3b","1b","1b","1b","1b","3b","1b","1b","3b","3b","3b","1b","1b","1b","1b","1b","1b","1b","1b"
"2022-07-01 06:00:00","PM10",NA,0,NA,264.434,0,23.6139,21.3835,0,0,0,NA,80.5213,0,NA,2.8329,2.9359,0,0,0.6404,NA,0.8371,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,"3b","1b","3b","1b","1b","1b","1b","1b","1b","1b","3b","1b","1b","3b","1b","1b","1b","1b","1b","3b","1b","1b","1b","1b","1b","3b","3b","3b","1b","1b","3b","3b","3b","1b","1b","1b","1b","1b","1b","1b"
"2022-07-01 07:00:00","PM2.5",NA,0,0,306.7361,0,30.2656,40.0029,1.9987,0,NA,NA,117.4459,0,0,5.2867,4.8467,0,0,0,0,0.7375,NA,0,0,0,13.857,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,"3b","1b","1b","1b","1b","1b","1b","1b","1b","3b","3b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","3b","1b","1b","1b","1b","3b","1b","1b","3b","1b","1b","3b","1b","1b","1b","1b","1b","3b","1b"
"2022-07-01 08:00:00","PM10",0,0,0,384.1336,0,28.836,29.4136,1.5725,0,NA,NA,60.714,0,0,3.6092,3.2689,0,0,NA,0,1.4065,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"1b","1b","1b","1b","1b","1b","1b","1b","1b","3b","3b","1b","1b","1b","1b","1b","1b","1b","3b","1b","1b","3b","1b","1b","1b","1b","3b","3b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b"
"2022-07-01 09:00:00","PM2.5",NA,0,0,405.5135,43.0154,35.0089,36.7697,NA,0,NA,0,49.3064,0,0,2.0861,2.6828,0,0,NA,0,1.1367,NA,0,0,0,9.927,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,1.3797,0,"3b","1b","1b","1b","1b","1b","1b","3b","1b","3b","1b","1b","1b","1b","1b","1b","1b","1b","3b","1b","1b","3b","1b","1b","1b","1b","1b","3b","1b","3b","3b","3b","3b","1b","1b","1b","1b","1b","1b","1b"
"2022-07-01 10:00:00","PM10",NA,0,0,680.284,26.604,39.9775,47.2913,1.517,NA,0,0,41.437,NA,NA,2.2953,3.3279,0,0,1.2284,0,2.0479,NA,0,0,0,10.2793,0,0,0,0,NA,NA,NA,0,0,0,0,0,14.0806,0,"3b","1b","1b","1b","1b","1b","1b","1b","3b","1b","1b","1b","3b","3b","1b","1b","1b","1b","1b","1b","1b","3b","1b","1b","1b","1b","1b","1b","1b","1b","3b","3b","3b","1b","1b","1b","1b","1b","1b","1b"
