"datetime","pm_fraction","Al","Si","P","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Sr","Y","Zr","Mo","Pd","Ag","Cd","In","Sn","Sb","Te","Ba","La","Ce","Pt","Hg","Tl","Pb","Bi","Al_Flags","Si_Flags","P_Flags","S_Flags","Cl_Flags","K_Flags","Ca_Flags","Ti_Flags","V_Flags","Cr_Flags","Mn_Flags","Fe_Flags","Co_Flags","Ni_Flags","Cu_Flags","Zn_Flags","Ga_Flags","Ge_Flags","As_Flags","Se_Flags","Br_Flags","Sr_Flags","Y_Flags","Zr_Flags","Mo_Flags","Pd_Flags","Ag_Flags","Cd_Flags","In_Flags","Sn_Flags","Sb_Flags","Te_Flags","Ba_Flags","La_Flags","Ce_Flags","Pt_Flags","Hg_Flags","Tl_Flags","Pb_Flags","Bi_Flags"
"2021-07-01 00:30:00","PM10",NA,0,0,933.4033,0,171.8045,449.385,20.2234,NA,1.9107,5.3626,478.1497,0,0,12.1956,30.7073,0,0,4.6129,NA,8.0461,NA,0,0,0,27.9252,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,9.0869,0,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA
"2021-07-01 01:00:00","PM2.5",NA,0,0,759.2643,0,84.1578,119.6996,4.669,0,0.9693,1.4509,201.8932,NA,NA,6.343,27.3495,0,0,3.98,1.0553,8.2395,NA,0,0,0,16.176,NA,0,0,NA,NA,NA,3.1792,0,0,0,0,0,9.887,0,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"2021-07-01 02:00:00","PM10",NA,NA,0,840.005,20.4507,105.9399,251.5785,6.8922,0,0.8717,2.9642,314.244,NA,0,7.3887,36.2743,0,0,2.5261,0.6163,5.9418,NA,0,0,0,14.8424,0,NA,0,NA,NA,NA,7.6328,0,0,0,0,0,6.2389,0,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"2021-07-01 03:00:00","PM2.5",708.415,0,0,654.3782,0,64.5169,104.116,4.265,0,NA,1.2897,128.2267,0,NA,3.832,26.5714,0,0,2.1696,NA,3.7946,NA,0,0,0,21.7401,0,0,0,0,NA,NA,NA,0,0,0,0,0,5.2856,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA
"2021-07-01 04:00:00","PM10",0,NA,0,813.047,0,100.1013,203.9687,8.03,0,NA,2.3909,276.9941,0,0,7.4515,39.2866,0,0,2.1273,NA,4.1695,NA,0,0,0,15.8987,0,0,0,0,NA,0,2.9008,0,0,0,0,0,4.7268,0,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-07-01 05:00:00","PM2.5",665.2998,0,0,718.076,0,39.9369,101.9733,3.0409,0,NA,1.0385,135.7137,NA,0,3.423,16.9324,0,0,1.4411,0,2.9363,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,1.687,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA
"2021-07-01 06:00:00","PM10",NA,251.5414,0,994.7288,141.8606,97.6191,421.892,22.8105,NA,1.2744,3.7659,438.9759,0,0,10.9416,32.6916,0,0,0.4096,NA,3.0898,NA,0,0,0,NA,0,NA,0,NA,NA,NA,5.2454,0,0,0,0,0,2.0714,0,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"2021-07-01 07:00:00","PM2.5",0,0.3031,0,884.5048,0,51.0097,181.0924,9.2556,0,NA,1.791,226.1192,0,0,6.4696,27.0596,0,0,1.011,0.4602,2.4716,NA,0,0,0,18.293,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA
"2021-07-01 08:00:00","PM10",744.1791,875.7785,0,1110.2454,407.7303,182.5863,1260.0732,36.0411,NA,4.2541,11.3364,850.7655,0,NA,19.842,60.2241,0,0,2.1959,0.4898,2.515,3.42,0,NA,0,NA,0,0.1276,0,0,NA,NA,12.4275,0,0,0,0.0065,0,3.2854,0,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"2021-07-01 09:00:00","PM2.5",NA,NA,0,1030.9285,0,86.9448,226.1267,12.1029,0,NA,5.3497,279.8209,0,0.5018,9.467,65.1315,0,0,1.5195,0.4458,2.3315,NA,0,NA,0,NA,0,NA,0,0,NA,NA,5.6343,0,0,0,0,0,3.1157,0,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"2021-07-01 10:00:00","PM10",NA,784.3898,0,1229.1448,181.6163,170.2504,1016.2824,35.5554,0,4.396,13.2266,852.6358,0,NA,21.9303,79.5835,0,0,2.513,0.4898,4.0723,2.6158,0,NA,0,15.2408,NA,NA,0,NA,0,NA,13.5076,0,0,0,0,0,6.6307,3.0069,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"2021-07-01 11:00:00","PM2.5",1075.7802,NA,0,1087.0193,0,62.5341,158.36,9.2427,0,6.7174,6.2749,425.6026,0,0.5886,12.1756,109.4845,0,0,2.9655,NA,8.6581,1.6186,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,6.8067,17.0506,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA
"2021-07-01 12:00:00","PM10",1266.4043,1046.7952,0,1673.3017,0,180.3743,1009.6671,51.5159,NA,19.8509,27.0089,1491.0502,0,2.8674,32.7078,230.9397,0,0,3.3942,NA,7.6108,2.4131,0,6.2575,14.4843,NA,0,NA,0,NA,NA,NA,19.0284,0,0,0,0,0,19.0489,36.8192,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"2021-07-01 13:00:00","PM2.5",NA,NA,0,1017.5463,0,65.381,110.1061,6.7865,0,10.1544,4.4907,407.2056,0,1.3201,9.938,73.5373,0,0,3.0137,0.4924,4.9663,NA,0,0,3.195,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,7.6693,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty"
"2021-07-01 14:00:00","PM10",NA,287.7702,0,986.0977,0,101.5117,318.346,17.9073,0,2.0879,5.5343,387.7405,0,NA,10.6536,47.0904,0,0,1.9503,0.4288,5.8127,NA,0,0,NA,9.1709,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,6.4817,0,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA
"2021-07-01 15:00:00","PM2.5",616.1663,0,0,782.183,0,39.0858,51.6541,4.4532,0,0.6588,NA,102.4322,0,NA,3.618,23.0323,0,0,0.6937,NA,3.9988,NA,0,0,0,NA,8e-04,NA,0,0,NA,NA,0,0,0,0,0,0,5.5899,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
