"date (UTC+0)","NO (ppb)","NOy (ppb)","Flag"
2024-02-01,0.062,0.506,NA
2024-02-01 00:01:00,0.063,0.525,NA
2024-02-01 00:02:00,0.068,0.56,NA
2024-02-01 00:03:00,0.064,0.589,NA
2024-02-01 00:04:00,0.063,0.623,NA
2024-02-01 00:05:00,0.063,0.667,NA
2024-02-01 00:06:00,0.056,0.739,NA
2024-02-01 00:07:00,0.043,0.813,NA
2024-02-01 00:08:00,0.04,0.867,NA
2024-02-01 00:09:00,0.034,0.915,NA
2024-02-01 00:10:00,0.027,0.963,NA
2024-02-01 00:11:00,0.028,1.023,NA
2024-02-01 00:12:00,0.025,1.076,NA
2024-02-01 00:13:00,0.024,1.143,NA
2024-02-01 00:14:00,0.023,1.148,NA
2024-02-01 00:15:00,0.03,1.163,NA
2024-02-01 00:16:00,0.024,1.199,NA
2024-02-01 00:17:00,0.028,1.224,NA
2024-02-01 00:18:00,0.031,1.256,NA
2024-02-01 00:19:00,0.03,1.258,NA
2024-02-01 00:20:00,0.029,1.237,NA
2024-02-01 00:21:00,0.03,1.226,NA
2024-02-01 00:22:00,0.035,1.183,NA
2024-02-01 00:23:00,0.033,1.139,NA
2024-02-01 00:24:00,0.03,1.069,NA
2024-02-01 00:25:00,0.038,1.026,NA
2024-02-01 00:26:00,0.04,0.979,NA
2024-02-01 00:27:00,0.042,0.893,NA
2024-02-01 00:28:00,0.049,0.825,NA
2024-02-01 00:29:00,0.052,0.766,NA
2024-02-01 00:30:00,0.056,0.698,NA
2024-02-01 00:31:00,0.058,0.66,NA
2024-02-01 00:32:00,0.059,0.641,NA
2024-02-01 00:33:00,0.058,0.595,NA
2024-02-01 00:34:00,0.058,0.535,NA
2024-02-01 00:35:00,0.064,0.516,NA
2024-02-01 00:36:00,0.063,0.505,NA
2024-02-01 00:37:00,0.059,0.494,NA
2024-02-01 00:38:00,0.07,0.471,NA
2024-02-01 00:39:00,0.071,0.435,NA
