"date (UTC+0)","NO (ppb)","NOy (ppb)","Flag"
2024-04-01,0.117,2.641,NA
2024-04-01 00:01:00,0.119,2.595,NA
2024-04-01 00:02:00,0.111,2.576,NA
2024-04-01 00:03:00,0.118,2.556,NA
2024-04-01 00:04:00,0.119,2.504,NA
2024-04-01 00:05:00,0.128,2.442,NA
2024-04-01 00:06:00,0.13,2.401,NA
2024-04-01 00:07:00,0.128,2.382,NA
2024-04-01 00:08:00,0.129,2.375,NA
2024-04-01 00:09:00,0.125,2.4,NA
2024-04-01 00:10:00,0.129,2.414,NA
2024-04-01 00:11:00,0.13,2.439,NA
2024-04-01 00:12:00,0.119,2.454,NA
2024-04-01 00:13:00,0.12,2.473,NA
2024-04-01 00:14:00,0.112,2.49,NA
2024-04-01 00:15:00,0.111,2.486,NA
2024-04-01 00:16:00,0.112,2.484,NA
2024-04-01 00:17:00,0.122,2.444,NA
2024-04-01 00:18:00,0.13,2.423,NA
2024-04-01 00:19:00,0.121,2.392,NA
2024-04-01 00:20:00,0.119,2.386,NA
2024-04-01 00:21:00,0.117,2.403,NA
2024-04-01 00:22:00,0.122,2.423,NA
2024-04-01 00:23:00,0.126,2.462,NA
2024-04-01 00:24:00,0.141,2.534,NA
2024-04-01 00:25:00,0.142,2.603,NA
2024-04-01 00:26:00,0.127,2.681,NA
2024-04-01 00:27:00,0.132,2.707,NA
2024-04-01 00:28:00,0.13,2.731,NA
2024-04-01 00:29:00,0.143,2.709,NA
2024-04-01 00:30:00,0.147,2.682,NA
2024-04-01 00:31:00,0.14,2.638,NA
2024-04-01 00:32:00,0.125,2.574,NA
2024-04-01 00:33:00,0.12,2.546,NA
2024-04-01 00:34:00,0.125,2.538,NA
2024-04-01 00:35:00,0.12,2.538,NA
2024-04-01 00:36:00,0.115,2.526,NA
2024-04-01 00:37:00,0.109,2.534,NA
2024-04-01 00:38:00,0.098,2.528,NA
2024-04-01 00:39:00,0.1,2.502,NA
2024-04-01 00:40:00,0.099,2.506,NA
2024-04-01 00:41:00,0.096,2.457,NA
2024-04-01 00:42:00,0.09,2.339,NA
2024-04-01 00:43:00,0.08,2.181,NA
2024-04-01 00:44:00,0.079,2.098,NA
2024-04-01 00:45:00,0.071,2.019,NA
2024-04-01 00:46:00,0.072,1.945,NA
2024-04-01 00:47:00,0.07,1.904,NA
2024-04-01 00:48:00,0.074,1.824,NA
2024-04-01 00:49:00,0.076,1.776,NA
2024-04-01 00:50:00,0.079,1.783,NA
2024-04-01 00:51:00,0.081,1.8,NA
2024-04-01 00:52:00,0.086,1.824,NA
2024-04-01 00:53:00,0.104,1.849,NA
2024-04-01 00:54:00,0.111,1.845,NA
2024-04-01 00:55:00,0.116,1.805,NA
2024-04-01 00:56:00,0.11,1.804,NA
2024-04-01 00:57:00,0.106,1.822,NA
2024-04-01 00:58:00,0.104,1.812,NA
2024-04-01 00:59:00,0.098,1.782,NA
2024-04-01 01:00:00,0.103,1.775,NA
2024-04-01 01:01:00,0.106,1.757,NA
2024-04-01 01:02:00,0.099,1.748,NA
2024-04-01 01:03:00,0.099,1.785,NA
2024-04-01 01:04:00,0.102,1.842,NA
2024-04-01 01:05:00,0.105,1.893,NA
2024-04-01 01:06:00,0.113,1.96,NA
2024-04-01 01:07:00,0.122,2.012,NA
2024-04-01 01:08:00,0.131,2.043,NA
2024-04-01 01:09:00,0.125,2.069,NA
