"Date_UTC","source_pm2p5","Org","NH4","SO4","NO3","Chl","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2021-08-01,NA,3.54966872430635,0.669923151727893,0.444026646452476,0.433631331291795,0,0.939727272727273,0.682848484848485,0.613818181818182,0.594121212121212,0.560424242424242,0.526272727272727,0.532969696969697,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 01:00:00,"LW",2.67156194356073,0.756958599618829,0.690611592583766,0.403319675999166,0,0.579633333333333,0.505416666666667,0.464083333333333,0.448716666666667,0.424683333333333,0.4176,0.41435,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 02:00:00,"LW",1.42792340670778,0.675445255649076,0.624006225043002,0.203399806569171,0.0142463428232566,0.3698,0.341266666666667,0.314333333333333,0.30545,0.2883,0.281983333333333,0.279933333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 03:00:00,"LW",1.87778921655633,0.793001433506613,0.572094920619586,0.262883090611641,0,0.26455,0.2407,0.220583333333333,0.2132,0.20155,0.1953,0.193833333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 04:00:00,"LW",1.48132864652171,0.53139814530057,0.284627635464058,0.158909431905621,0,0.234066666666667,0.221566666666667,0.205266666666667,0.199766666666667,0.189233333333333,0.183,0.182466666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 05:00:00,"LW",1.86927930668875,1.28453162763779,1.01337842737762,0.912883141884717,0.00477008975260243,0.200583333333333,0.20695,0.198816666666667,0.197033333333333,0.189983333333333,0.185233333333333,0.1851,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 06:00:00,"LW",1.50300339190892,1.16172318447175,0.734593393633885,0.747519196842172,0.00159996517759497,0.242716666666667,0.2626,0.253966666666667,0.253266666666667,0.245783333333333,0.24485,0.2457,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 07:00:00,"LW",1.66125204135314,0.93362447823201,0.89914906734141,0.513034844826183,0.00106620559974539,0.177283333333333,0.184583333333333,0.176133333333333,0.1749,0.166983333333333,0.165716666666667,0.164416666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 08:00:00,"LW",1.79010563247528,0.807091827845654,0.660784845999253,0.370511870952201,0,0.3609,0.370733333333333,0.350916666666667,0.345666666666667,0.3311,0.323733333333333,0.323816666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 09:00:00,"LW",2.45417629957591,1.47519071346462,1.43545858332748,0.755012541485772,0,0.365266666666667,0.370316666666667,0.351766666666667,0.346583333333333,0.332166666666667,0.321333333333333,0.322116666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 10:00:00,"LW",2.24455812963182,1.3386745635655,0.953847695530941,0.723688889207336,0,0.36695,0.37615,0.357866666666667,0.354483333333333,0.342133333333333,0.330533333333333,0.334766666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 11:00:00,"LW",2.95520008200799,0.847768555627573,0.670357605773736,0.628365270393311,0,0.274661016949153,0.286101694915254,0.27464406779661,0.270101694915254,0.265844827586207,0.256929824561404,0.257155172413793,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 12:00:00,"LW",2.63494218635575,0.792113550813751,0.920607973942768,0.359114272911142,0,0.390783333333333,0.3986,0.379716666666667,0.375666666666667,0.362733333333333,0.348316666666667,0.3528,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 13:00:00,"LW",3.41982255836005,1.26334748852463,1.19857529576136,0.651817319913695,0,0.420423728813559,0.410183333333333,0.389966666666667,0.391271186440678,0.376559322033898,0.370206896551724,0.374137931034483,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 14:00:00,"LW",2.72947987642167,1.229571228695,0.993407986978624,0.453249173462839,0.0110952823907723,0.378,0.382633333333333,0.3641,0.360283333333333,0.34755,0.352438596491228,0.359385964912281,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 15:00:00,"LW",3.16106536179138,0.992735718221997,0.919624439102087,0.312170824863693,0.0163561778149234,0.335655172413793,0.321833333333333,0.305783333333333,0.302483333333333,0.297203389830508,0.301178571428571,0.309089285714286,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 16:00:00,"LW",2.72781934109807,0.743054808952242,1.22696874543427,0.311358957724644,0.0080032447122006,0.294933333333333,0.291616666666667,0.277316666666667,0.273783333333333,0.263683333333333,0.257627118644068,0.265862068965517,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 17:00:00,"LW",2.93833013383866,1.1056145587927,1.02472795932752,0.311238783253409,0,0.364116666666667,0.3544,0.333216666666667,0.32725,0.312083333333333,0.301616666666667,0.305016666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 18:00:00,"LW",2.64153436584588,0.899043210880762,1.04026009904536,0.339827485210857,0,0.399133333333333,0.390133333333333,0.3674,0.360966666666667,0.342683333333333,0.3365,0.337033333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 19:00:00,"LW",2.73491584971036,0.232934430888707,0.487789825598839,0.442668565275115,0,0.408083333333333,0.397133333333333,0.374483333333333,0.367916666666667,0.34865,0.34835,0.347433333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 20:00:00,"LW",2.2462873361395,0.629122198504458,0.638363817211735,0.227978245102617,0,0.409233333333333,0.3943,0.366516666666667,0.358683333333333,0.335766666666667,0.3349,0.332216666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 21:00:00,"LW",3.00654465134436,0.500936800506585,0.466433596080261,0.341917621659151,0.0298877997902538,0.545366666666667,0.48195,0.438616666666667,0.42075,0.3885,0.380116666666667,0.376983333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 22:00:00,"LW",2.51257988870095,0.500880924561074,0.462197329990609,0.241484477069646,0,0.371316666666667,0.348833333333333,0.324616666666667,0.316066666666667,0.2946,0.29605,0.293683333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-01 23:00:00,"LW",1.84107349300165,0.287498045423047,0.325072185534718,0.243739504917252,0,0.348266666666667,0.336766666666667,0.316383333333333,0.310466666666667,0.289316666666667,0.293616666666667,0.292383333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-02,NA,1.83072750686879,0.249486339312937,0.269822891051577,0.282142651348262,0,0.363116666666667,0.347983333333333,0.327016666666667,0.320183333333333,0.2996,0.30245,0.301583333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-02 01:00:00,"LW",1.88029594278761,0.397818929511829,0.260452450645399,0.241285412084212,0,0.44725,0.44215,0.42155,0.419116666666667,0.3973,0.405133333333333,0.407466666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-02 02:00:00,"LW",1.59434512401894,0.371668007144216,0.303805284401795,0.272417206587814,0,0.423416666666667,0.426566666666667,0.408616666666667,0.404683333333333,0.3824,0.388333333333333,0.389616666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-02 03:00:00,"LW",1.39041591410464,0.419246176363773,0.374977121922155,0.178315375526797,0,0.334333333333333,0.329716666666667,0.31205,0.306866666666667,0.2884,0.291466666666667,0.29245,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
