"date (UTC+0)","NO (ppb)","NOy (ppb)","Flag"
2023-01-01,NA,NA,NA
2023-01-01 00:01:00,0.372,1.862,NA
2023-01-01 00:02:00,0.563,2.294,NA
2023-01-01 00:03:00,0.586,2.339,NA
2023-01-01 00:04:00,0.614,2.469,NA
2023-01-01 00:05:00,0.642,2.536,NA
2023-01-01 00:06:00,0.682,2.551,NA
2023-01-01 00:07:00,0.692,2.404,NA
2023-01-01 00:08:00,0.723,2.399,NA
2023-01-01 00:09:00,0.681,2.334,NA
2023-01-01 00:10:00,0.573,2.101,NA
2023-01-01 00:11:00,0.522,1.965,NA
2023-01-01 00:12:00,0.516,1.93,NA
2023-01-01 00:13:00,0.507,1.887,NA
2023-01-01 00:14:00,0.453,1.697,NA
2023-01-01 00:15:00,0.444,1.668,NA
2023-01-01 00:16:00,0.411,1.67,NA
2023-01-01 00:17:00,0.37,1.642,NA
2023-01-01 00:18:00,0.309,1.559,NA
2023-01-01 00:19:00,0.296,1.497,NA
2023-01-01 00:20:00,0.292,1.463,NA
2023-01-01 00:21:00,0.318,1.502,NA
2023-01-01 00:22:00,0.387,1.615,NA
2023-01-01 00:23:00,0.419,1.693,NA
2023-01-01 00:24:00,0.448,1.607,NA
2023-01-01 00:25:00,0.475,1.432,NA
2023-01-01 00:26:00,0.511,1.294,NA
2023-01-01 00:27:00,0.518,1.101,NA
2023-01-01 00:28:00,0.521,0.869,NA
2023-01-01 00:29:00,0.488,0.691,NA
2023-01-01 00:30:00,0.45,0.525,NA
2023-01-01 00:31:00,0.398,0.3,NA
2023-01-01 00:32:00,0.359,0.187,NA
2023-01-01 00:33:00,0.32,0.113,NA
2023-01-01 00:34:00,0.273,0.035,NA
2023-01-01 00:35:00,0.239,-0.002,NA
2023-01-01 00:36:00,0.223,0.039,NA
2023-01-01 00:37:00,0.215,0.059,NA
2023-01-01 00:38:00,0.24,0.155,NA
2023-01-01 00:39:00,0.28,0.309,NA
2023-01-01 00:40:00,0.326,0.472,NA
2023-01-01 00:41:00,0.347,0.594,NA
2023-01-01 00:42:00,0.36,0.659,NA
2023-01-01 00:43:00,0.407,0.733,NA
2023-01-01 00:44:00,0.467,0.749,NA
2023-01-01 00:45:00,0.489,0.759,NA
2023-01-01 00:46:00,0.459,0.692,NA
2023-01-01 00:47:00,0.43,0.592,NA
2023-01-01 00:48:00,0.376,0.452,NA
2023-01-01 00:49:00,0.315,0.273,NA
2023-01-01 00:50:00,0.312,0.262,NA
2023-01-01 00:51:00,0.294,0.252,NA
2023-01-01 00:52:00,0.223,0.222,NA
2023-01-01 00:53:00,0.191,0.284,NA
2023-01-01 00:54:00,0.194,0.366,NA
2023-01-01 00:55:00,0.208,0.473,NA
2023-01-01 00:56:00,0.238,0.643,NA
2023-01-01 00:57:00,0.278,0.809,NA
2023-01-01 00:58:00,0.345,0.956,NA
2023-01-01 00:59:00,0.381,0.986,NA
2023-01-01 01:00:00,0.418,0.973,NA
2023-01-01 01:01:00,0.429,0.933,NA
2023-01-01 01:02:00,0.461,0.918,NA
2023-01-01 01:03:00,0.489,0.899,NA
2023-01-01 01:04:00,0.475,0.788,NA
2023-01-01 01:05:00,0.431,0.602,NA
2023-01-01 01:06:00,0.356,0.352,NA
2023-01-01 01:07:00,0.314,0.231,NA
2023-01-01 01:08:00,0.278,0.173,NA
2023-01-01 01:09:00,0.211,0.046,NA
2023-01-01 01:10:00,0.197,-0.018,NA
2023-01-01 01:11:00,0.237,-0.035,NA
2023-01-01 01:12:00,0.269,0.025,NA
2023-01-01 01:13:00,0.363,0.153,NA
2023-01-01 01:14:00,0.446,0.275,NA
2023-01-01 01:15:00,0.509,0.429,NA
2023-01-01 01:16:00,0.552,0.576,NA
2023-01-01 01:17:00,0.598,0.747,NA
2023-01-01 01:18:00,0.601,0.812,NA
2023-01-01 01:19:00,0.538,0.785,NA
2023-01-01 01:20:00,0.487,0.693,NA
2023-01-01 01:21:00,0.418,0.565,NA
2023-01-01 01:22:00,0.319,0.415,NA
2023-01-01 01:23:00,0.243,0.267,NA
2023-01-01 01:24:00,0.196,0.105,NA
2023-01-01 01:25:00,0.155,-0.044,NA
2023-01-01 01:26:00,0.127,-0.158,NA
2023-01-01 01:27:00,0.128,-0.178,NA
2023-01-01 01:28:00,0.153,-0.132,NA
2023-01-01 01:29:00,0.209,-0.05,NA
2023-01-01 01:30:00,0.248,-0.034,NA
2023-01-01 01:31:00,0.268,-0.024,NA
2023-01-01 01:32:00,0.293,0.008,NA
2023-01-01 01:33:00,0.332,0.05,NA
2023-01-01 01:34:00,0.366,0.093,NA
2023-01-01 01:35:00,0.362,0.085,NA
2023-01-01 01:36:00,0.332,0.033,NA
2023-01-01 01:37:00,0.284,-0.067,NA
2023-01-01 01:38:00,0.237,-0.117,NA
2023-01-01 01:39:00,0.228,-0.124,NA
2023-01-01 01:40:00,0.215,-0.138,NA
2023-01-01 01:41:00,0.172,-0.186,NA
2023-01-01 01:42:00,0.128,-0.247,NA
2023-01-01 01:43:00,0.123,-0.25,NA
2023-01-01 01:44:00,0.133,-0.22,NA
2023-01-01 01:45:00,0.153,-0.189,NA
2023-01-01 01:46:00,0.193,-0.125,NA
2023-01-01 01:47:00,0.237,-0.009,NA
2023-01-01 01:48:00,0.273,0.145,NA
2023-01-01 01:49:00,0.328,0.303,NA
2023-01-01 01:50:00,0.389,0.418,NA
2023-01-01 01:51:00,0.433,0.476,NA
2023-01-01 01:52:00,0.452,0.483,NA
2023-01-01 01:53:00,0.435,0.446,NA
2023-01-01 01:54:00,0.405,0.409,NA
2023-01-01 01:55:00,0.368,0.339,NA
2023-01-01 01:56:00,0.329,0.243,NA
2023-01-01 01:57:00,0.274,0.137,NA
2023-01-01 01:58:00,0.207,0.037,NA
2023-01-01 01:59:00,0.175,0.038,NA
2023-01-01 02:00:00,0.132,0.028,NA
2023-01-01 02:01:00,0.136,0.058,NA
2023-01-01 02:02:00,0.174,0.124,NA
2023-01-01 02:03:00,0.218,0.264,NA
2023-01-01 02:04:00,0.245,0.312,NA
2023-01-01 02:05:00,0.274,0.361,NA
2023-01-01 02:06:00,0.311,0.449,NA
2023-01-01 02:07:00,0.35,0.453,NA
2023-01-01 02:08:00,0.41,0.481,NA
2023-01-01 02:09:00,0.492,0.602,NA
2023-01-01 02:10:00,0.502,0.636,NA
2023-01-01 02:11:00,0.462,0.553,NA
2023-01-01 02:12:00,0.415,0.429,NA
2023-01-01 02:13:00,0.382,0.319,NA
2023-01-01 02:14:00,0.351,0.214,NA
2023-01-01 02:15:00,0.31,0.123,NA
2023-01-01 02:16:00,0.249,0.06,NA
2023-01-01 02:17:00,0.177,-0.003,NA
2023-01-01 02:18:00,0.117,-0.092,NA
2023-01-01 02:19:00,0.116,-0.071,NA
2023-01-01 02:20:00,0.158,0.063,NA
2023-01-01 02:21:00,0.211,0.17,NA
2023-01-01 02:22:00,0.287,0.338,NA
2023-01-01 02:23:00,0.349,0.519,NA
2023-01-01 02:24:00,0.436,0.698,NA
2023-01-01 02:25:00,0.484,0.774,NA
2023-01-01 02:26:00,0.52,0.836,NA
2023-01-01 02:27:00,0.563,0.947,NA
2023-01-01 02:28:00,0.551,0.895,NA
2023-01-01 02:29:00,0.522,0.804,NA
2023-01-01 02:30:00,0.474,0.714,NA
2023-01-01 02:31:00,0.405,0.566,NA
2023-01-01 02:32:00,0.365,0.461,NA
2023-01-01 02:33:00,0.292,0.317,NA
2023-01-01 02:34:00,0.25,0.215,NA
2023-01-01 02:35:00,0.188,0.063,NA
2023-01-01 02:36:00,0.155,-0.051,NA
2023-01-01 02:37:00,0.157,-0.091,NA
2023-01-01 02:38:00,0.177,-0.075,NA
2023-01-01 02:39:00,0.245,0.031,NA
2023-01-01 02:40:00,0.331,0.139,NA
2023-01-01 02:41:00,0.403,0.233,NA
2023-01-01 02:42:00,0.476,0.282,NA
2023-01-01 02:43:00,0.55,0.353,NA
2023-01-01 02:44:00,0.622,0.488,NA
2023-01-01 02:45:00,0.668,0.6,NA
2023-01-01 02:46:00,0.675,0.598,NA
2023-01-01 02:47:00,0.622,0.483,NA
2023-01-01 02:48:00,0.557,0.339,NA
2023-01-01 02:49:00,0.487,0.172,NA
2023-01-01 02:50:00,0.416,0.043,NA
2023-01-01 02:51:00,0.339,-0.043,NA
2023-01-01 02:52:00,0.289,-0.115,NA
2023-01-01 02:53:00,0.231,-0.227,NA
2023-01-01 02:54:00,0.191,-0.337,NA
2023-01-01 02:55:00,0.187,-0.331,NA
2023-01-01 02:56:00,0.223,-0.283,NA
2023-01-01 02:57:00,0.275,-0.151,NA
2023-01-01 02:58:00,0.322,-0.032,NA
2023-01-01 02:59:00,0.354,0.017,NA
2023-01-01 03:00:00,0.376,0.112,NA
2023-01-01 03:01:00,0.405,0.203,NA
2023-01-01 03:02:00,0.472,0.32,NA
2023-01-01 03:03:00,0.555,0.52,NA
2023-01-01 03:04:00,0.612,0.735,NA
2023-01-01 03:05:00,0.633,0.853,NA
2023-01-01 03:06:00,0.59,0.849,NA
2023-01-01 03:07:00,0.558,0.825,NA
2023-01-01 03:08:00,0.524,0.801,NA
2023-01-01 03:09:00,0.502,0.768,NA
2023-01-01 03:10:00,0.458,0.735,NA
2023-01-01 03:11:00,0.371,0.595,NA
2023-01-01 03:12:00,0.31,0.44,NA
2023-01-01 03:13:00,0.237,0.256,NA
2023-01-01 03:14:00,0.173,0.125,NA
2023-01-01 03:15:00,0.159,0.1,NA
2023-01-01 03:16:00,0.189,0.134,NA
2023-01-01 03:17:00,0.22,0.175,NA
2023-01-01 03:18:00,0.269,0.232,NA
2023-01-01 03:19:00,0.302,0.316,NA
2023-01-01 03:20:00,0.317,0.357,NA
2023-01-01 03:21:00,0.33,0.398,NA
2023-01-01 03:22:00,0.381,0.462,NA
2023-01-01 03:23:00,0.416,0.509,NA
2023-01-01 03:24:00,0.417,0.507,NA
2023-01-01 03:25:00,0.382,0.437,NA
2023-01-01 03:26:00,0.342,0.438,NA
2023-01-01 03:27:00,0.296,0.34,NA
2023-01-01 03:28:00,0.262,0.257,NA
2023-01-01 03:29:00,0.241,0.19,NA
2023-01-01 03:30:00,0.22,0.125,NA
2023-01-01 03:31:00,0.174,0.011,NA
2023-01-01 03:32:00,0.146,-0.075,NA
2023-01-01 03:33:00,0.143,-0.081,NA
2023-01-01 03:34:00,0.147,-0.088,NA
2023-01-01 03:35:00,0.173,-0.151,NA
2023-01-01 03:36:00,0.228,-0.12,NA
2023-01-01 03:37:00,0.284,-0.003,NA
