"Elements","11-2024"
"Al_Concentration (ng/m3)","4.51"
"Si_Concentration (ng/m3)","0.959"
"P_Concentration (ng/m3)","0.451"
"S_Concentration (ng/m3)","372"
"Cl_Concentration (ng/m3)","329"
"K_Concentration (ng/m3)","119"
"Ca_Concentration (ng/m3)","30.2"
"Ti_Concentration (ng/m3)","2.84"
"V_Concentration (ng/m3)","0.130"
"Cr_Concentration (ng/m3)","0.868"
"Mn_Concentration (ng/m3)","1.62"
"Fe_Concentration (ng/m3)","131"
"Co_Concentration (ng/m3)","0.00398"
"Ni_Concentration (ng/m3)","0.235"
"Cu_Concentration (ng/m3)","6.98"
"Zn_Concentration (ng/m3)","32.9"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0.0000476"
"As_Concentration (ng/m3)","3.68"
"Se_Concentration (ng/m3)","0.0538"
"Br_Concentration (ng/m3)","6.73"
"Sr_Concentration (ng/m3)","2.00"
"Y_Concentration (ng/m3)","0.00918"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0.107"
"Pd_Concentration (ng/m3)","0.0000331"
"Ag_Concentration (ng/m3)","0.111"
"Cd_Concentration (ng/m3)","0.000519"
"In_Concentration (ng/m3)","0.000426"
"Sn_Concentration (ng/m3)","0.000428"
"Sb_Concentration (ng/m3)","0.00145"
"Te_Concentration (ng/m3)","0.00103"
"Ba_Concentration (ng/m3)","2.40"
"La_Concentration (ng/m3)","0.00000815"
"Ce_Concentration (ng/m3)","0.0000197"
"Pt_Concentration (ng/m3)","0.0000124"
"Hg_Concentration (ng/m3)","0"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","9.09"
"Bi_Concentration (ng/m3)","0.348"
