"Elements","1-2022"
"Al_Concentration (ng/m3)","648"
"Si_Concentration (ng/m3)","16.8"
"P_Concentration (ng/m3)","0.00146"
"S_Concentration (ng/m3)","395"
"Cl_Concentration (ng/m3)","736"
"K_Concentration (ng/m3)","113"
"Ca_Concentration (ng/m3)","63.8"
"Ti_Concentration (ng/m3)","3.86"
"V_Concentration (ng/m3)","0.0951"
"Cr_Concentration (ng/m3)","0.627"
"Mn_Concentration (ng/m3)","1.96"
"Fe_Concentration (ng/m3)","178"
"Co_Concentration (ng/m3)","0.0965"
"Ni_Concentration (ng/m3)","0.253"
"Cu_Concentration (ng/m3)","10.5"
"Zn_Concentration (ng/m3)","32.7"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","3.00"
"Se_Concentration (ng/m3)","0.250"
"Br_Concentration (ng/m3)","6.97"
"Sr_Concentration (ng/m3)","0.405"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0.271"
"Pd_Concentration (ng/m3)","17.2"
"Ag_Concentration (ng/m3)","0"
"Cd_Concentration (ng/m3)","0.00295"
"In_Concentration (ng/m3)","0.000569"
"Sn_Concentration (ng/m3)","0.00563"
"Sb_Concentration (ng/m3)","0.00491"
"Te_Concentration (ng/m3)","0.00975"
"Ba_Concentration (ng/m3)","5.76"
"La_Concentration (ng/m3)","0"
"Ce_Concentration (ng/m3)","0.000462"
"Pt_Concentration (ng/m3)","0.0000127"
"Hg_Concentration (ng/m3)","0.0000273"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","8.92"
"Bi_Concentration (ng/m3)","1.46"
