"Elements","12-2025"
"Al_Concentration (ng/m3)","0"
"Si_Concentration (ng/m3)","0.00827"
"P_Concentration (ng/m3)","0.00477"
"S_Concentration (ng/m3)","119"
"Cl_Concentration (ng/m3)","860"
"K_Concentration (ng/m3)","59.7"
"Ca_Concentration (ng/m3)","29.2"
"Ti_Concentration (ng/m3)","0.551"
"V_Concentration (ng/m3)","0.0353"
"Cr_Concentration (ng/m3)","0.867"
"Mn_Concentration (ng/m3)","0.0308"
"Fe_Concentration (ng/m3)","31.5"
"Co_Concentration (ng/m3)","0"
"Ni_Concentration (ng/m3)","0.0116"
"Cu_Concentration (ng/m3)","1.95"
"Zn_Concentration (ng/m3)","4.22"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0.0000878"
"As_Concentration (ng/m3)","1.15"
"Se_Concentration (ng/m3)","0.000130"
"Br_Concentration (ng/m3)","3.01"
"Sr_Concentration (ng/m3)","0.276"
"Y_Concentration (ng/m3)","0.0420"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","0.310"
"Ag_Concentration (ng/m3)","0.000831"
"Cd_Concentration (ng/m3)","0.000843"
"In_Concentration (ng/m3)","0.00125"
"Sn_Concentration (ng/m3)","0.00295"
"Sb_Concentration (ng/m3)","0.00345"
"Te_Concentration (ng/m3)","0.000477"
"Ba_Concentration (ng/m3)","0.268"
"La_Concentration (ng/m3)","0.000148"
"Ce_Concentration (ng/m3)","0"
"Pt_Concentration (ng/m3)","0"
"Hg_Concentration (ng/m3)","0"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","0.202"
"Bi_Concentration (ng/m3)","0"
