"Elements","4-2024"
"Al_Concentration (ng/m3)","245"
"Si_Concentration (ng/m3)","0.00662"
"P_Concentration (ng/m3)","0.00310"
"S_Concentration (ng/m3)","214"
"Cl_Concentration (ng/m3)","747"
"K_Concentration (ng/m3)","41.8"
"Ca_Concentration (ng/m3)","42.1"
"Ti_Concentration (ng/m3)","1.64"
"V_Concentration (ng/m3)","0.137"
"Cr_Concentration (ng/m3)","0.0919"
"Mn_Concentration (ng/m3)","0.276"
"Fe_Concentration (ng/m3)","46.5"
"Co_Concentration (ng/m3)","0.000169"
"Ni_Concentration (ng/m3)","0.0901"
"Cu_Concentration (ng/m3)","2.17"
"Zn_Concentration (ng/m3)","5.84"
"Ga_Concentration (ng/m3)","0.00152"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","0.253"
"Se_Concentration (ng/m3)","0.0411"
"Br_Concentration (ng/m3)","2.58"
"Sr_Concentration (ng/m3)","0.848"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0.0000123"
"Pd_Concentration (ng/m3)","15.6"
"Ag_Concentration (ng/m3)","0.261"
"Cd_Concentration (ng/m3)","0.00192"
"In_Concentration (ng/m3)","0"
"Sn_Concentration (ng/m3)","0.00237"
"Sb_Concentration (ng/m3)","0.00559"
"Te_Concentration (ng/m3)","0.00130"
"Ba_Concentration (ng/m3)","0.183"
"La_Concentration (ng/m3)","0.000246"
"Ce_Concentration (ng/m3)","0.000427"
"Pt_Concentration (ng/m3)","0.0000956"
"Hg_Concentration (ng/m3)","0.000105"
"Tl_Concentration (ng/m3)","0.0000833"
"Pb_Concentration (ng/m3)","2.69"
"Bi_Concentration (ng/m3)","0.00741"
