"Elements","12-2023"
"Al_Concentration (ng/m3)","468"
"Si_Concentration (ng/m3)","0.648"
"P_Concentration (ng/m3)","0.00787"
"S_Concentration (ng/m3)","170"
"Cl_Concentration (ng/m3)","777"
"K_Concentration (ng/m3)","48.8"
"Ca_Concentration (ng/m3)","30.7"
"Ti_Concentration (ng/m3)","1.02"
"V_Concentration (ng/m3)","0.0293"
"Cr_Concentration (ng/m3)","0.151"
"Mn_Concentration (ng/m3)","0.480"
"Fe_Concentration (ng/m3)","42.1"
"Co_Concentration (ng/m3)","0.000153"
"Ni_Concentration (ng/m3)","0.0904"
"Cu_Concentration (ng/m3)","2.54"
"Zn_Concentration (ng/m3)","8.54"
"Ga_Concentration (ng/m3)","0.0000782"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","0.535"
"Se_Concentration (ng/m3)","0.0948"
"Br_Concentration (ng/m3)","3.30"
"Sr_Concentration (ng/m3)","0.716"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0.00000694"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","13.7"
"Ag_Concentration (ng/m3)","0.00260"
"Cd_Concentration (ng/m3)","0.123"
"In_Concentration (ng/m3)","0.000309"
"Sn_Concentration (ng/m3)","0.00264"
"Sb_Concentration (ng/m3)","0.00477"
"Te_Concentration (ng/m3)","0.00590"
"Ba_Concentration (ng/m3)","0.323"
"La_Concentration (ng/m3)","0.000319"
"Ce_Concentration (ng/m3)","0.0000331"
"Pt_Concentration (ng/m3)","0.000132"
"Hg_Concentration (ng/m3)","0.000188"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","3.99"
"Bi_Concentration (ng/m3)","0.00684"
