"Elements","6-2024"
"Al_Concentration (ng/m3)","417"
"Si_Concentration (ng/m3)","1.49"
"P_Concentration (ng/m3)","0.0000129"
"S_Concentration (ng/m3)","603"
"Cl_Concentration (ng/m3)","146"
"K_Concentration (ng/m3)","34.1"
"Ca_Concentration (ng/m3)","30.2"
"Ti_Concentration (ng/m3)","1.83"
"V_Concentration (ng/m3)","0.0721"
"Cr_Concentration (ng/m3)","0.0233"
"Mn_Concentration (ng/m3)","0.122"
"Fe_Concentration (ng/m3)","52.1"
"Co_Concentration (ng/m3)","0.000211"
"Ni_Concentration (ng/m3)","0.0516"
"Cu_Concentration (ng/m3)","2.19"
"Zn_Concentration (ng/m3)","6.48"
"Ga_Concentration (ng/m3)","0.0000141"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","0.289"
"Se_Concentration (ng/m3)","0.403"
"Br_Concentration (ng/m3)","2.24"
"Sr_Concentration (ng/m3)","0.601"
"Y_Concentration (ng/m3)","0.0000282"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0.0474"
"Pd_Concentration (ng/m3)","12.8"
"Ag_Concentration (ng/m3)","0.154"
"Cd_Concentration (ng/m3)","0.00395"
"In_Concentration (ng/m3)","0"
"Sn_Concentration (ng/m3)","0.00484"
"Sb_Concentration (ng/m3)","0.00186"
"Te_Concentration (ng/m3)","0.00218"
"Ba_Concentration (ng/m3)","0.220"
"La_Concentration (ng/m3)","0.000251"
"Ce_Concentration (ng/m3)","0.000313"
"Pt_Concentration (ng/m3)","0.0000590"
"Hg_Concentration (ng/m3)","0.000154"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","3.38"
"Bi_Concentration (ng/m3)","0.0124"
