"Elements","10-2025"
"Al_Concentration (ng/m3)","0"
"Si_Concentration (ng/m3)","0.00871"
"P_Concentration (ng/m3)","0.00549"
"S_Concentration (ng/m3)","280"
"Cl_Concentration (ng/m3)","485"
"K_Concentration (ng/m3)","80.3"
"Ca_Concentration (ng/m3)","26.0"
"Ti_Concentration (ng/m3)","1.54"
"V_Concentration (ng/m3)","0.0886"
"Cr_Concentration (ng/m3)","1.20"
"Mn_Concentration (ng/m3)","0.285"
"Fe_Concentration (ng/m3)","57.3"
"Co_Concentration (ng/m3)","0.000129"
"Ni_Concentration (ng/m3)","0.110"
"Cu_Concentration (ng/m3)","3.30"
"Zn_Concentration (ng/m3)","14.5"
"Ga_Concentration (ng/m3)","0.00000467"
"Ge_Concentration (ng/m3)","0.000117"
"As_Concentration (ng/m3)","1.96"
"Se_Concentration (ng/m3)","0.492"
"Br_Concentration (ng/m3)","4.19"
"Sr_Concentration (ng/m3)","0.653"
"Y_Concentration (ng/m3)","0.0223"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0.0651"
"Pd_Concentration (ng/m3)","0.231"
"Ag_Concentration (ng/m3)","0.000908"
"Cd_Concentration (ng/m3)","0.00178"
"In_Concentration (ng/m3)","0.000553"
"Sn_Concentration (ng/m3)","0.000539"
"Sb_Concentration (ng/m3)","0.00152"
"Te_Concentration (ng/m3)","0.00204"
"Ba_Concentration (ng/m3)","1.13"
"La_Concentration (ng/m3)","0.0000404"
"Ce_Concentration (ng/m3)","0.000139"
"Pt_Concentration (ng/m3)","0.0000291"
"Hg_Concentration (ng/m3)","0"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","1.45"
"Bi_Concentration (ng/m3)","0.0915"
