"Elements","5-2025"
"Al_Concentration (ng/m3)","0"
"Si_Concentration (ng/m3)","0.0362"
"P_Concentration (ng/m3)","0.00760"
"S_Concentration (ng/m3)","317"
"Cl_Concentration (ng/m3)","427"
"K_Concentration (ng/m3)","37.6"
"Ca_Concentration (ng/m3)","24.5"
"Ti_Concentration (ng/m3)","0.966"
"V_Concentration (ng/m3)","0.0105"
"Cr_Concentration (ng/m3)","0.951"
"Mn_Concentration (ng/m3)","0.130"
"Fe_Concentration (ng/m3)","46.9"
"Co_Concentration (ng/m3)","0.000146"
"Ni_Concentration (ng/m3)","0.228"
"Cu_Concentration (ng/m3)","2.53"
"Zn_Concentration (ng/m3)","4.26"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0.000287"
"As_Concentration (ng/m3)","0.129"
"Se_Concentration (ng/m3)","0.268"
"Br_Concentration (ng/m3)","2.61"
"Sr_Concentration (ng/m3)","0.410"
"Y_Concentration (ng/m3)","0.102"
"Zr_Concentration (ng/m3)","0.0553"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","14.0"
"Ag_Concentration (ng/m3)","0.00598"
"Cd_Concentration (ng/m3)","0.000718"
"In_Concentration (ng/m3)","0.00254"
"Sn_Concentration (ng/m3)","0.000915"
"Sb_Concentration (ng/m3)","0.00408"
"Te_Concentration (ng/m3)","0"
"Ba_Concentration (ng/m3)","0.000141"
"La_Concentration (ng/m3)","0.0000709"
"Ce_Concentration (ng/m3)","0.000200"
"Pt_Concentration (ng/m3)","0.0000547"
"Hg_Concentration (ng/m3)","0.000250"
"Tl_Concentration (ng/m3)","0.000414"
"Pb_Concentration (ng/m3)","2.61"
"Bi_Concentration (ng/m3)","0"
