"Elements","2-2025"
"Al_Concentration (ng/m3)","0"
"Si_Concentration (ng/m3)","0.0176"
"P_Concentration (ng/m3)","0.116"
"S_Concentration (ng/m3)","569"
"Cl_Concentration (ng/m3)","542"
"K_Concentration (ng/m3)","114"
"Ca_Concentration (ng/m3)","33.5"
"Ti_Concentration (ng/m3)","1.23"
"V_Concentration (ng/m3)","0.0388"
"Cr_Concentration (ng/m3)","1.27"
"Mn_Concentration (ng/m3)","0.363"
"Fe_Concentration (ng/m3)","68.0"
"Co_Concentration (ng/m3)","0.0000952"
"Ni_Concentration (ng/m3)","0.121"
"Cu_Concentration (ng/m3)","3.16"
"Zn_Concentration (ng/m3)","15.7"
"Ga_Concentration (ng/m3)","0.0000350"
"Ge_Concentration (ng/m3)","0.0000340"
"As_Concentration (ng/m3)","1.91"
"Se_Concentration (ng/m3)","0.155"
"Br_Concentration (ng/m3)","4.59"
"Sr_Concentration (ng/m3)","0.147"
"Y_Concentration (ng/m3)","0.0307"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0.00953"
"Pd_Concentration (ng/m3)","0.362"
"Ag_Concentration (ng/m3)","0.00107"
"Cd_Concentration (ng/m3)","0.00182"
"In_Concentration (ng/m3)","0.000964"
"Sn_Concentration (ng/m3)","0.00130"
"Sb_Concentration (ng/m3)","0.00482"
"Te_Concentration (ng/m3)","0.00175"
"Ba_Concentration (ng/m3)","0.149"
"La_Concentration (ng/m3)","0.0000741"
"Ce_Concentration (ng/m3)","0.000186"
"Pt_Concentration (ng/m3)","0.0000647"
"Hg_Concentration (ng/m3)","0"
"Tl_Concentration (ng/m3)","0.0000528"
"Pb_Concentration (ng/m3)","2.87"
"Bi_Concentration (ng/m3)","0.00437"
