"Elements","4-2022"
"Al_Concentration (ng/m3)","96.7"
"Si_Concentration (ng/m3)","55.3"
"P_Concentration (ng/m3)","0"
"S_Concentration (ng/m3)","652"
"Cl_Concentration (ng/m3)","335"
"K_Concentration (ng/m3)","92.4"
"Ca_Concentration (ng/m3)","129"
"Ti_Concentration (ng/m3)","5.41"
"V_Concentration (ng/m3)","1.08"
"Cr_Concentration (ng/m3)","0.433"
"Mn_Concentration (ng/m3)","1.96"
"Fe_Concentration (ng/m3)","149"
"Co_Concentration (ng/m3)","0.000162"
"Ni_Concentration (ng/m3)","0.637"
"Cu_Concentration (ng/m3)","4.44"
"Zn_Concentration (ng/m3)","17.8"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","1.51"
"Se_Concentration (ng/m3)","0.359"
"Br_Concentration (ng/m3)","5.45"
"Sr_Concentration (ng/m3)","1.24"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","14.5"
"Ag_Concentration (ng/m3)","0.135"
"Cd_Concentration (ng/m3)","0.00150"
"In_Concentration (ng/m3)","0.0000752"
"Sn_Concentration (ng/m3)","0.00147"
"Sb_Concentration (ng/m3)","0.00286"
"Te_Concentration (ng/m3)","0.00381"
"Ba_Concentration (ng/m3)","1.26"
"La_Concentration (ng/m3)","0"
"Ce_Concentration (ng/m3)","0.00000732"
"Pt_Concentration (ng/m3)","0"
"Hg_Concentration (ng/m3)","0.0000745"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","6.18"
"Bi_Concentration (ng/m3)","0.301"
