"Elements","9-2021"
"Al_Concentration (ng/m3)","703"
"Si_Concentration (ng/m3)","0.00823"
"P_Concentration (ng/m3)","0.000214"
"S_Concentration (ng/m3)","346"
"Cl_Concentration (ng/m3)","122"
"K_Concentration (ng/m3)","49.8"
"Ca_Concentration (ng/m3)","36.9"
"Ti_Concentration (ng/m3)","2.06"
"V_Concentration (ng/m3)","0.133"
"Cr_Concentration (ng/m3)","0.171"
"Mn_Concentration (ng/m3)","0.452"
"Fe_Concentration (ng/m3)","75.5"
"Co_Concentration (ng/m3)","0.000156"
"Ni_Concentration (ng/m3)","0.0246"
"Cu_Concentration (ng/m3)","3.82"
"Zn_Concentration (ng/m3)","11.3"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","1.34"
"Se_Concentration (ng/m3)","0.174"
"Br_Concentration (ng/m3)","3.22"
"Sr_Concentration (ng/m3)","0.258"
"Y_Concentration (ng/m3)","0.00000993"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0.0117"
"Pd_Concentration (ng/m3)","13.7"
"Ag_Concentration (ng/m3)","0.126"
"Cd_Concentration (ng/m3)","0.00279"
"In_Concentration (ng/m3)","0"
"Sn_Concentration (ng/m3)","0.00224"
"Sb_Concentration (ng/m3)","0.00639"
"Te_Concentration (ng/m3)","0.0125"
"Ba_Concentration (ng/m3)","1.42"
"La_Concentration (ng/m3)","0"
"Ce_Concentration (ng/m3)","0.000180"
"Pt_Concentration (ng/m3)","0"
"Hg_Concentration (ng/m3)","0.0000275"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","2.76"
"Bi_Concentration (ng/m3)","0.108"
