"Elements","9-2025"
"Al_Concentration (ng/m3)","0"
"Si_Concentration (ng/m3)","0.00252"
"P_Concentration (ng/m3)","0.517"
"S_Concentration (ng/m3)","199"
"Cl_Concentration (ng/m3)","349"
"K_Concentration (ng/m3)","53.0"
"Ca_Concentration (ng/m3)","24.9"
"Ti_Concentration (ng/m3)","1.29"
"V_Concentration (ng/m3)","0.105"
"Cr_Concentration (ng/m3)","1.14"
"Mn_Concentration (ng/m3)","0.287"
"Fe_Concentration (ng/m3)","53.8"
"Co_Concentration (ng/m3)","0.000207"
"Ni_Concentration (ng/m3)","0.0512"
"Cu_Concentration (ng/m3)","2.69"
"Zn_Concentration (ng/m3)","10.3"
"Ga_Concentration (ng/m3)","0.00000387"
"Ge_Concentration (ng/m3)","0.0000582"
"As_Concentration (ng/m3)","1.68"
"Se_Concentration (ng/m3)","0.183"
"Br_Concentration (ng/m3)","3.42"
"Sr_Concentration (ng/m3)","0.243"
"Y_Concentration (ng/m3)","0.0224"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","0.168"
"Ag_Concentration (ng/m3)","0.00166"
"Cd_Concentration (ng/m3)","0.000556"
"In_Concentration (ng/m3)","0.000427"
"Sn_Concentration (ng/m3)","0.00338"
"Sb_Concentration (ng/m3)","0.00173"
"Te_Concentration (ng/m3)","0.00470"
"Ba_Concentration (ng/m3)","0.351"
"La_Concentration (ng/m3)","0"
"Ce_Concentration (ng/m3)","0.000247"
"Pt_Concentration (ng/m3)","0.000153"
"Hg_Concentration (ng/m3)","0"
"Tl_Concentration (ng/m3)","0.0000233"
"Pb_Concentration (ng/m3)","1.09"
"Bi_Concentration (ng/m3)","0.0185"
