"Elements","12-2022"
"Al_Concentration (ng/m3)","452"
"Si_Concentration (ng/m3)","0.0146"
"P_Concentration (ng/m3)","0.814"
"S_Concentration (ng/m3)","311"
"Cl_Concentration (ng/m3)","509"
"K_Concentration (ng/m3)","84.7"
"Ca_Concentration (ng/m3)","30.8"
"Ti_Concentration (ng/m3)","1.73"
"V_Concentration (ng/m3)","0.114"
"Cr_Concentration (ng/m3)","0.186"
"Mn_Concentration (ng/m3)","0.697"
"Fe_Concentration (ng/m3)","79.6"
"Co_Concentration (ng/m3)","0.000260"
"Ni_Concentration (ng/m3)","0.0175"
"Cu_Concentration (ng/m3)","6.13"
"Zn_Concentration (ng/m3)","20.9"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","1.64"
"Se_Concentration (ng/m3)","0.120"
"Br_Concentration (ng/m3)","4.79"
"Sr_Concentration (ng/m3)","0.426"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","15.9"
"Ag_Concentration (ng/m3)","0.00118"
"Cd_Concentration (ng/m3)","0.00199"
"In_Concentration (ng/m3)","0.00296"
"Sn_Concentration (ng/m3)","0.00613"
"Sb_Concentration (ng/m3)","0.00709"
"Te_Concentration (ng/m3)","0.000291"
"Ba_Concentration (ng/m3)","1.63"
"La_Concentration (ng/m3)","0.0000975"
"Ce_Concentration (ng/m3)","0.000885"
"Pt_Concentration (ng/m3)","0.00000531"
"Hg_Concentration (ng/m3)","0.0000787"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","6.84"
"Bi_Concentration (ng/m3)","0.00947"
