"Elements","4-2025"
"Al_Concentration (ng/m3)","0"
"Si_Concentration (ng/m3)","0"
"P_Concentration (ng/m3)","0.0143"
"S_Concentration (ng/m3)","385"
"Cl_Concentration (ng/m3)","260"
"K_Concentration (ng/m3)","72.6"
"Ca_Concentration (ng/m3)","92.1"
"Ti_Concentration (ng/m3)","3.24"
"V_Concentration (ng/m3)","0.550"
"Cr_Concentration (ng/m3)","1.33"
"Mn_Concentration (ng/m3)","0.0493"
"Fe_Concentration (ng/m3)","70.3"
"Co_Concentration (ng/m3)","0"
"Ni_Concentration (ng/m3)","0.217"
"Cu_Concentration (ng/m3)","2.43"
"Zn_Concentration (ng/m3)","11.0"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0.000246"
"As_Concentration (ng/m3)","1.17"
"Se_Concentration (ng/m3)","0.0706"
"Br_Concentration (ng/m3)","2.79"
"Sr_Concentration (ng/m3)","0.453"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","0.587"
"Ag_Concentration (ng/m3)","0"
"Cd_Concentration (ng/m3)","0"
"In_Concentration (ng/m3)","0.00332"
"Sn_Concentration (ng/m3)","0"
"Sb_Concentration (ng/m3)","0"
"Te_Concentration (ng/m3)","0"
"Ba_Concentration (ng/m3)","0.00136"
"La_Concentration (ng/m3)","0"
"Ce_Concentration (ng/m3)","0"
"Pt_Concentration (ng/m3)","0.000406"
"Hg_Concentration (ng/m3)","0"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","0.705"
"Bi_Concentration (ng/m3)","0"
