"Elements","2-2022"
"Al_Concentration (ng/m3)","1070"
"Al_Concentration Uncertainty (ng/m3)","591"
"Si_Concentration (ng/m3)","40.9"
"Si_Concentration Uncertainty (ng/m3)","45.7"
"P_Concentration (ng/m3)","0.172"
"P_Concentration Uncertainty (ng/m3)","1.59"
"S_Concentration (ng/m3)","232"
"S_Concentration Uncertainty (ng/m3)","22.2"
"Cl_Concentration (ng/m3)","2100"
"Cl_Concentration Uncertainty (ng/m3)","72.2"
"K_Concentration (ng/m3)","91.4"
"K_Concentration Uncertainty (ng/m3)","6.23"
"Ca_Concentration (ng/m3)","147"
"Ca_Concentration Uncertainty (ng/m3)","6.43"
"Ti_Concentration (ng/m3)","3.46"
"Ti_Concentration Uncertainty (ng/m3)","1.05"
"V_Concentration (ng/m3)","0.0807"
"V_Concentration Uncertainty (ng/m3)","0.232"
"Cr_Concentration (ng/m3)","94.6"
"Cr_Concentration Uncertainty (ng/m3)","3.43"
"Mn_Concentration (ng/m3)","1.60"
"Mn_Concentration Uncertainty (ng/m3)","0.607"
"Fe_Concentration (ng/m3)","111"
"Fe_Concentration Uncertainty (ng/m3)","4.32"
"Co_Concentration (ng/m3)","0.0427"
"Co_Concentration Uncertainty (ng/m3)","0.128"
"Ni_Concentration (ng/m3)","0.0286"
"Ni_Concentration Uncertainty (ng/m3)","0.103"
"Cu_Concentration (ng/m3)","32.0"
"Cu_Concentration Uncertainty (ng/m3)","1.61"
"Zn_Concentration (ng/m3)","6.36"
"Zn_Concentration Uncertainty (ng/m3)","0.648"
"Ga_Concentration (ng/m3)","0.00102"
"Ga_Concentration Uncertainty (ng/m3)","0.00392"
"Ge_Concentration (ng/m3)","0"
"Ge_Concentration Uncertainty (ng/m3)","0"
"As_Concentration (ng/m3)","0.644"
"As_Concentration Uncertainty (ng/m3)","0.276"
"Se_Concentration (ng/m3)","0.0194"
"Se_Concentration Uncertainty (ng/m3)","0.0800"
"Br_Concentration (ng/m3)","3.73"
"Br_Concentration Uncertainty (ng/m3)","0.732"
"Sr_Concentration (ng/m3)","1.23"
"Sr_Concentration Uncertainty (ng/m3)","1.41"
"Y_Concentration (ng/m3)","2.91"
"Y_Concentration Uncertainty (ng/m3)","0.492"
"Zr_Concentration (ng/m3)","0.314"
"Zr_Concentration Uncertainty (ng/m3)","0.438"
"Mo_Concentration (ng/m3)","0.00627"
"Mo_Concentration Uncertainty (ng/m3)","0.0476"
"Pd_Concentration (ng/m3)","11.5"
"Pd_Concentration Uncertainty (ng/m3)","8.46"
"Ag_Concentration (ng/m3)","1.90"
"Ag_Concentration Uncertainty (ng/m3)","7.04"
"Cd_Concentration (ng/m3)","7840"
"Cd_Concentration Uncertainty (ng/m3)","257"
"In_Concentration (ng/m3)","0.0462"
"In_Concentration Uncertainty (ng/m3)","0.665"
"Sn_Concentration (ng/m3)","2.17"
"Sn_Concentration Uncertainty (ng/m3)","13.1"
"Sb_Concentration (ng/m3)","99.7"
"Sb_Concentration Uncertainty (ng/m3)","30.5"
"Te_Concentration (ng/m3)","5.62"
"Te_Concentration Uncertainty (ng/m3)","30.9"
"Ba_Concentration (ng/m3)","1.56"
"Ba_Concentration Uncertainty (ng/m3)","1.89"
"La_Concentration (ng/m3)","0.00315"
"La_Concentration Uncertainty (ng/m3)","0.0412"
"Ce_Concentration (ng/m3)","0.0222"
"Ce_Concentration Uncertainty (ng/m3)","0.224"
"Pt_Concentration (ng/m3)","0.000730"
"Pt_Concentration Uncertainty (ng/m3)","0.00672"
"Hg_Concentration (ng/m3)","0.00335"
"Hg_Concentration Uncertainty (ng/m3)","0.0393"
"Tl_Concentration (ng/m3)","0.425"
"Tl_Concentration Uncertainty (ng/m3)","0.223"
"Pb_Concentration (ng/m3)","374"
"Pb_Concentration Uncertainty (ng/m3)","12.3"
"Bi_Concentration (ng/m3)","0.0239"
"Bi_Concentration Uncertainty (ng/m3)","0.00563"
