"Elements","7-2025"
"Al_Concentration (ng/m3)","0"
"Si_Concentration (ng/m3)","2.34"
"P_Concentration (ng/m3)","0.871"
"S_Concentration (ng/m3)","680"
"Cl_Concentration (ng/m3)","154"
"K_Concentration (ng/m3)","38.7"
"Ca_Concentration (ng/m3)","24.4"
"Ti_Concentration (ng/m3)","1.87"
"V_Concentration (ng/m3)","0.00434"
"Cr_Concentration (ng/m3)","1.09"
"Mn_Concentration (ng/m3)","0.0861"
"Fe_Concentration (ng/m3)","46.2"
"Co_Concentration (ng/m3)","0.00388"
"Ni_Concentration (ng/m3)","0.287"
"Cu_Concentration (ng/m3)","2.29"
"Zn_Concentration (ng/m3)","12.6"
"Ga_Concentration (ng/m3)","0.0000240"
"Ge_Concentration (ng/m3)","0.0000962"
"As_Concentration (ng/m3)","1.32"
"Se_Concentration (ng/m3)","0.270"
"Br_Concentration (ng/m3)","3.02"
"Sr_Concentration (ng/m3)","0.0958"
"Y_Concentration (ng/m3)","0.744"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","0.133"
"Ag_Concentration (ng/m3)","0.00202"
"Cd_Concentration (ng/m3)","0.000597"
"In_Concentration (ng/m3)","0.00115"
"Sn_Concentration (ng/m3)","0.00153"
"Sb_Concentration (ng/m3)","0.00384"
"Te_Concentration (ng/m3)","0.000960"
"Ba_Concentration (ng/m3)","0.0381"
"La_Concentration (ng/m3)","0.0000180"
"Ce_Concentration (ng/m3)","0.000187"
"Pt_Concentration (ng/m3)","0.0000870"
"Hg_Concentration (ng/m3)","0"
"Tl_Concentration (ng/m3)","0.00000257"
"Pb_Concentration (ng/m3)","0.877"
"Bi_Concentration (ng/m3)","0.0198"
