"Date_UTC","Rain_Intensity","Total_Precip","Liquid_Precip","Solid_Precip","Precipitation.amount","Air_Temp","RH","Precipitation_amount","RH....","Temperature..C.","Station.Level.Pressure..hPa.","MSLP..hPa.","u","v","w","speed","direction","qc_flag_Rain_Intensity","qc_flag_Total_Precip","qc_flag_Liquid_Precip","qc_flag_Solid_Precip","qc_flag_Precipitation_amount","qc_flag_Air_Temp","qc_flag_RH","qc_flag_Relative_Humidity_pct"
2020-10-01,0,0,0,0,202.52,-9.9,100,NA,97.1644281666667,9.95775783333333,982.048990733333,999.629816353494,0.422143930635838,-0.36655289017341,0.0645601156069364,0.787611271676301,214.529299421965,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 01:00:00,0,0,0,0,202.52,-9.9,100,NA,97.8590154666667,9.20675085,981.866758233333,999.491467518301,0.291612810155799,-0.287965089440277,0.10247922677438,0.669995960761685,198.581139353722,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 02:00:00,0,0,0,0,202.52,-9.9,99.9333333333333,NA,98.4367271833333,8.70931378333333,981.799209616667,999.454084803395,0.241732698961938,-0.275454728950404,0.101108708189158,0.553820069204152,223.075569780854,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 03:00:00,0,0,0,0,202.52,-9.9,100,NA,98.7131916833333,8.6936897,981.612404366667,999.264907206682,0.354122513692707,-0.461850100893629,0.0476921302969155,0.755362928797924,237.418482848083,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 04:00:00,0,0,0,0,202.52,-9.9,100,NA,98.6395189333333,8.34447621666667,981.5423431,999.215685639185,-0.0158787878787879,-0.262878210678211,0.0448121212121212,0.491067821067821,220.941606926407,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 05:00:00,0,0,0,0,202.52,-9.9,99.9833333333333,NA,98.9095569333333,8.4024395,981.563642416667,999.233690764448,0.443704440599769,-0.42721568627451,-0.0135507497116494,0.795891003460208,225.360472318339,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 06:00:00,0,0,0,0,202.52,-9.9,100,NA,98.5018691166667,8.68673278333333,981.790512033333,999.446656953638,0.15602192729371,-0.387600403923831,0.00151384881708021,0.637566647432198,237.437839873052,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 07:00:00,0.121383333333333,0.121983333333333,0.121983333333333,0,202.563166666667,-2.08833333333333,94.8,NA,98.2684677,8.92266046666667,981.5627218,999.199874878386,-0.155872763993076,-0.57835487593768,-0.0937585112521639,0.760097230236584,262.835116849394,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 08:00:00,0.00135,0.000666666666666667,0.000666666666666667,0,202.64,-9.89333333333333,99.3166666666667,NA,97.4174012,9.50192185,981.290283066667,998.886098726198,-0.254517877739331,-0.550343137254902,-0.155283160322953,0.871660034602076,249.759612168397,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 09:00:00,0,0,0,0,202.64,-9.9,100,NA,89.8262961833333,10.2431354166667,981.2364958,998.784922027435,-0.167699076745528,-0.658395268320831,-0.116440854010387,1.0064128678592,247.933436526255,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 10:00:00,0,0,0,0,202.64,-9.9,99.9333333333333,NA,81.5360420833333,11.1582911,981.247937133333,998.739570188994,0.0166533025670609,-0.431673204499567,-0.0553810210556677,0.863411306605134,234.363615517739,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 11:00:00,0.0198333333333333,0.0198166666666667,0.0198166666666667,0,202.652,-6.09,97.9166666666667,NA,75.6146250333333,11.7317008833333,981.029062766667,998.481282999165,0.190932487016734,-0.499425851125216,-0.128439122908252,1.0258000577034,230.561725043278,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 12:00:00,0,0,0,0,202.66,-9.9,99.4666666666667,NA,67.74166885,12.80801475,980.6144654,997.993090584915,0.623686381996538,-0.660714656664743,-0.118276687824582,1.36775678015003,224.55278101558,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 13:00:00,0.00516666666666667,0.00516666666666667,0.00516666666666667,0,202.664833333333,-8.34166666666667,98.5,NA,58.31335535,13.28276605,980.009614183333,997.348539973208,0.561385281385281,-0.6351443001443,-0.0850256854256854,1.20416103896104,223.862562481962,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 14:00:00,0,0,0,0,202.67,-9.9,99.9333333333333,NA,58.5268241,13.2479433666667,979.550366166667,996.883218585981,1.21846912867859,-0.690034910559723,-0.238194171956145,1.60745845354876,209.875173110213,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 15:00:00,0,0,0,0,202.67,-9.9,99.8,NA,51.3931242666667,13.5454542333333,979.012363666667,996.317552672135,1.10762727010666,-0.731416834822715,-0.160701354857308,1.47800288267512,216.421634765062,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 16:00:00,0,0,0,0,202.67,-9.9,99.9333333333333,NA,59.06573075,12.5533081833333,978.451234966667,995.807112783002,0.375621177149452,-0.0316044431621466,0.087435372186959,0.718029140219273,172.171225620312,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 17:00:00,0,0,0,0,202.67,-9.9,100,NA,72.6305265,10.9671335166667,978.01648555,995.462505133609,0.196167628390075,0.0657287939988459,-0.0119350836699365,0.471136468551645,115.986999711483,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 18:00:00,0,0,0,0,202.67,-9.9,100,NA,85.9513444833333,8.55584676666667,977.546020416667,995.134107851132,-0.207548889529853,0.231489760599942,0.0228834727430055,0.349165272569945,68.1118197288722,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 19:00:00,0,0,0,0,202.67,-9.9,100,NA,87.7997495,8.11570133333333,977.0906646,994.698284634971,-0.186231102135026,0.196683785343335,0.0355868436237738,0.32897114829775,85.0041425274091,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 20:00:00,0,0,0,0,202.67,-9.9,100,NA,86.1765365,8.27633828333333,976.581274483333,994.169579594268,-0.147978079030862,0.504196423420825,0.0273957311796943,0.588345832131526,75.6928064609172,"1b","1b","1b","1b","1b","1b",1,"b"
