"Date_UTC","Rain_Intensity","Total_Precip","Liquid_Precip","Solid_Precip","Precipitation.amount","Air_Temp","RH","Precipitation_amount","u","v","w","speed","direction","qc_flag_Rain_Intensity","qc_flag_Total_Precip","qc_flag_Liquid_Precip","qc_flag_Solid_Precip","qc_flag_Precipitation_amount","qc_flag_Air_Temp","qc_flag_RH","qc_flag_Relative_Humidity_pct"
2021-11-01,0.00758620689655172,0.0075,0.0075,0,50.8051724137931,-6.47586206896552,92.7931034482759,NA,3.65300779670806,-2.32184291077101,-0.521531908749639,4.68519549523535,213.769062951198,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 01:00:00,0.420166666666667,0.428383333333333,0.428383333333333,0,50.933,8.83833333333333,95.35,NA,2.79968753606463,-2.34207761107905,-0.317279861511829,4.01166733987305,221.502101557992,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 02:00:00,0.0875833333333333,0.0793666666666667,0.0793666666666667,0,51.303,-2.12333333333333,95.15,NA,2.24326226197346,-2.03128793998846,-0.285367570686671,3.351641084824,223.736125504905,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 03:00:00,0.1187,0.1187,0.1187,0,51.4013333333333,-0.76,99.1666666666667,NA,2.29560721500722,-1.85225714285714,-0.254536507936508,3.28697633477633,220.453032034632,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 04:00:00,6.66666666666667e-05,5e-05,5e-05,0,51.43,-9.9,98.5166666666667,NA,2.67455674270863,-1.69954663586486,-0.410917701414958,3.42470892289922,213.732272884782,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 05:00:00,0,0,0,0,51.43,-9.9,100,NA,2.45165868436238,-1.26907212925563,-0.263318522792845,3.02173542989036,209.208930467398,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 06:00:00,0,0,0,0,51.43,-9.9,100,NA,2.36568138528139,-1.66592987012987,-0.375067821067821,3.18552294372294,216.546458008658,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 07:00:00,0,0,0,0,51.43,-9.9,100,NA,2.49557546897547,-1.86741385281385,-0.318341702741703,3.39717662337662,217.848814141414,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 08:00:00,0,0,0,0,51.43,-9.9,99.8833333333333,NA,2.71531004618938,-2.04427222863741,-0.372929272517321,3.71359728637413,218.854312933025,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 09:00:00,0,0,0,0,51.43,-9.9,99.8,NA,2.00606351039261,-2.16159439953811,-0.244875,3.40449942263279,228.699431004619,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 10:00:00,0,0,0,0,51.43,-9.9,99.8666666666667,NA,2.10345454545455,-2.05794458874459,-0.302404329004329,3.30852265512266,226.893106782107,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 11:00:00,0,0,0,0,51.43,-9.9,99.8666666666667,NA,1.50799884593191,-1.76401615695326,-0.233929890363531,2.78334795152914,232.228364396999,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 12:00:00,0,0,0,0,51.43,-9.9,99.4833333333333,NA,0.983821696480092,-1.65013877668782,-0.181823427582227,2.39385314483555,239.309131852279,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 13:00:00,0.00293333333333333,0.00293333333333333,0.00293333333333333,0,51.43,-9.155,99.8333333333333,NA,0.991840404040404,-1.27075873015873,-0.0738378066378066,2.02550909090909,231.713531313131,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 14:00:00,0.67545,0.704016666666667,0.704016666666667,0,51.568,4.35166666666667,98.7666666666667,NA,0.725597230236584,-1.19718378534334,-0.0697308136180035,1.75998268897865,238.256289671091,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 15:00:00,0.31055,0.28195,0.28195,0,52.3458333333333,7.34666666666667,97.3333333333333,NA,0.379080784766301,-0.62851731102135,0.0050799192152337,1.03603635314484,236.26886237738,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 16:00:00,1.66666666666667e-05,0,0,0,52.42,-9.9,100,NA,0.570462492787074,-0.52830755914599,0.0598713214079631,0.967170225043278,223.990466243508,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 17:00:00,0,0,0,0,52.42,-9.9,100,NA,0.615253102453102,-0.572707936507936,0.0398698412698413,0.987636652236652,226.607694083694,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 18:00:00,0,0,0,0,52.42,-9.9,100,NA,0.809448355452972,-0.555321984997115,0.0400828043854587,1.08421090594345,216.76610559723,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 19:00:00,0,0,0,0,52.42,-9.9,100,NA,0.620556260819388,-0.501562608193883,0.0745502019619158,0.910669648009233,224.289401327178,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 20:00:00,0,0,0,0,52.42,-9.9,100,NA,0.847723023658396,-0.770802654356607,0.0174884593190998,1.23839671090594,225.789231967686,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 21:00:00,0,0,0,0,52.42,-9.9,100,NA,0.629049884659746,-0.610478085351788,0.0733217993079585,1.00235582468281,227.571211361015,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 22:00:00,0,0,0,0,52.42,-9.9,100,NA,1.0013240981241,-0.847333621933622,-0.0539024531024531,1.39580432900433,223.949980663781,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-01 23:00:00,0,0,0,0,52.42,-9.9,100,NA,0.906687644341801,-0.756459006928407,-0.0162219976905312,1.25695900692841,223.926839203233,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-02,0,0,0,0,52.42,-9.9,100,NA,0.721590476190476,-0.626836652236652,0.0399111111111111,1.04427503607504,225.66723030303,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-02 01:00:00,0,0,0,0,52.42,-9.9,100,NA,0.664382352941176,-0.540411476355248,0.0726920415224914,0.959129181084198,220.593262399077,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-02 02:00:00,0,0,0,0,52.42,-9.9,100,NA,0.647085714285714,-0.372081962481962,0.0349249639249639,0.833863780663781,207.400572294372,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-02 03:00:00,0,0,0,0,52.42,-9.9,100,NA,0.377095499134449,-0.202479803808425,0.0661716676283901,0.561073860357761,199.193887478361,"1b","1b","1b","1b","1b","1b",1,"b"
2021-11-02 04:00:00,0,0,0,0,52.42,-9.9,100,NA,0.902455568378534,-0.55615666474322,0.0286809001731102,1.14433352567801,209.023172533179,"1b","1b","1b","1b","1b","1b",1,"b"
