"Elements","11-2022"
"Al_Concentration (ng/m3)","660"
"Si_Concentration (ng/m3)","19.1"
"P_Concentration (ng/m3)","0.000601"
"S_Concentration (ng/m3)","264"
"Cl_Concentration (ng/m3)","1950"
"K_Concentration (ng/m3)","124"
"Ca_Concentration (ng/m3)","114"
"Ti_Concentration (ng/m3)","4.10"
"V_Concentration (ng/m3)","0.108"
"Cr_Concentration (ng/m3)","0.404"
"Mn_Concentration (ng/m3)","1.17"
"Fe_Concentration (ng/m3)","151"
"Co_Concentration (ng/m3)","0.00290"
"Ni_Concentration (ng/m3)","0.0608"
"Cu_Concentration (ng/m3)","7.80"
"Zn_Concentration (ng/m3)","15.6"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","1.60"
"Se_Concentration (ng/m3)","0.0684"
"Br_Concentration (ng/m3)","5.79"
"Sr_Concentration (ng/m3)","3.45"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0.0685"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","12.9"
"Ag_Concentration (ng/m3)","0.116"
"Cd_Concentration (ng/m3)","0.00173"
"In_Concentration (ng/m3)","0"
"Sn_Concentration (ng/m3)","0.00314"
"Sb_Concentration (ng/m3)","0.00527"
"Te_Concentration (ng/m3)","0.00414"
"Ba_Concentration (ng/m3)","6.30"
"La_Concentration (ng/m3)","0"
"Ce_Concentration (ng/m3)","0.000153"
"Pt_Concentration (ng/m3)","0.0000845"
"Hg_Concentration (ng/m3)","0.000144"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","6.04"
"Bi_Concentration (ng/m3)","0.250"
