"Elements","10-2022"
"Al_Concentration (ng/m3)","625"
"Al_Concentration Uncertainty (ng/m3)","545"
"Si_Concentration (ng/m3)","60.5"
"Si_Concentration Uncertainty (ng/m3)","53.1"
"P_Concentration (ng/m3)","0.653"
"P_Concentration Uncertainty (ng/m3)","2.47"
"S_Concentration (ng/m3)","293"
"S_Concentration Uncertainty (ng/m3)","22.8"
"Cl_Concentration (ng/m3)","2070"
"Cl_Concentration Uncertainty (ng/m3)","71.4"
"K_Concentration (ng/m3)","130"
"K_Concentration Uncertainty (ng/m3)","7.10"
"Ca_Concentration (ng/m3)","171"
"Ca_Concentration Uncertainty (ng/m3)","7.26"
"Ti_Concentration (ng/m3)","4.44"
"Ti_Concentration Uncertainty (ng/m3)","1.14"
"V_Concentration (ng/m3)","0.233"
"V_Concentration Uncertainty (ng/m3)","0.381"
"Cr_Concentration (ng/m3)","28.9"
"Cr_Concentration Uncertainty (ng/m3)","1.38"
"Mn_Concentration (ng/m3)","1.57"
"Mn_Concentration Uncertainty (ng/m3)","0.629"
"Fe_Concentration (ng/m3)","216"
"Fe_Concentration Uncertainty (ng/m3)","7.69"
"Co_Concentration (ng/m3)","0.0296"
"Co_Concentration Uncertainty (ng/m3)","0.117"
"Ni_Concentration (ng/m3)","1.21"
"Ni_Concentration Uncertainty (ng/m3)","0.300"
"Cu_Concentration (ng/m3)","19.0"
"Cu_Concentration Uncertainty (ng/m3)","1.11"
"Zn_Concentration (ng/m3)","15.0"
"Zn_Concentration Uncertainty (ng/m3)","0.909"
"Ga_Concentration (ng/m3)","0.000501"
"Ga_Concentration Uncertainty (ng/m3)","0.00479"
"Ge_Concentration (ng/m3)","0.000366"
"Ge_Concentration Uncertainty (ng/m3)","0.00223"
"As_Concentration (ng/m3)","1.02"
"As_Concentration Uncertainty (ng/m3)","0.323"
"Se_Concentration (ng/m3)","0.0977"
"Se_Concentration Uncertainty (ng/m3)","0.254"
"Br_Concentration (ng/m3)","5.02"
"Br_Concentration Uncertainty (ng/m3)","0.708"
"Sr_Concentration (ng/m3)","1.65"
"Sr_Concentration Uncertainty (ng/m3)","1.53"
"Y_Concentration (ng/m3)","0.810"
"Y_Concentration Uncertainty (ng/m3)","0.157"
"Zr_Concentration (ng/m3)","0.283"
"Zr_Concentration Uncertainty (ng/m3)","0.536"
"Mo_Concentration (ng/m3)","0.0564"
"Mo_Concentration Uncertainty (ng/m3)","0.163"
"Pd_Concentration (ng/m3)","12.1"
"Pd_Concentration Uncertainty (ng/m3)","8.92"
"Ag_Concentration (ng/m3)","1.93"
"Ag_Concentration Uncertainty (ng/m3)","6.93"
"Cd_Concentration (ng/m3)","2250"
"Cd_Concentration Uncertainty (ng/m3)","79.4"
"In_Concentration (ng/m3)","0.0699"
"In_Concentration Uncertainty (ng/m3)","0.904"
"Sn_Concentration (ng/m3)","2.60"
"Sn_Concentration Uncertainty (ng/m3)","14.7"
"Sb_Concentration (ng/m3)","31.8"
"Sb_Concentration Uncertainty (ng/m3)","24.5"
"Te_Concentration (ng/m3)","6.11"
"Te_Concentration Uncertainty (ng/m3)","33.9"
"Ba_Concentration (ng/m3)","3.34"
"Ba_Concentration Uncertainty (ng/m3)","2.13"
"La_Concentration (ng/m3)","0.000764"
"La_Concentration Uncertainty (ng/m3)","0.0124"
"Ce_Concentration (ng/m3)","0.0215"
"Ce_Concentration Uncertainty (ng/m3)","0.215"
"Pt_Concentration (ng/m3)","0.00159"
"Pt_Concentration Uncertainty (ng/m3)","0.0112"
"Hg_Concentration (ng/m3)","0.00555"
"Hg_Concentration Uncertainty (ng/m3)","0.0553"
"Tl_Concentration (ng/m3)","0.138"
"Tl_Concentration Uncertainty (ng/m3)","0.0682"
"Pb_Concentration (ng/m3)","114"
"Pb_Concentration Uncertainty (ng/m3)","4.26"
"Bi_Concentration (ng/m3)","0.0517"
"Bi_Concentration Uncertainty (ng/m3)","0.0359"
