"Elements","1-2022"
"Al_Concentration (ng/m3)","561"
"Si_Concentration (ng/m3)","60.2"
"P_Concentration (ng/m3)","0.489"
"S_Concentration (ng/m3)","439"
"Cl_Concentration (ng/m3)","1530"
"K_Concentration (ng/m3)","133"
"Ca_Concentration (ng/m3)","125"
"Ti_Concentration (ng/m3)","6.43"
"V_Concentration (ng/m3)","0.122"
"Cr_Concentration (ng/m3)","1.23"
"Mn_Concentration (ng/m3)","3.35"
"Fe_Concentration (ng/m3)","296"
"Co_Concentration (ng/m3)","0.165"
"Ni_Concentration (ng/m3)","0.493"
"Cu_Concentration (ng/m3)","14.1"
"Zn_Concentration (ng/m3)","34.6"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","3.07"
"Se_Concentration (ng/m3)","0.283"
"Br_Concentration (ng/m3)","7.64"
"Sr_Concentration (ng/m3)","1.87"
"Y_Concentration (ng/m3)","0.0000141"
"Zr_Concentration (ng/m3)","0.0738"
"Mo_Concentration (ng/m3)","0.217"
"Pd_Concentration (ng/m3)","14.8"
"Ag_Concentration (ng/m3)","0.372"
"Cd_Concentration (ng/m3)","0.00189"
"In_Concentration (ng/m3)","0.000650"
"Sn_Concentration (ng/m3)","0.00700"
"Sb_Concentration (ng/m3)","0.00815"
"Te_Concentration (ng/m3)","0.00827"
"Ba_Concentration (ng/m3)","9.97"
"La_Concentration (ng/m3)","0.000145"
"Ce_Concentration (ng/m3)","0.0000763"
"Pt_Concentration (ng/m3)","0"
"Hg_Concentration (ng/m3)","0.0000210"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","9.23"
"Bi_Concentration (ng/m3)","2.10"
