"Elements","5-2024"
"Al_Concentration (ng/m3)","220"
"Si_Concentration (ng/m3)","101"
"P_Concentration (ng/m3)","0.124"
"S_Concentration (ng/m3)","531"
"Cl_Concentration (ng/m3)","151"
"K_Concentration (ng/m3)","74.2"
"Ca_Concentration (ng/m3)","106"
"Ti_Concentration (ng/m3)","6.75"
"V_Concentration (ng/m3)","0.701"
"Cr_Concentration (ng/m3)","0.425"
"Mn_Concentration (ng/m3)","1.92"
"Fe_Concentration (ng/m3)","147"
"Co_Concentration (ng/m3)","0.000102"
"Ni_Concentration (ng/m3)","0.315"
"Cu_Concentration (ng/m3)","3.94"
"Zn_Concentration (ng/m3)","15.1"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0.0000331"
"As_Concentration (ng/m3)","0.855"
"Se_Concentration (ng/m3)","0.459"
"Br_Concentration (ng/m3)","3.72"
"Sr_Concentration (ng/m3)","1.40"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0.00000833"
"Pd_Concentration (ng/m3)","13.9"
"Ag_Concentration (ng/m3)","0.00309"
"Cd_Concentration (ng/m3)","0.00241"
"In_Concentration (ng/m3)","0.000710"
"Sn_Concentration (ng/m3)","0.00228"
"Sb_Concentration (ng/m3)","0.00244"
"Te_Concentration (ng/m3)","0.00204"
"Ba_Concentration (ng/m3)","1.06"
"La_Concentration (ng/m3)","0.0000272"
"Ce_Concentration (ng/m3)","0.0000306"
"Pt_Concentration (ng/m3)","0"
"Hg_Concentration (ng/m3)","0.000172"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","5.33"
"Bi_Concentration (ng/m3)","0"
