"Elements","3-2024"
"Al_Concentration (ng/m3)","626"
"Si_Concentration (ng/m3)","7.10"
"P_Concentration (ng/m3)","0.000579"
"S_Concentration (ng/m3)","443"
"Cl_Concentration (ng/m3)","856"
"K_Concentration (ng/m3)","71.6"
"Ca_Concentration (ng/m3)","79.2"
"Ti_Concentration (ng/m3)","2.96"
"V_Concentration (ng/m3)","0.122"
"Cr_Concentration (ng/m3)","0.282"
"Mn_Concentration (ng/m3)","0.917"
"Fe_Concentration (ng/m3)","107"
"Co_Concentration (ng/m3)","0.00440"
"Ni_Concentration (ng/m3)","0.114"
"Cu_Concentration (ng/m3)","3.74"
"Zn_Concentration (ng/m3)","10.7"
"Ga_Concentration (ng/m3)","0.0000518"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","0.863"
"Se_Concentration (ng/m3)","0.105"
"Br_Concentration (ng/m3)","4.24"
"Sr_Concentration (ng/m3)","1.43"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0.0126"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","14.1"
"Ag_Concentration (ng/m3)","0.121"
"Cd_Concentration (ng/m3)","0.00218"
"In_Concentration (ng/m3)","0.000624"
"Sn_Concentration (ng/m3)","0.000917"
"Sb_Concentration (ng/m3)","0.000907"
"Te_Concentration (ng/m3)","0.0185"
"Ba_Concentration (ng/m3)","1.29"
"La_Concentration (ng/m3)","0"
"Ce_Concentration (ng/m3)","0.000418"
"Pt_Concentration (ng/m3)","0"
"Hg_Concentration (ng/m3)","0.000155"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","4.64"
"Bi_Concentration (ng/m3)","0"
