"Elements","2-2026"
"Al_Concentration (ng/m3)","0"
"Si_Concentration (ng/m3)","85.1"
"P_Concentration (ng/m3)","0.00276"
"S_Concentration (ng/m3)","341"
"Cl_Concentration (ng/m3)","1640"
"K_Concentration (ng/m3)","110"
"Ca_Concentration (ng/m3)","112"
"Ti_Concentration (ng/m3)","5.61"
"V_Concentration (ng/m3)","0.0895"
"Cr_Concentration (ng/m3)","1.24"
"Mn_Concentration (ng/m3)","0.629"
"Fe_Concentration (ng/m3)","122"
"Co_Concentration (ng/m3)","0.0000583"
"Ni_Concentration (ng/m3)","0.0951"
"Cu_Concentration (ng/m3)","3.25"
"Zn_Concentration (ng/m3)","10.9"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0.0000578"
"As_Concentration (ng/m3)","1.62"
"Se_Concentration (ng/m3)","0.0619"
"Br_Concentration (ng/m3)","4.54"
"Sr_Concentration (ng/m3)","0.938"
"Y_Concentration (ng/m3)","0.0000882"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","0.477"
"Ag_Concentration (ng/m3)","0.00403"
"Cd_Concentration (ng/m3)","0.00147"
"In_Concentration (ng/m3)","0.000659"
"Sn_Concentration (ng/m3)","0.000214"
"Sb_Concentration (ng/m3)","0.0102"
"Te_Concentration (ng/m3)","0.00282"
"Ba_Concentration (ng/m3)","0.678"
"La_Concentration (ng/m3)","0"
"Ce_Concentration (ng/m3)","0.000151"
"Pt_Concentration (ng/m3)","0.000205"
"Hg_Concentration (ng/m3)","0"
"Tl_Concentration (ng/m3)","0.0000389"
"Pb_Concentration (ng/m3)","1.17"
"Bi_Concentration (ng/m3)","0"
