"Elements","12-2025"
"Al_Concentration (ng/m3)","4.76"
"Si_Concentration (ng/m3)","2.45"
"P_Concentration (ng/m3)","0.00534"
"S_Concentration (ng/m3)","210"
"Cl_Concentration (ng/m3)","2680"
"K_Concentration (ng/m3)","109"
"Ca_Concentration (ng/m3)","108"
"Ti_Concentration (ng/m3)","1.62"
"V_Concentration (ng/m3)","0.0186"
"Cr_Concentration (ng/m3)","1.10"
"Mn_Concentration (ng/m3)","0.191"
"Fe_Concentration (ng/m3)","88.2"
"Co_Concentration (ng/m3)","0.0000209"
"Ni_Concentration (ng/m3)","0.0240"
"Cu_Concentration (ng/m3)","3.47"
"Zn_Concentration (ng/m3)","6.07"
"Ga_Concentration (ng/m3)","0"
"Ge_Concentration (ng/m3)","0.000109"
"As_Concentration (ng/m3)","1.28"
"Se_Concentration (ng/m3)","0.000178"
"Br_Concentration (ng/m3)","4.88"
"Sr_Concentration (ng/m3)","1.31"
"Y_Concentration (ng/m3)","0.0000432"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","0.409"
"Ag_Concentration (ng/m3)","0.000746"
"Cd_Concentration (ng/m3)","0.00161"
"In_Concentration (ng/m3)","0"
"Sn_Concentration (ng/m3)","0.000690"
"Sb_Concentration (ng/m3)","0.00691"
"Te_Concentration (ng/m3)","0.00360"
"Ba_Concentration (ng/m3)","0.797"
"La_Concentration (ng/m3)","0.000255"
"Ce_Concentration (ng/m3)","0.0000689"
"Pt_Concentration (ng/m3)","0.0000934"
"Hg_Concentration (ng/m3)","0"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","0.436"
"Bi_Concentration (ng/m3)","0"
