"Elements","9-2021"
"Al_Concentration (ng/m3)","489"
"Si_Concentration (ng/m3)","79.7"
"P_Concentration (ng/m3)","0.133"
"S_Concentration (ng/m3)","426"
"Cl_Concentration (ng/m3)","518"
"K_Concentration (ng/m3)","90.4"
"Ca_Concentration (ng/m3)","160"
"Ti_Concentration (ng/m3)","6.85"
"V_Concentration (ng/m3)","0.215"
"Cr_Concentration (ng/m3)","0.736"
"Mn_Concentration (ng/m3)","2.13"
"Fe_Concentration (ng/m3)","201"
"Co_Concentration (ng/m3)","0"
"Ni_Concentration (ng/m3)","0.0584"
"Cu_Concentration (ng/m3)","7.26"
"Zn_Concentration (ng/m3)","14.2"
"Ga_Concentration (ng/m3)","0.0000192"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","1.54"
"Se_Concentration (ng/m3)","0.336"
"Br_Concentration (ng/m3)","3.69"
"Sr_Concentration (ng/m3)","1.37"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0.00903"
"Mo_Concentration (ng/m3)","0.0609"
"Pd_Concentration (ng/m3)","12.9"
"Ag_Concentration (ng/m3)","0.285"
"Cd_Concentration (ng/m3)","0.00420"
"In_Concentration (ng/m3)","0.000966"
"Sn_Concentration (ng/m3)","0.000791"
"Sb_Concentration (ng/m3)","0.00215"
"Te_Concentration (ng/m3)","0.00686"
"Ba_Concentration (ng/m3)","4.02"
"La_Concentration (ng/m3)","0"
"Ce_Concentration (ng/m3)","0.000140"
"Pt_Concentration (ng/m3)","0"
"Hg_Concentration (ng/m3)","0"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","3.86"
"Bi_Concentration (ng/m3)","0.179"
