"Elements","6-2022"
"Al_Concentration (ng/m3)","299"
"Si_Concentration (ng/m3)","61.4"
"P_Concentration (ng/m3)","0.792"
"S_Concentration (ng/m3)","522"
"Cl_Concentration (ng/m3)","442"
"K_Concentration (ng/m3)","69.4"
"Ca_Concentration (ng/m3)","101"
"Ti_Concentration (ng/m3)","5.51"
"V_Concentration (ng/m3)","0.271"
"Cr_Concentration (ng/m3)","0.383"
"Mn_Concentration (ng/m3)","1.48"
"Fe_Concentration (ng/m3)","130"
"Co_Concentration (ng/m3)","0.0000973"
"Ni_Concentration (ng/m3)","0.172"
"Cu_Concentration (ng/m3)","5.20"
"Zn_Concentration (ng/m3)","19.3"
"Ga_Concentration (ng/m3)","0.0000202"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","1.23"
"Se_Concentration (ng/m3)","0.594"
"Br_Concentration (ng/m3)","4.49"
"Sr_Concentration (ng/m3)","1.22"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0.0136"
"Mo_Concentration (ng/m3)","0.0730"
"Pd_Concentration (ng/m3)","13.4"
"Ag_Concentration (ng/m3)","0.000137"
"Cd_Concentration (ng/m3)","0.00253"
"In_Concentration (ng/m3)","0"
"Sn_Concentration (ng/m3)","0.00418"
"Sb_Concentration (ng/m3)","0.00891"
"Te_Concentration (ng/m3)","0.00695"
"Ba_Concentration (ng/m3)","1.91"
"La_Concentration (ng/m3)","0.0000400"
"Ce_Concentration (ng/m3)","0.000246"
"Pt_Concentration (ng/m3)","0.0000167"
"Hg_Concentration (ng/m3)","0"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","5.28"
"Bi_Concentration (ng/m3)","1.13"
