"Elements","7-2023"
"Al_Concentration (ng/m3)",NA
"Si_Concentration (ng/m3)","11.9"
"P_Concentration (ng/m3)","0.371"
"S_Concentration (ng/m3)","365"
"Cl_Concentration (ng/m3)","710"
"K_Concentration (ng/m3)","66.2"
"Ca_Concentration (ng/m3)","111"
"Ti_Concentration (ng/m3)","3.88"
"V_Concentration (ng/m3)","0.0381"
"Cr_Concentration (ng/m3)","0.0793"
"Mn_Concentration (ng/m3)","0.839"
"Fe_Concentration (ng/m3)","102"
"Co_Concentration (ng/m3)","0.00479"
"Ni_Concentration (ng/m3)","0.00950"
"Cu_Concentration (ng/m3)","4.08"
"Zn_Concentration (ng/m3)","8.87"
"Ga_Concentration (ng/m3)","0.00000240"
"Ge_Concentration (ng/m3)","0.00000509"
"As_Concentration (ng/m3)","0.503"
"Se_Concentration (ng/m3)","0.0212"
"Br_Concentration (ng/m3)","2.22"
"Sr_Concentration (ng/m3)","1.41"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0"
"Pd_Concentration (ng/m3)","13.0"
"Ag_Concentration (ng/m3)","0.145"
"Cd_Concentration (ng/m3)","0.00292"
"In_Concentration (ng/m3)","0.000726"
"Sn_Concentration (ng/m3)","0.00378"
"Sb_Concentration (ng/m3)","0.00145"
"Te_Concentration (ng/m3)","0"
"Ba_Concentration (ng/m3)","1.39"
"La_Concentration (ng/m3)","0.0000152"
"Ce_Concentration (ng/m3)","0.000153"
"Pt_Concentration (ng/m3)","0.0000179"
"Hg_Concentration (ng/m3)","0.0000554"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","2.20"
"Bi_Concentration (ng/m3)","0"
