"Elements","5-2022"
"Al_Concentration (ng/m3)","90.6"
"Si_Concentration (ng/m3)","224"
"P_Concentration (ng/m3)","0.524"
"S_Concentration (ng/m3)","603"
"Cl_Concentration (ng/m3)","1230"
"K_Concentration (ng/m3)","106"
"Ca_Concentration (ng/m3)","228"
"Ti_Concentration (ng/m3)","8.89"
"V_Concentration (ng/m3)","0.208"
"Cr_Concentration (ng/m3)","0.449"
"Mn_Concentration (ng/m3)","2.44"
"Fe_Concentration (ng/m3)","199"
"Co_Concentration (ng/m3)","0.000280"
"Ni_Concentration (ng/m3)","0.0757"
"Cu_Concentration (ng/m3)","6.92"
"Zn_Concentration (ng/m3)","12.9"
"Ga_Concentration (ng/m3)","0.0000264"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","1.13"
"Se_Concentration (ng/m3)","0.590"
"Br_Concentration (ng/m3)","4.55"
"Sr_Concentration (ng/m3)","2.40"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0"
"Mo_Concentration (ng/m3)","0.00000727"
"Pd_Concentration (ng/m3)","15.3"
"Ag_Concentration (ng/m3)","0.00398"
"Cd_Concentration (ng/m3)","0.00180"
"In_Concentration (ng/m3)","0"
"Sn_Concentration (ng/m3)","0.00270"
"Sb_Concentration (ng/m3)","0.00123"
"Te_Concentration (ng/m3)","0.00932"
"Ba_Concentration (ng/m3)","3.54"
"La_Concentration (ng/m3)","0"
"Ce_Concentration (ng/m3)","0.000241"
"Pt_Concentration (ng/m3)","0"
"Hg_Concentration (ng/m3)","0.00000618"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","5.20"
"Bi_Concentration (ng/m3)","0"
