"Elements","8-2022"
"Al_Concentration (ng/m3)","617"
"Al_Concentration Uncertainty (ng/m3)","528"
"Si_Concentration (ng/m3)","395"
"Si_Concentration Uncertainty (ng/m3)","126"
"P_Concentration (ng/m3)","2.21"
"P_Concentration Uncertainty (ng/m3)","2.02"
"S_Concentration (ng/m3)","610"
"S_Concentration Uncertainty (ng/m3)","32.3"
"Cl_Concentration (ng/m3)","544"
"Cl_Concentration Uncertainty (ng/m3)","21.6"
"K_Concentration (ng/m3)","150"
"K_Concentration Uncertainty (ng/m3)","7.73"
"Ca_Concentration (ng/m3)","339"
"Ca_Concentration Uncertainty (ng/m3)","12.5"
"Ti_Concentration (ng/m3)","14.9"
"Ti_Concentration Uncertainty (ng/m3)","1.51"
"V_Concentration (ng/m3)","0.500"
"V_Concentration Uncertainty (ng/m3)","0.471"
"Cr_Concentration (ng/m3)","40.7"
"Cr_Concentration Uncertainty (ng/m3)","1.87"
"Mn_Concentration (ng/m3)","4.14"
"Mn_Concentration Uncertainty (ng/m3)","0.856"
"Fe_Concentration (ng/m3)","297"
"Fe_Concentration Uncertainty (ng/m3)","10.3"
"Co_Concentration (ng/m3)","0.0388"
"Co_Concentration Uncertainty (ng/m3)","0.154"
"Ni_Concentration (ng/m3)","0.316"
"Ni_Concentration Uncertainty (ng/m3)","0.330"
"Cu_Concentration (ng/m3)","20.2"
"Cu_Concentration Uncertainty (ng/m3)","1.17"
"Zn_Concentration (ng/m3)","27.6"
"Zn_Concentration Uncertainty (ng/m3)","1.33"
"Ga_Concentration (ng/m3)","0.00129"
"Ga_Concentration Uncertainty (ng/m3)","0.00661"
"Ge_Concentration (ng/m3)","0.0000817"
"Ge_Concentration Uncertainty (ng/m3)","0.000890"
"As_Concentration (ng/m3)","1.16"
"As_Concentration Uncertainty (ng/m3)","0.343"
"Se_Concentration (ng/m3)","0.406"
"Se_Concentration Uncertainty (ng/m3)","0.353"
"Br_Concentration (ng/m3)","4.61"
"Br_Concentration Uncertainty (ng/m3)","0.715"
"Sr_Concentration (ng/m3)","1.40"
"Sr_Concentration Uncertainty (ng/m3)","1.55"
"Y_Concentration (ng/m3)","1.10"
"Y_Concentration Uncertainty (ng/m3)","0.174"
"Zr_Concentration (ng/m3)","0.324"
"Zr_Concentration Uncertainty (ng/m3)","0.735"
"Mo_Concentration (ng/m3)","0.0353"
"Mo_Concentration Uncertainty (ng/m3)","0.240"
"Pd_Concentration (ng/m3)","11.2"
"Pd_Concentration Uncertainty (ng/m3)","8.87"
"Ag_Concentration (ng/m3)","2.01"
"Ag_Concentration Uncertainty (ng/m3)","7.32"
"Cd_Concentration (ng/m3)","3210"
"Cd_Concentration Uncertainty (ng/m3)","110"
"In_Concentration (ng/m3)","0.0554"
"In_Concentration Uncertainty (ng/m3)","0.596"
"Sn_Concentration (ng/m3)","2.70"
"Sn_Concentration Uncertainty (ng/m3)","15.5"
"Sb_Concentration (ng/m3)","43.2"
"Sb_Concentration Uncertainty (ng/m3)","26.8"
"Te_Concentration (ng/m3)","6.43"
"Te_Concentration Uncertainty (ng/m3)","34.0"
"Ba_Concentration (ng/m3)","3.29"
"Ba_Concentration Uncertainty (ng/m3)","2.48"
"La_Concentration (ng/m3)","0.00625"
"La_Concentration Uncertainty (ng/m3)","0.0402"
"Ce_Concentration (ng/m3)","0.0187"
"Ce_Concentration Uncertainty (ng/m3)","0.143"
"Pt_Concentration (ng/m3)","0"
"Pt_Concentration Uncertainty (ng/m3)","0"
"Hg_Concentration (ng/m3)","0.00456"
"Hg_Concentration Uncertainty (ng/m3)","0.0475"
"Tl_Concentration (ng/m3)","0.184"
"Tl_Concentration Uncertainty (ng/m3)","0.0939"
"Pb_Concentration (ng/m3)","162"
"Pb_Concentration Uncertainty (ng/m3)","5.85"
"Bi_Concentration (ng/m3)","3.64"
"Bi_Concentration Uncertainty (ng/m3)","0.159"
