"Elements","2-2023"
"Al_Concentration (ng/m3)","397"
"Si_Concentration (ng/m3)","67.0"
"P_Concentration (ng/m3)","0.00152"
"S_Concentration (ng/m3)","305"
"Cl_Concentration (ng/m3)","1610"
"K_Concentration (ng/m3)","103"
"Ca_Concentration (ng/m3)","188"
"Ti_Concentration (ng/m3)","5.93"
"V_Concentration (ng/m3)","0.196"
"Cr_Concentration (ng/m3)","1.01"
"Mn_Concentration (ng/m3)","2.14"
"Fe_Concentration (ng/m3)","220"
"Co_Concentration (ng/m3)","0.0602"
"Ni_Concentration (ng/m3)","0.183"
"Cu_Concentration (ng/m3)","9.18"
"Zn_Concentration (ng/m3)","16.3"
"Ga_Concentration (ng/m3)","0.0000217"
"Ge_Concentration (ng/m3)","0"
"As_Concentration (ng/m3)","1.45"
"Se_Concentration (ng/m3)","0.135"
"Br_Concentration (ng/m3)","7.70"
"Sr_Concentration (ng/m3)","2.35"
"Y_Concentration (ng/m3)","0"
"Zr_Concentration (ng/m3)","0.0382"
"Mo_Concentration (ng/m3)","0.103"
"Pd_Concentration (ng/m3)","14.3"
"Ag_Concentration (ng/m3)","0.00423"
"Cd_Concentration (ng/m3)","0.00192"
"In_Concentration (ng/m3)","0"
"Sn_Concentration (ng/m3)","0.00122"
"Sb_Concentration (ng/m3)","0.00762"
"Te_Concentration (ng/m3)","0.00351"
"Ba_Concentration (ng/m3)","6.33"
"La_Concentration (ng/m3)","0.0000604"
"Ce_Concentration (ng/m3)","0.0000586"
"Pt_Concentration (ng/m3)","0"
"Hg_Concentration (ng/m3)","0.000128"
"Tl_Concentration (ng/m3)","0"
"Pb_Concentration (ng/m3)","5.43"
"Bi_Concentration (ng/m3)","0.216"
