"datetime","pbl","pbs","cbh","ttc","sci"
2024-01-09 00:00:02,829,2,4526,6,0
2024-01-09 00:00:17,844,2,4522,6,0
2024-01-09 00:00:32,1054,1,4516,6,0
2024-01-09 00:00:47,1054,1,4510,6,0
2024-01-09 00:01:02,1054,1,4511,6,0
2024-01-09 00:01:17,1054,1,4505,6,0
2024-01-09 00:01:32,1039,1,4507,6,0
2024-01-09 00:01:47,1039,1,4514,6,0
2024-01-09 00:02:02,1039,1,4507,6,0
2024-01-09 00:02:17,1039,1,4497,6,0
2024-01-09 00:02:32,1039,1,4508,6,0
2024-01-09 00:02:47,1024,1,4519,6,0
2024-01-09 00:03:02,1024,1,4525,6,0
2024-01-09 00:03:17,1009,1,4526,6,0
2024-01-09 00:03:32,1009,1,4527,6,0
2024-01-09 00:03:47,994,1,4525,6,0
2024-01-09 00:04:02,994,1,4524,6,0
2024-01-09 00:04:17,994,1,4551,6,0
2024-01-09 00:04:32,994,1,4551,6,0
2024-01-09 00:04:47,979,1,4547,6,0
2024-01-09 00:05:02,979,1,4534,6,0
2024-01-09 00:05:17,979,1,4530,6,0
2024-01-09 00:05:32,979,1,4546,6,0
2024-01-09 00:05:47,979,1,4537,6,0
2024-01-09 00:06:02,979,1,4534,6,0
2024-01-09 00:06:17,979,1,4550,6,0
2024-01-09 00:06:32,979,1,4530,6,0
2024-01-09 00:06:47,979,1,4530,6,0
2024-01-09 00:07:02,994,1,4530,6,0
2024-01-09 00:07:17,994,1,4588,6,0
2024-01-09 00:07:32,994,1,4647,6,0
2024-01-09 00:07:47,994,1,4680,6,0
2024-01-09 00:08:02,994,1,4703,6,0
2024-01-09 00:08:17,994,1,4829,6,0
2024-01-09 00:08:32,1009,1,-1,6,0
2024-01-09 00:08:47,1009,1,-1,6,0
2024-01-09 00:09:02,1009,1,-1,6,0
2024-01-09 00:09:17,1009,1,-1,6,0
2024-01-09 00:09:32,1009,1,-1,6,0
2024-01-09 00:09:47,1009,1,-1,6,0
2024-01-09 00:10:02,1009,1,-1,6,0
2024-01-09 00:10:17,1009,1,-1,6,0
2024-01-09 00:10:32,1009,1,-1,6,0
2024-01-09 00:10:47,1009,1,-1,6,0
2024-01-09 00:11:02,1009,1,-1,6,0
2024-01-09 00:11:17,1009,1,-1,6,0
2024-01-09 00:11:32,1024,1,5088,6,0
2024-01-09 00:11:47,1024,1,5058,6,0
2024-01-09 00:12:02,1024,1,5047,6,0
2024-01-09 00:12:17,1024,1,5038,6,0
2024-01-09 00:12:32,1009,1,5029,6,0
2024-01-09 00:12:47,1009,1,5021,6,0
2024-01-09 00:13:02,1009,1,5017,6,0
2024-01-09 00:13:17,1009,1,5017,6,0
2024-01-09 00:13:32,1009,1,5017,6,0
2024-01-09 00:13:47,1009,1,5015,6,0
2024-01-09 00:14:02,1009,1,5016,6,0
2024-01-09 00:14:17,1009,1,5015,6,0
2024-01-09 00:14:32,1024,1,5016,6,0
2024-01-09 00:14:47,1024,1,5017,6,0
2024-01-09 00:15:02,1024,1,5018,6,0
2024-01-09 00:15:17,1024,1,5019,6,0
2024-01-09 00:15:32,1039,1,5018,6,0
2024-01-09 00:15:47,1039,1,5017,6,0
2024-01-09 00:16:02,1039,1,5016,6,0
2024-01-09 00:16:17,1039,1,5022,6,0
2024-01-09 00:16:32,1039,1,5023,6,0
2024-01-09 00:16:47,1039,1,5021,6,0
2024-01-09 00:17:02,1039,1,5019,6,0
2024-01-09 00:17:17,1039,1,5018,6,0
2024-01-09 00:17:32,1039,1,5018,6,0
2024-01-09 00:17:47,1054,1,5072,6,0
2024-01-09 00:18:02,1054,1,5082,6,0
2024-01-09 00:18:17,1054,1,5080,7,0
2024-01-09 00:18:32,1054,1,5076,6,0
2024-01-09 00:18:47,1054,1,5014,7,0
2024-01-09 00:19:02,1054,1,5002,7,0
2024-01-09 00:19:17,1054,1,4994,7,0
2024-01-09 00:19:32,1054,1,4987,7,0
2024-01-09 00:19:47,1054,1,4982,7,0
2024-01-09 00:20:02,1039,1,4981,7,0
2024-01-09 00:20:17,1039,1,4981,7,0
2024-01-09 00:20:32,1039,1,4903,7,0
2024-01-09 00:20:47,1039,1,4894,7,0
2024-01-09 00:21:02,1039,1,4891,7,0
2024-01-09 00:21:17,1039,1,4887,7,0
2024-01-09 00:21:32,1039,1,4883,7,0
2024-01-09 00:21:47,1039,1,4883,7,0
2024-01-09 00:22:02,1039,1,4884,7,0
2024-01-09 00:22:17,1039,1,4880,7,0
2024-01-09 00:22:32,1039,1,4875,7,0
2024-01-09 00:22:47,1024,1,4865,7,0
2024-01-09 00:23:02,1024,1,4863,7,0
2024-01-09 00:23:17,1024,1,4858,7,0
2024-01-09 00:23:32,1009,1,4856,7,0
2024-01-09 00:23:47,1009,1,4854,7,0
2024-01-09 00:24:02,1009,1,4855,7,0
2024-01-09 00:24:17,1009,1,4855,7,0
2024-01-09 00:24:32,1009,1,4858,7,0
2024-01-09 00:24:47,1009,1,4873,7,0
2024-01-09 00:25:02,1009,1,4890,7,0
2024-01-09 00:25:17,1009,1,5475,7,0
2024-01-09 00:25:32,1009,1,5474,7,0
2024-01-09 00:25:47,1009,1,5473,7,0
2024-01-09 00:26:02,1009,1,5470,7,0
2024-01-09 00:26:17,1024,1,5465,7,0
