"","datetime","TCconc","AE33_BC6","OC","EC","CO2","qc_flag_TCconc","qc_flag_AE33_BC6","qc_flag_OC","qc_flag_EC","qc_flag_CO2"
"1","2025-11-01 00:00:00",693,83,652,42,408.58,"1b","1b","1b","1b","1b"
"2","2025-11-01 01:00:00",635,71,599,36,405.99,"1b","1b","1b","1b","1b"
"3","2025-11-01 02:00:00",541,62,510,31,401.38,"1b","1b","1b","1b","1b"
"4","2025-11-01 03:00:00",434,55,406,28,404.91,"1b","1b","1b","1b","1b"
"5","2025-11-01 04:00:00",585,47,562,24,404.26,"1b","1b","1b","1b","1b"
"6","2025-11-01 05:00:00",513,60,483,30,405.4,"1b","1b","1b","1b","1b"
"7","2025-11-01 06:00:00",398,68,364,34,402.47,"1b","1b","1b","1b","1b"
"8","2025-11-01 07:00:00",467,74,430,37,408.15,"1b","1b","1b","1b","1b"
"9","2025-11-01 08:00:00",567,98,518,49,406.16,"1b","1b","1b","1b","1b"
"10","2025-11-01 09:00:00",633,146,560,73,408.87,"1b","1b","1b","1b","1b"
"11","2025-11-01 10:00:00",554,124,492,62,401.6,"1b","1b","1b","1b","1b"
"12","2025-11-01 11:00:00",548,121,487,60,402.41,"1b","1b","1b","1b","1b"
"13","2025-11-01 12:00:00",989,121,929,60,399.12,"1b","1b","1b","1b","1b"
"14","2025-11-01 13:00:00",751,131,685,66,403.25,"1b","1b","1b","1b","1b"
"15","2025-11-01 14:00:00",848,186,755,93,397.83,"1b","1b","1b","1b","1b"
"16","2025-11-01 15:00:00",993,252,867,126,399.98,"1b","1b","1b","1b","1b"
"17","2025-11-01 16:00:00",1296,400,1096,200,398.57,"1b","1b","1b","1b","1b"
"18","2025-11-01 17:00:00",1277,359,1098,180,406.51,"1b","1b","1b","1b","1b"
"19","2025-11-01 18:00:00",2268,590,1973,295,407.31,"1b","1b","1b","1b","1b"
"20","2025-11-01 19:00:00",3423,1166,2840,583,411.98,"1b","1b","1b","1b","1b"
"21","2025-11-01 20:00:00",1946,448,1722,224,409.23,"1b","1b","1b","1b","1b"
"22","2025-11-01 21:00:00",3814,957,3335,478,415.58,"1b","1b","1b","1b","1b"
"23","2025-11-01 22:00:00",3260,698,2911,349,416.82,"1b","1b","1b","1b","1b"
"24","2025-11-01 23:00:00",2782,539,2513,270,418.35,"1b","1b","1b","1b","1b"
"25","2025-11-02 00:00:00",1876,477,1637,238,411.48,"1b","1b","1b","1b","1b"
"26","2025-11-02 01:00:00",1378,0,0,0,415.66,"1b","1b","1b","1b","1b"
"27","2025-11-02 02:00:00",1266,0,0,0,412.49,"1b","1b","1b","1b","1b"
"28","2025-11-02 03:00:00",945,0,0,0,418.58,"1b","1b","1b","1b","1b"
"29","2025-11-02 04:00:00",961,0,0,0,411.09,"1b","1b","1b","1b","1b"
"30","2025-11-02 05:00:00",1028,0,0,0,414.42,"1b","1b","1b","1b","1b"
"31","2025-11-02 06:00:00",828,0,0,0,415.88,"1b","1b","1b","1b","1b"
"32","2025-11-02 07:00:00",932,0,0,0,420.18,"1b","1b","1b","1b","1b"
"33","2025-11-02 08:00:00",607,0,0,0,418.57,"1b","1b","1b","1b","1b"
"34","2025-11-02 09:00:00",779,0,0,0,409.95,"1b","1b","1b","1b","1b"
"35","2025-11-02 10:00:00",746,0,0,0,405.33,"1b","1b","1b","1b","1b"
"36","2025-11-02 11:00:00",551,0,0,0,409.61,"1b","1b","1b","1b","1b"
"37","2025-11-02 12:00:00",829,0,0,0,405.26,"1b","1b","1b","1b","1b"
"38","2025-11-02 13:00:00",857,0,0,0,402.61,"1b","1b","1b","1b","1b"
"39","2025-11-02 14:00:00",903,0,0,0,396.51,"1b","1b","1b","1b","1b"
"40","2025-11-02 15:00:00",1039,0,0,0,400.83,"1b","1b","1b","1b","1b"
"41","2025-11-02 16:00:00",1544,0,0,0,401.98,"1b","1b","1b","1b","1b"
"42","2025-11-02 17:00:00",2755,0,0,0,410.65,"1b","1b","1b","1b","1b"
"43","2025-11-02 18:00:00",2834,0,0,0,409.04,"1b","1b","1b","1b","1b"
"44","2025-11-02 19:00:00",2126,0,0,0,413.12,"1b","1b","1b","1b","1b"
"45","2025-11-02 20:00:00",2728,0,0,0,411.51,"1b","1b","1b","1b","1b"
"46","2025-11-02 21:00:00",1937,0,0,0,420.33,"1b","1b","1b","1b","1b"
"47","2025-11-02 22:00:00",2572,0,0,0,411.55,"1b","1b","1b","1b","1b"
"48","2025-11-02 23:00:00",2661,0,0,0,416.83,"1b","1b","1b","1b","1b"
"49","2025-11-03 00:00:00",1750,0,0,0,412.64,"1b","1b","1b","1b","1b"
"50","2025-11-03 01:00:00",1401,0,0,0,420.83,"1b","1b","1b","1b","1b"
"51","2025-11-03 02:00:00",1029,0,0,0,413.13,"1b","1b","1b","1b","1b"
"52","2025-11-03 03:00:00",933,0,0,0,415.9,"1b","1b","1b","1b","1b"
"53","2025-11-03 04:00:00",918,0,0,0,411.74,"1b","1b","1b","1b","1b"
"54","2025-11-03 05:00:00",681,0,0,0,417.08,"1b","1b","1b","1b","1b"
"55","2025-11-03 06:00:00",630,0,0,0,415.31,"1b","1b","1b","1b","1b"
"56","2025-11-03 07:00:00",789,0,0,0,417.87,"1b","1b","1b","1b","1b"
"57","2025-11-03 08:00:00",764,0,0,0,411.79,"1b","1b","1b","1b","1b"
"58","2025-11-03 09:00:00",780,0,0,0,414.19,"1b","1b","1b","1b","1b"
"59","2025-11-03 10:00:00",1015,0,0,0,410.11,"1b","1b","1b","1b","1b"
"60","2025-11-03 11:00:00",866,73,829,36,407.68,"1b","1b","1b","1b","1b"
"61","2025-11-03 14:00:00",2719,191,2624,96,416.89,"1b","1b","1b","1b","1b"
"62","2025-11-03 15:00:00",870,208,766,104,408.04,"1b","1b","1b","1b","1b"
