"datetime","TCconc","AE33_BC6","OC","EC","CO2","qc_flag_TCconc","qc_flag_AE33_BC6","qc_flag_OC","qc_flag_EC","qc_flag_CO2"
2026-05-01,2829,606,2526,303,420.42,"1b","1b","1b","1b","1b"
2026-05-01 01:00:00,2651,577,2362,288,419.6,"1b","1b","1b","1b","1b"
2026-05-01 02:00:00,2423,544,2151,272,423.6,"1b","1b","1b","1b","1b"
2026-05-01 03:00:00,2837,646,2514,323,436.13,"1b","1b","1b","1b","1b"
2026-05-01 04:00:00,3153,943,2681,472,435.44,"1b","1b","1b","1b","1b"
2026-05-01 05:00:00,3668,1186,3075,593,438.88,"1b","1b","1b","1b","1b"
2026-05-01 06:00:00,3776,1092,3230,546,440.26,"1b","1b","1b","1b","1b"
2026-05-01 07:00:00,2932,620,2622,310,424.11,"1b","1b","1b","1b","1b"
2026-05-01 08:00:00,2388,460,2158,230,408.13,"1b","1b","1b","1b","1b"
2026-05-01 09:00:00,2409,414,2202,207,401.92,"1b","1b","1b","1b","1b"
2026-05-01 10:00:00,2556,476,2318,238,398.34,"1b","1b","1b","1b","1b"
2026-05-01 11:00:00,2995,564,2713,282,410.15,"1b","1b","1b","1b","1b"
2026-05-01 12:00:00,2896,508,2642,254,404.7,"1b","1b","1b","1b","1b"
2026-05-01 13:00:00,3181,528,2917,264,406.47,"1b","1b","1b","1b","1b"
2026-05-01 14:00:00,2980,565,2697,282,403.25,"1b","1b","1b","1b","1b"
2026-05-01 15:00:00,3447,642,3126,321,393.21,"1b","1b","1b","1b","1b"
2026-05-01 16:00:00,3485,588,3191,294,402.32,"1b","1b","1b","1b","1b"
2026-05-01 17:00:00,3162,706,2809,353,396.38,"1b","1b","1b","1b","1b"
2026-05-01 18:00:00,3493,909,3038,454,400.25,"1b","1b","1b","1b","1b"
2026-05-01 19:00:00,3148,688,2804,344,398.73,"1b","1b","1b","1b","1b"
2026-05-01 20:00:00,3547,768,3163,384,408.75,"1b","1b","1b","1b","1b"
2026-05-01 21:00:00,5560,1045,5037,522,406.05,"1b","1b","1b","1b","1b"
2026-05-01 22:00:00,4883,771,4498,386,412.47,"1b","1b","1b","1b","1b"
2026-05-01 23:00:00,2755,471,2520,236,413.48,"1b","1b","1b","1b","1b"
2026-05-02,1651,319,1492,160,419.83,"1b","1b","1b","1b","1b"
2026-05-02 01:00:00,1850,336,1682,168,420.58,"1b","1b","1b","1b","1b"
2026-05-02 02:00:00,2495,480,2255,240,428.89,"1b","1b","1b","1b","1b"
2026-05-02 03:00:00,2001,345,1829,172,425.38,"1b","1b","1b","1b","1b"
2026-05-02 04:00:00,1704,344,1532,172,429.14,"1b","1b","1b","1b","1b"
2026-05-02 05:00:00,1390,281,1249,140,418.95,"1b","1b","1b","1b","1b"
2026-05-02 06:00:00,1467,299,1318,150,416.59,"1b","1b","1b","1b","1b"
2026-05-02 07:00:00,1199,271,1064,136,404.06,"1b","1b","1b","1b","1b"
2026-05-02 08:00:00,1144,231,1028,116,401.29,"1b","1b","1b","1b","1b"
2026-05-02 09:00:00,1033,205,931,102,399.84,"1b","1b","1b","1b","1b"
2026-05-02 10:00:00,1087,238,968,119,391.11,"1b","1b","1b","1b","1b"
2026-05-02 11:00:00,1281,252,1155,126,381.57,"1b","1b","1b","1b","1b"
2026-05-02 12:00:00,1416,260,1286,130,387.36,"1b","1b","1b","1b","1b"
2026-05-02 13:00:00,1287,208,1183,104,382.1,"1b","1b","1b","1b","1b"
2026-05-02 14:00:00,1296,241,1176,120,387.44,"1b","1b","1b","1b","1b"
2026-05-02 15:00:00,1582,250,1457,125,381.82,"1b","1b","1b","1b","1b"
2026-05-02 16:00:00,1693,320,1533,160,385.96,"1b","1b","1b","1b","1b"
2026-05-02 17:00:00,3589,679,3249,340,387.79,"1b","1b","1b","1b","1b"
2026-05-02 18:00:00,3337,866,2904,433,399.46,"1b","1b","1b","1b","1b"
2026-05-02 19:00:00,4759,1272,4123,636,400.48,"1b","1b","1b","1b","1b"
2026-05-02 20:00:00,3198,917,2739,458,405.82,"1b","1b","1b","1b","1b"
2026-05-02 21:00:00,2659,692,2313,346,406.28,"1b","1b","1b","1b","1b"
2026-05-02 22:00:00,2312,565,2030,282,408.35,"1b","1b","1b","1b","1b"
2026-05-02 23:00:00,2011,445,1788,222,407.78,"1b","1b","1b","1b","1b"
2026-05-03,1989,397,1791,198,414.31,"1b","1b","1b","1b","1b"
2026-05-03 01:00:00,2204,506,1951,253,405.34,"1b","1b","1b","1b","1b"
2026-05-03 02:00:00,2088,437,1870,218,412.98,"1b","1b","1b","1b","1b"
2026-05-03 03:00:00,1571,362,1390,181,407.46,"1b","1b","1b","1b","1b"
2026-05-03 04:00:00,1760,395,1563,198,414.93,"1b","1b","1b","1b","1b"
2026-05-03 05:00:00,1713,413,1507,206,411.53,"1b","1b","1b","1b","1b"
2026-05-03 06:00:00,1490,325,1328,162,410.03,"1b","1b","1b","1b","1b"
2026-05-03 07:00:00,1183,257,1054,128,402.81,"1b","1b","1b","1b","1b"
2026-05-03 08:00:00,952,232,836,116,400.3,"1b","1b","1b","1b","1b"
2026-05-03 09:00:00,1060,221,950,110,396.5,"1b","1b","1b","1b","1b"
2026-05-03 10:00:00,812,190,717,95,396.76,"1b","1b","1b","1b","1b"
2026-05-03 11:00:00,946,249,821,124,393.8,"1b","1b","1b","1b","1b"
2026-05-03 12:00:00,828,212,722,106,392.08,"1b","1b","1b","1b","1b"
2026-05-03 13:00:00,753,227,639,114,385.46,"1b","1b","1b","1b","1b"
2026-05-03 14:00:00,1112,227,998,114,390.21,"1b","1b","1b","1b","1b"
2026-05-03 15:00:00,1216,266,1083,133,387.62,"1b","1b","1b","1b","1b"
2026-05-03 16:00:00,1198,305,1046,152,391.93,"1b","1b","1b","1b","1b"
2026-05-03 17:00:00,1442,329,1277,164,394.23,"1b","1b","1b","1b","1b"
2026-05-03 18:00:00,1699,383,1508,192,399.83,"1b","1b","1b","1b","1b"
2026-05-03 19:00:00,1874,421,1664,210,399.35,"1b","1b","1b","1b","1b"
2026-05-03 20:00:00,1495,386,1302,193,404.42,"1b","1b","1b","1b","1b"
2026-05-03 21:00:00,1614,378,1425,189,400,"1b","1b","1b","1b","1b"
2026-05-03 22:00:00,1377,378,1188,189,404.94,"1b","1b","1b","1b","1b"
2026-05-03 23:00:00,1711,372,1525,186,402.89,"1b","1b","1b","1b","1b"
2026-05-04,1436,306,1283,153,403.66,"1b","1b","1b","1b","1b"
2026-05-04 01:00:00,1604,303,1453,152,408.41,"1b","1b","1b","1b","1b"
2026-05-04 02:00:00,1513,311,1358,156,403.6,"1b","1b","1b","1b","1b"
2026-05-04 03:00:00,1483,311,1327,156,402.4,"1b","1b","1b","1b","1b"
2026-05-04 04:00:00,1306,294,1159,147,407.54,"1b","1b","1b","1b","1b"
2026-05-04 05:00:00,849,227,735,114,404.95,"1b","1b","1b","1b","1b"
2026-05-04 06:00:00,733,198,634,99,408.51,"1b","1b","1b","1b","1b"
2026-05-04 07:00:00,549,149,474,74,403.55,"1b","1b","1b","1b","1b"
2026-05-04 08:00:00,540,170,455,85,403.6,"1b","1b","1b","1b","1b"
