"datetime","TCconc","AE33_BC6","OC","EC","CO2","qc_flag_TCconc","qc_flag_AE33_BC6","qc_flag_OC","qc_flag_EC","qc_flag_CO2"
2025-05-01,9709,1376,9021,688,501.94,"1b","1b","1b","1b","1b"
2025-05-01 01:00:00,8310,1072,7774,536,506.47,"1b","1b","1b","1b","1b"
2025-05-01 02:00:00,7229,794,6832,397,502.33,"1b","1b","1b","1b","1b"
2025-05-01 03:00:00,6903,801,6502,400,509.88,"1b","1b","1b","1b","1b"
2025-05-01 04:00:00,6473,786,6080,393,515.63,"1b","1b","1b","1b","1b"
2025-05-01 05:00:00,6509,779,6119,390,514.27,"1b","1b","1b","1b","1b"
2025-05-01 06:00:00,6501,832,6085,416,518.85,"1b","1b","1b","1b","1b"
2025-05-01 07:00:00,6489,1077,5951,538,536.46,"1b","1b","1b","1b","1b"
2025-05-01 08:00:00,5470,638,5151,319,508.56,"1b","1b","1b","1b","1b"
2025-05-01 09:00:00,5066,530,4801,265,475.27,"1b","1b","1b","1b","1b"
2025-05-01 10:00:00,4711,443,4490,222,453.63,"1b","1b","1b","1b","1b"
2025-05-01 11:00:00,4937,450,4712,225,435.03,"1b","1b","1b","1b","1b"
2025-05-01 12:00:00,4875,430,4660,215,428.48,"1b","1b","1b","1b","1b"
2025-05-01 13:00:00,4805,399,4606,200,425.42,"1b","1b","1b","1b","1b"
2025-05-01 14:00:00,4756,333,4589,166,444.14,"1b","1b","1b","1b","1b"
2025-05-01 15:00:00,5142,420,4932,210,439.8,"1b","1b","1b","1b","1b"
2025-05-01 16:00:00,5103,509,4849,254,428.38,"1b","1b","1b","1b","1b"
2025-05-01 17:00:00,5061,561,4780,280,433.28,"1b","1b","1b","1b","1b"
2025-05-01 18:00:00,5810,860,5380,430,430.7,"1b","1b","1b","1b","1b"
2025-05-01 19:00:00,4517,467,4284,234,425.22,"1b","1b","1b","1b","1b"
2025-05-01 20:00:00,4650,563,4369,282,426.26,"1b","1b","1b","1b","1b"
2025-05-01 21:00:00,5252,830,4837,415,430.48,"1b","1b","1b","1b","1b"
2025-05-01 22:00:00,4503,563,4221,282,425.12,"1b","1b","1b","1b","1b"
2025-05-01 23:00:00,3177,378,2988,189,425.92,"1b","1b","1b","1b","1b"
2025-05-02,2616,273,2479,136,426.52,"1b","1b","1b","1b","1b"
2025-05-02 01:00:00,2120,174,2033,87,429.79,"1b","1b","1b","1b","1b"
2025-05-02 02:00:00,1975,141,1905,70,429.67,"1b","1b","1b","1b","1b"
2025-05-02 03:00:00,1797,144,1725,72,434.88,"1b","1b","1b","1b","1b"
2025-05-02 04:00:00,1892,190,1797,95,430.31,"1b","1b","1b","1b","1b"
2025-05-02 05:00:00,1828,257,1699,128,433.19,"1b","1b","1b","1b","1b"
2025-05-02 06:00:00,2410,338,2241,169,433.25,"1b","1b","1b","1b","1b"
2025-05-02 07:00:00,2450,405,2248,202,451.65,"1b","1b","1b","1b","1b"
2025-05-02 08:00:00,3089,410,2884,205,452.73,"1b","1b","1b","1b","1b"
2025-05-02 09:00:00,3708,556,3430,278,446.68,"1b","1b","1b","1b","1b"
2025-05-02 10:00:00,4825,657,4497,328,449.83,"1b","1b","1b","1b","1b"
2025-05-02 11:00:00,3817,561,3536,280,445.73,"1b","1b","1b","1b","1b"
2025-05-02 12:00:00,4186,535,3918,268,432.89,"1b","1b","1b","1b","1b"
2025-05-02 13:00:00,4402,596,4104,298,426.46,"1b","1b","1b","1b","1b"
2025-05-02 14:00:00,4510,562,4229,281,436.64,"1b","1b","1b","1b","1b"
2025-05-02 15:00:00,4435,693,4088,346,433.03,"1b","1b","1b","1b","1b"
2025-05-02 16:00:00,4310,503,4059,252,422.62,"1b","1b","1b","1b","1b"
2025-05-02 17:00:00,4047,438,3828,219,414.19,"1b","1b","1b","1b","1b"
2025-05-02 18:00:00,3329,334,3162,167,412.95,"1b","1b","1b","1b","1b"
2025-05-02 19:00:00,3060,337,2892,168,416.1,"1b","1b","1b","1b","1b"
2025-05-02 20:00:00,3024,416,2816,208,420.75,"1b","1b","1b","1b","1b"
2025-05-02 21:00:00,2636,356,2458,178,422.5,"1b","1b","1b","1b","1b"
2025-05-02 22:00:00,2716,305,2564,152,425.76,"1b","1b","1b","1b","1b"
2025-05-02 23:00:00,2508,326,2345,163,428.73,"1b","1b","1b","1b","1b"
2025-05-03,2285,266,2152,133,431.81,"1b","1b","1b","1b","1b"
2025-05-03 01:00:00,2975,528,2711,264,434.98,"1b","1b","1b","1b","1b"
2025-05-03 02:00:00,2163,226,2050,113,437.53,"1b","1b","1b","1b","1b"
2025-05-03 03:00:00,2041,209,1936,104,437.31,"1b","1b","1b","1b","1b"
2025-05-03 04:00:00,2415,213,2308,106,436.39,"1b","1b","1b","1b","1b"
2025-05-03 05:00:00,1929,197,1831,98,433.88,"1b","1b","1b","1b","1b"
2025-05-03 06:00:00,1960,178,1871,89,431.15,"1b","1b","1b","1b","1b"
2025-05-03 07:00:00,2008,184,1916,92,428.36,"1b","1b","1b","1b","1b"
2025-05-03 08:00:00,2010,216,1902,108,425.51,"1b","1b","1b","1b","1b"
2025-05-03 09:00:00,2023,197,1925,98,417.86,"1b","1b","1b","1b","1b"
2025-05-03 10:00:00,2060,145,1987,72,415.28,"1b","1b","1b","1b","1b"
2025-05-03 11:00:00,2035,148,1961,74,412.7,"1b","1b","1b","1b","1b"
2025-05-03 12:00:00,2200,165,2117,82,412.89,"1b","1b","1b","1b","1b"
2025-05-03 13:00:00,2315,168,2231,84,414.87,"1b","1b","1b","1b","1b"
2025-05-03 14:00:00,2377,198,2278,99,415.15,"1b","1b","1b","1b","1b"
2025-05-03 15:00:00,2520,248,2396,124,412.14,"1b","1b","1b","1b","1b"
2025-05-03 16:00:00,2598,247,2475,124,411.55,"1b","1b","1b","1b","1b"
2025-05-03 17:00:00,2726,223,2615,112,411.63,"1b","1b","1b","1b","1b"
2025-05-03 18:00:00,2565,209,2460,104,414.2,"1b","1b","1b","1b","1b"
2025-05-03 19:00:00,3061,382,2870,191,419.71,"1b","1b","1b","1b","1b"
