"datetime","TCconc","AE33_BC6","OC","EC","CO2","qc_flag_TCconc","qc_flag_AE33_BC6","qc_flag_OC","qc_flag_EC","qc_flag_CO2"
2025-03-01,11003,3119,9444,1560,551.22,"1b","1b","1b","1b","1b"
2025-03-01 01:00:00,9451,3170,7866,1585,545.76,"1b","1b","1b","1b","1b"
2025-03-01 02:00:00,7121,2080,6081,1040,550.42,"1b","1b","1b","1b","1b"
2025-03-01 03:00:00,6809,1622,5998,811,544.34,"1b","1b","1b","1b","1b"
2025-03-01 04:00:00,5397,1169,4812,584,550.98,"1b","1b","1b","1b","1b"
2025-03-01 05:00:00,4314,943,3842,472,542.49,"1b","1b","1b","1b","1b"
2025-03-01 06:00:00,3870,948,3396,474,548.22,"1b","1b","1b","1b","1b"
2025-03-01 07:00:00,4712,1688,3868,844,547.16,"1b","1b","1b","1b","1b"
2025-03-01 08:00:00,4615,1468,3881,734,564.5,"1b","1b","1b","1b","1b"
2025-03-01 09:00:00,3574,866,3141,433,547.29,"1b","1b","1b","1b","1b"
2025-03-01 10:00:00,2557,427,2343,214,520.9,"1b","1b","1b","1b","1b"
2025-03-01 11:00:00,2574,448,2350,224,487.37,"1b","1b","1b","1b","1b"
2025-03-01 12:00:00,3135,577,2846,288,477.67,"1b","1b","1b","1b","1b"
2025-03-01 13:00:00,3059,592,2763,296,465.07,"1b","1b","1b","1b","1b"
2025-03-01 14:00:00,3034,518,2775,259,466.26,"1b","1b","1b","1b","1b"
2025-03-01 15:00:00,2950,498,2701,249,455.65,"1b","1b","1b","1b","1b"
2025-03-01 16:00:00,3162,565,2880,282,463.16,"1b","1b","1b","1b","1b"
2025-03-01 17:00:00,3343,586,3050,293,459.75,"1b","1b","1b","1b","1b"
2025-03-01 18:00:00,6168,1276,5530,638,474.26,"1b","1b","1b","1b","1b"
2025-03-01 19:00:00,8495,2315,7337,1158,486.16,"1b","1b","1b","1b","1b"
2025-03-01 20:00:00,13271,4916,10813,2458,510.42,"1b","1b","1b","1b","1b"
2025-03-01 21:00:00,19210,6606,15907,3303,533.09,"1b","1b","1b","1b","1b"
2025-03-01 22:00:00,23409,7706,19556,3853,575.55,"1b","1b","1b","1b","1b"
2025-03-01 23:00:00,24091,7422,20380,3711,592.6,"1b","1b","1b","1b","1b"
2025-03-02,19824,4599,17525,2300,597.7,"1b","1b","1b","1b","1b"
2025-03-02 01:00:00,17510,4634,15193,2317,582.81,"1b","1b","1b","1b","1b"
2025-03-02 02:00:00,16786,4363,14604,2182,586.55,"1b","1b","1b","1b","1b"
2025-03-02 03:00:00,12284,3013,10778,1506,570.8,"1b","1b","1b","1b","1b"
2025-03-02 04:00:00,10057,2484,8815,1242,568.42,"1b","1b","1b","1b","1b"
2025-03-02 05:00:00,8095,1866,7162,933,555.72,"1b","1b","1b","1b","1b"
2025-03-02 06:00:00,7609,1733,6742,866,559.27,"1b","1b","1b","1b","1b"
2025-03-02 07:00:00,6384,1568,5600,784,574.75,"1b","1b","1b","1b","1b"
2025-03-02 08:00:00,5574,1124,5012,562,556.94,"1b","1b","1b","1b","1b"
2025-03-02 09:00:00,4427,840,4007,420,511.45,"1b","1b","1b","1b","1b"
2025-03-02 10:00:00,2861,382,2670,191,494.83,"1b","1b","1b","1b","1b"
2025-03-02 11:00:00,2053,246,1930,123,472.24,"1b","1b","1b","1b","1b"
2025-03-02 12:00:00,2369,248,2245,124,470.09,"1b","1b","1b","1b","1b"
2025-03-02 13:00:00,2679,312,2523,156,464.7,"1b","1b","1b","1b","1b"
2025-03-02 14:00:00,2962,329,2798,164,470.43,"1b","1b","1b","1b","1b"
2025-03-02 15:00:00,3504,356,3326,178,464.23,"1b","1b","1b","1b","1b"
2025-03-02 16:00:00,3912,430,3697,215,497.08,"1b","1b","1b","1b","1b"
2025-03-02 17:00:00,4263,831,3848,416,507.15,"1b","1b","1b","1b","1b"
2025-03-02 18:00:00,7559,2161,6478,1080,500.21,"1b","1b","1b","1b","1b"
2025-03-02 19:00:00,11340,2992,9844,1496,494.33,"1b","1b","1b","1b","1b"
2025-03-02 20:00:00,17039,5826,14126,2913,510.46,"1b","1b","1b","1b","1b"
2025-03-02 21:00:00,12291,2749,10916,1374,507.28,"1b","1b","1b","1b","1b"
