"","datetime","TCconc","AE33_BC6","OC","EC","CO2","qc_flag_TCconc","qc_flag_AE33_BC6","qc_flag_OC","qc_flag_EC","qc_flag_CO2"
"1","2026-02-01 00:00:00",1851,352,1675,176,414.44,"1b","1b","1b","1b","1b"
"2","2026-02-01 01:00:00",1366,285,1224,142,409.12,"1b","1b","1b","1b","1b"
"3","2026-02-01 02:00:00",1596,402,1395,201,410.76,"1b","1b","1b","1b","1b"
"4","2026-02-01 03:00:00",1476,260,1346,130,408.69,"1b","1b","1b","1b","1b"
"5","2026-02-01 04:00:00",1408,256,1280,128,410.14,"1b","1b","1b","1b","1b"
"6","2026-02-01 05:00:00",1230,223,1119,112,409.15,"1b","1b","1b","1b","1b"
"7","2026-02-01 06:00:00",1233,197,1135,98,414.63,"1b","1b","1b","1b","1b"
"8","2026-02-01 07:00:00",1087,202,986,101,412.4,"1b","1b","1b","1b","1b"
"9","2026-02-01 08:00:00",1140,230,1025,115,414.97,"1b","1b","1b","1b","1b"
"10","2026-02-01 09:00:00",1272,258,1143,129,417.58,"1b","1b","1b","1b","1b"
"11","2026-02-01 10:00:00",1319,248,1195,124,416.48,"1b","1b","1b","1b","1b"
"12","2026-02-01 11:00:00",1279,210,1174,105,412.68,"1b","1b","1b","1b","1b"
"13","2026-02-01 12:00:00",1204,200,1104,100,413.92,"1b","1b","1b","1b","1b"
"14","2026-02-01 13:00:00",1177,217,1069,108,410.17,"1b","1b","1b","1b","1b"
"15","2026-02-01 14:00:00",1410,271,1275,136,410.4,"1b","1b","1b","1b","1b"
"16","2026-02-01 15:00:00",1210,249,1086,124,409.93,"1b","1b","1b","1b","1b"
"17","2026-02-01 16:00:00",1907,500,1657,250,420.47,"1b","1b","1b","1b","1b"
"18","2026-02-01 17:00:00",2653,608,2349,304,420.09,"1b","1b","1b","1b","1b"
"19","2026-02-01 18:00:00",5210,1462,4479,731,424.26,"1b","1b","1b","1b","1b"
