"datetime","TCconc","AE33_BC6","OC","EC","CO2","qc_flag_TCconc","qc_flag_AE33_BC6","qc_flag_OC","qc_flag_EC","qc_flag_CO2"
2026-01-01,2285,439,2066,220,414.31,"1b","1b","1b","1b","1b"
2026-01-01 01:00:00,1076,190,981,95,408.09,"1b","1b","1b","1b","1b"
2026-01-01 02:00:00,940,138,871,69,406.52,"1b","1b","1b","1b","1b"
2026-01-01 03:00:00,845,111,789,56,405.99,"1b","1b","1b","1b","1b"
2026-01-01 04:00:00,848,96,800,48,404.67,"1b","1b","1b","1b","1b"
2026-01-01 05:00:00,666,90,621,45,407.76,"1b","1b","1b","1b","1b"
2026-01-01 06:00:00,666,91,620,46,405.23,"1b","1b","1b","1b","1b"
2026-01-01 07:00:00,500,90,455,45,412.89,"1b","1b","1b","1b","1b"
2026-01-01 08:00:00,682,91,636,46,407.51,"1b","1b","1b","1b","1b"
2026-01-01 09:00:00,516,131,451,66,410.42,"1b","1b","1b","1b","1b"
2026-01-01 10:00:00,970,115,912,58,408.72,"1b","1b","1b","1b","1b"
2026-01-01 11:00:00,631,157,552,78,406.65,"1b","1b","1b","1b","1b"
2026-01-01 12:00:00,1258,212,1152,106,411.32,"1b","1b","1b","1b","1b"
2026-01-01 13:00:00,496,204,394,102,402.84,"1b","1b","1b","1b","1b"
2026-01-01 14:00:00,1265,237,1146,118,403.35,"1b","1b","1b","1b","1b"
2026-01-01 15:00:00,637,186,544,93,409.51,"1b","1b","1b","1b","1b"
2026-01-01 16:00:00,1110,149,1036,74,401.51,"1b","1b","1b","1b","1b"
2026-01-01 17:00:00,605,280,465,140,412.75,"1b","1b","1b","1b","1b"
2026-01-01 18:00:00,1635,286,1492,143,407.16,"1b","1b","1b","1b","1b"
2026-01-01 19:00:00,558,272,422,136,413.88,"1b","1b","1b","1b","1b"
2026-01-01 20:00:00,1326,294,1179,147,404.14,"1b","1b","1b","1b","1b"
2026-01-01 21:00:00,847,306,694,153,409.36,"1b","1b","1b","1b","1b"
2026-01-01 22:00:00,1196,213,1089,106,409.75,"1b","1b","1b","1b","1b"
2026-01-01 23:00:00,533,150,458,75,414.78,"1b","1b","1b","1b","1b"
2026-01-02,652,81,611,40,406.46,"1b","1b","1b","1b","1b"
2026-01-02 01:00:00,224,44,202,22,406.78,"1b","1b","1b","1b","1b"
2026-01-02 02:00:00,361,22,350,11,405.16,"1b","1b","1b","1b","1b"
2026-01-02 03:00:00,373,36,355,18,405.84,"1b","1b","1b","1b","1b"
2026-01-02 04:00:00,344,25,332,12,405.68,"1b","1b","1b","1b","1b"
2026-01-02 05:00:00,493,31,478,16,406.05,"1b","1b","1b","1b","1b"
2026-01-02 06:00:00,554,63,522,32,407.52,"1b","1b","1b","1b","1b"
2026-01-02 07:00:00,477,114,420,57,409.32,"1b","1b","1b","1b","1b"
2026-01-02 08:00:00,696,247,572,124,407.77,"1b","1b","1b","1b","1b"
2026-01-02 09:00:00,520,271,385,136,412.8,"1b","1b","1b","1b","1b"
2026-01-02 10:00:00,1060,294,913,147,407.01,"1b","1b","1b","1b","1b"
2026-01-02 11:00:00,547,317,388,158,408.12,"1b","1b","1b","1b","1b"
2026-01-02 12:00:00,1120,326,957,163,406.48,"1b","1b","1b","1b","1b"
2026-01-02 15:00:00,4458,469,4223,234,422.39,"1b","1b","1b","1b","1b"
2026-01-02 16:00:00,1523,588,1229,294,427.86,"1b","1b","1b","1b","1b"
2026-01-02 17:00:00,1243,381,1053,190,416.92,"1b","1b","1b","1b","1b"
2026-01-02 18:00:00,1996,637,1677,318,412.71,"1b","1b","1b","1b","1b"
2026-01-02 19:00:00,2207,730,1842,365,413.53,"1b","1b","1b","1b","1b"
2026-01-02 20:00:00,2283,609,1978,304,417.05,"1b","1b","1b","1b","1b"
2026-01-02 21:00:00,2014,644,1692,322,418.23,"1b","1b","1b","1b","1b"
2026-01-02 22:00:00,1808,568,1524,284,414.53,"1b","1b","1b","1b","1b"
2026-01-02 23:00:00,1239,361,1059,180,416.95,"1b","1b","1b","1b","1b"
2026-01-03,361,105,308,52,416.15,"1b","1b","1b","1b","1b"
2026-01-03 01:00:00,375,67,341,34,413.01,"1b","1b","1b","1b","1b"
2026-01-03 02:00:00,314,78,275,39,407.18,"1b","1b","1b","1b","1b"
2026-01-03 03:00:00,258,76,220,38,406.39,"1b","1b","1b","1b","1b"
2026-01-03 04:00:00,460,86,417,43,403.41,"1b","1b","1b","1b","1b"
2026-01-03 05:00:00,329,68,295,34,405.41,"1b","1b","1b","1b","1b"
2026-01-03 06:00:00,348,77,310,38,404.66,"1b","1b","1b","1b","1b"
2026-01-03 07:00:00,449,126,386,63,407.32,"1b","1b","1b","1b","1b"
2026-01-03 08:00:00,328,149,254,74,407.78,"1b","1b","1b","1b","1b"
2026-01-03 09:00:00,674,261,543,130,409.96,"1b","1b","1b","1b","1b"
2026-01-03 10:00:00,841,260,711,130,409.99,"1b","1b","1b","1b","1b"
2026-01-03 11:00:00,779,246,656,123,406.72,"1b","1b","1b","1b","1b"
2026-01-03 12:00:00,1146,351,971,176,403.61,"1b","1b","1b","1b","1b"
2026-01-03 13:00:00,1991,301,1840,150,409.73,"1b","1b","1b","1b","1b"
2026-01-03 14:00:00,10196,260,10066,130,401.25,"1b","1b","1b","1b","1b"
2026-01-03 15:00:00,1249,323,1088,162,404.82,"1b","1b","1b","1b","1b"
2026-01-03 16:00:00,1593,555,1315,278,405.04,"1b","1b","1b","1b","1b"
2026-01-03 17:00:00,1729,540,1459,270,410.32,"1b","1b","1b","1b","1b"
2026-01-03 18:00:00,1914,687,1570,344,411.58,"1b","1b","1b","1b","1b"
2026-01-03 19:00:00,1955,579,1666,290,416.3,"1b","1b","1b","1b","1b"
2026-01-03 20:00:00,2180,645,1858,322,417.67,"1b","1b","1b","1b","1b"
2026-01-03 21:00:00,2516,674,2179,337,417.75,"1b","1b","1b","1b","1b"
2026-01-03 22:00:00,2918,815,2511,408,414.96,"1b","1b","1b","1b","1b"
2026-01-03 23:00:00,2441,581,2150,290,416.98,"1b","1b","1b","1b","1b"
2026-01-04,2529,562,2248,281,416.55,"1b","1b","1b","1b","1b"
2026-01-04 01:00:00,1486,357,1308,178,417.24,"1b","1b","1b","1b","1b"
2026-01-04 02:00:00,1319,257,1191,128,413.43,"1b","1b","1b","1b","1b"
2026-01-04 03:00:00,974,173,887,86,411.63,"1b","1b","1b","1b","1b"
2026-01-04 04:00:00,685,137,617,68,416.63,"1b","1b","1b","1b","1b"
2026-01-04 05:00:00,1042,224,930,112,419.83,"1b","1b","1b","1b","1b"
2026-01-04 06:00:00,698,137,630,68,424.18,"1b","1b","1b","1b","1b"
2026-01-04 07:00:00,945,225,832,112,427.81,"1b","1b","1b","1b","1b"
2026-01-04 08:00:00,799,213,693,106,430.33,"1b","1b","1b","1b","1b"
2026-01-04 09:00:00,576,180,486,90,429.49,"1b","1b","1b","1b","1b"
2026-01-04 10:00:00,825,223,713,112,421.1,"1b","1b","1b","1b","1b"
2026-01-04 11:00:00,1141,275,1004,138,422.1,"1b","1b","1b","1b","1b"
2026-01-04 12:00:00,1680,438,1461,219,413.61,"1b","1b","1b","1b","1b"
2026-01-04 13:00:00,744,250,619,125,416.53,"1b","1b","1b","1b","1b"
2026-01-04 14:00:00,1325,378,1136,189,407.25,"1b","1b","1b","1b","1b"
2026-01-04 15:00:00,1633,517,1374,258,410.68,"1b","1b","1b","1b","1b"
2026-01-04 16:00:00,3357,1220,2747,610,414.13,"1b","1b","1b","1b","1b"
2026-01-04 17:00:00,3078,1532,2312,766,432.25,"1b","1b","1b","1b","1b"
2026-01-04 18:00:00,2850,1075,2313,538,436.79,"1b","1b","1b","1b","1b"
2026-01-04 19:00:00,2628,734,2261,367,436.94,"1b","1b","1b","1b","1b"
2026-01-04 20:00:00,4110,1112,3554,556,434.36,"1b","1b","1b","1b","1b"
2026-01-04 21:00:00,3864,1000,3364,500,435.62,"1b","1b","1b","1b","1b"
2026-01-04 22:00:00,3252,651,2926,326,428.71,"1b","1b","1b","1b","1b"
2026-01-04 23:00:00,2508,478,2269,239,425.24,"1b","1b","1b","1b","1b"
2026-01-05,1497,251,1371,126,416.99,"1b","1b","1b","1b","1b"
2026-01-05 01:00:00,1192,221,1082,110,418.25,"1b","1b","1b","1b","1b"
2026-01-05 02:00:00,1189,223,1078,112,412.6,"1b","1b","1b","1b","1b"
2026-01-05 03:00:00,566,107,513,54,413.76,"1b","1b","1b","1b","1b"
2026-01-05 04:00:00,614,89,570,44,412.46,"1b","1b","1b","1b","1b"
2026-01-05 05:00:00,684,118,625,59,418.95,"1b","1b","1b","1b","1b"
2026-01-05 06:00:00,880,205,778,102,421.13,"1b","1b","1b","1b","1b"
2026-01-05 07:00:00,1223,382,1032,191,433.27,"1b","1b","1b","1b","1b"
2026-01-05 08:00:00,1190,441,969,220,429.07,"1b","1b","1b","1b","1b"
2026-01-05 09:00:00,1607,513,1351,256,427.18,"1b","1b","1b","1b","1b"
2026-01-05 10:00:00,1444,407,1241,204,471.7,"1b","1b","1b","1b","1b"
2026-01-05 11:00:00,1401,478,1162,239,501.16,"1b","1b","1b","1b","1b"
2026-01-05 12:00:00,1530,527,1266,264,477.03,"1b","1b","1b","1b","1b"
2026-01-05 13:00:00,1549,493,1303,246,445.21,"1b","1b","1b","1b","1b"
2026-01-05 14:00:00,1262,436,1044,218,425.24,"1b","1b","1b","1b","1b"
2026-01-05 15:00:00,1988,688,1644,344,469.74,"1b","1b","1b","1b","1b"
2026-01-05 16:00:00,2343,727,1980,364,500.46,"1b","1b","1b","1b","1b"
2026-01-05 17:00:00,2927,913,2471,456,468.1,"1b","1b","1b","1b","1b"
2026-01-05 18:00:00,2917,885,2474,442,443.26,"1b","1b","1b","1b","1b"
2026-01-05 19:00:00,4460,1292,3814,646,441.16,"1b","1b","1b","1b","1b"
2026-01-05 20:00:00,5410,1538,4641,769,436.99,"1b","1b","1b","1b","1b"
2026-01-05 21:00:00,5589,1570,4804,785,438.09,"1b","1b","1b","1b","1b"
2026-01-05 22:00:00,4295,1215,3687,608,438.04,"1b","1b","1b","1b","1b"
2026-01-05 23:00:00,2137,463,1905,232,430.1,"1b","1b","1b","1b","1b"
2026-01-06,1912,476,1674,238,423.8,"1b","1b","1b","1b","1b"
2026-01-06 01:00:00,2308,516,2050,258,431.24,"1b","1b","1b","1b","1b"
2026-01-06 02:00:00,1688,322,1527,161,428.84,"1b","1b","1b","1b","1b"
2026-01-06 03:00:00,1716,298,1567,149,432.36,"1b","1b","1b","1b","1b"
2026-01-06 04:00:00,1099,191,1004,96,426.68,"1b","1b","1b","1b","1b"
2026-01-06 05:00:00,1084,176,996,88,425.73,"1b","1b","1b","1b","1b"
2026-01-06 06:00:00,1275,299,1126,150,424.78,"1b","1b","1b","1b","1b"
2026-01-06 07:00:00,1318,361,1137,180,427.74,"1b","1b","1b","1b","1b"
2026-01-06 08:00:00,1389,371,1204,186,425.89,"1b","1b","1b","1b","1b"
2026-01-06 09:00:00,1152,349,978,174,427.97,"1b","1b","1b","1b","1b"
2026-01-06 10:00:00,1584,409,1380,204,436.75,"1b","1b","1b","1b","1b"
2026-01-06 11:00:00,1579,352,1403,176,481.68,"1b","1b","1b","1b","1b"
2026-01-06 12:00:00,1858,498,1609,249,493.72,"1b","1b","1b","1b","1b"
2026-01-06 13:00:00,1906,448,1682,224,459.33,"1b","1b","1b","1b","1b"
2026-01-06 14:00:00,2163,453,1937,226,436.7,"1b","1b","1b","1b","1b"
2026-01-06 15:00:00,2612,572,2326,286,429.01,"1b","1b","1b","1b","1b"
2026-01-06 16:00:00,2827,626,2514,313,421.75,"1b","1b","1b","1b","1b"
2026-01-06 17:00:00,2391,510,2136,255,426.12,"1b","1b","1b","1b","1b"
2026-01-06 18:00:00,1989,417,1781,208,416.06,"1b","1b","1b","1b","1b"
2026-01-06 19:00:00,1688,377,1499,188,416.55,"1b","1b","1b","1b","1b"
2026-01-06 20:00:00,1413,302,1262,151,413.83,"1b","1b","1b","1b","1b"
2026-01-06 21:00:00,1104,237,986,118,413.31,"1b","1b","1b","1b","1b"
2026-01-06 22:00:00,843,151,767,76,409.51,"1b","1b","1b","1b","1b"
2026-01-06 23:00:00,811,121,750,60,408.89,"1b","1b","1b","1b","1b"
2026-01-07,725,86,682,43,412.16,"1b","1b","1b","1b","1b"
2026-01-07 01:00:00,693,83,651,42,411.38,"1b","1b","1b","1b","1b"
