"Date_UTC","NO","NOy","NO2","O3","qc_flag_NO","qc_flag_NOy","qc_flag_NO2","qc_flag_O3"
2020-07-01,0.133283333333333,0.40941666666667,1.25836666666667,14.40115,"1b","1b","1b","1b"
2020-07-01 01:00:00,0.241916666666667,1.17518333333334,2.48920833333333,10.8004318181818,"1b","1b","1b","1b"
2020-07-01 02:00:00,0.23345,0.939300000000003,2.48293333333333,11.1855333333333,"1b","1b","1b","1b"
2020-07-01 03:00:00,0.251866666666667,0.674850000000003,1.89593333333333,12.83955,"1b","1b","1b","1b"
2020-07-01 04:00:00,0.225616666666667,0.711800000000003,2.2108,13.1199666666667,"1b","1b","1b","1b"
2020-07-01 05:00:00,0.30745,1.16573333333334,3.02696666666667,12.72455,"1b","1b","1b","1b"
2020-07-01 06:00:00,1.20848333333333,3.70858333333334,6.7391,11.1110666666667,"1b","1b","1b","1b"
2020-07-01 07:00:00,1.36233333333333,3.98948333333334,6.92975,10.8768166666667,"1b","1b","1b","1b"
2020-07-01 08:00:00,1.20521666666667,3.06383333333334,4.88256666666667,12.53025,"1b","1b","1b","1b"
2020-07-01 09:00:00,1.10026666666667,2.79003333333334,4.92218333333333,12.8833666666667,"1b","1b","1b","1b"
2020-07-01 10:00:00,1.0052,2.3463,3.96891666666667,14.6147333333333,"1b","1b","1b","1b"
2020-07-01 11:00:00,0.906083333333333,2.01248333333334,3.59961666666667,15.1369333333333,"1b","1b","1b","1b"
2020-07-01 12:00:00,0.890066666666667,1.9351,3.43643333333333,15.0035833333333,"1b","1b","1b","1b"
2020-07-01 13:00:00,0.734483333333333,1.95613333333334,3.71956666666667,15.9942666666667,"1b","1b","1b","1b"
2020-07-01 14:00:00,1.0257,2.27145,3.70123333333333,16.3807666666667,"1b","1b","1b","1b"
2020-07-01 15:00:00,0.703583333333333,1.95973333333334,3.82633333333333,15.7166,"1b","1b","1b","1b"
2020-07-01 16:00:00,0.499783333333333,1.58346666666667,3.42973333333333,15.6309,"1b","1b","1b","1b"
2020-07-01 17:00:00,0.537533333333333,2.28033333333334,4.91563333333333,12.1848166666667,"1b","1b","1b","1b"
2020-07-01 18:00:00,0.462033333333333,1.74875,3.90651666666667,12.1201833333333,"1b","1b","1b","1b"
2020-07-01 19:00:00,0.349683333333333,1.53973333333334,3.69681666666667,14.82645,"1b","1b","1b","1b"
2020-07-01 20:00:00,0.595,2.68971666666667,6.2363,11.87855,"1b","1b","1b","1b"
2020-07-01 21:00:00,0.924466666666667,3.87738333333334,8.76893333333333,9.22475,"1b","1b","1b","1b"
2020-07-01 22:00:00,0.513166666666667,3.48213333333334,7.35201666666667,11.6012333333333,"1b","1b","1b","1b"
2020-07-01 23:00:00,0.106783333333333,1.30118333333334,3.6827,16.0180833333333,"1b","1b","1b","1b"
2020-07-02,0.126383333333333,0.674800000000003,2.4209,18.0753,"1b","1b","1b","1b"
2020-07-02 01:00:00,0.152983333333333,0.643650000000003,2.34108333333333,17.4801363636364,"1b","1b","1b","1b"
2020-07-02 02:00:00,0.139466666666667,0.73686666666667,2.2703,17.4337333333333,"1b","1b","1b","1b"
2020-07-02 03:00:00,0.1753,0.77046666666667,2.32815,16.746,"1b","1b","1b","1b"
2020-07-02 04:00:00,0.14785,0.99796666666667,2.83435,15.8541666666667,"1b","1b","1b","1b"
2020-07-02 05:00:00,0.439633333333333,2.03033333333334,4.55941666666667,14.5259333333333,"1b","1b","1b","1b"
2020-07-02 06:00:00,1.14626666666667,4.22178333333334,7.91261666666667,11.40935,"1b","1b","1b","1b"
2020-07-02 07:00:00,1.97375,5.69058333333334,8.95025,10.8701666666667,"1b","1b","1b","1b"
2020-07-02 08:00:00,1.73621666666667,4.02063333333334,5.77813333333333,13.6674,"1b","1b","1b","1b"
2020-07-02 09:00:00,0.908616666666667,2.07546666666667,3.53553333333333,16.6294833333333,"1b","1b","1b","1b"
2020-07-02 10:00:00,0.587333333333333,1.5237,2.78545,19.9618666666667,"1b","1b","1b","1b"
2020-07-02 11:00:00,0.50585,1.59905,3.26121666666667,19.6396333333333,"1b","1b","1b","1b"
2020-07-02 12:00:00,0.696083333333333,2.09673333333334,3.81113333333333,19.6425333333333,"1b","1b","1b","1b"
2020-07-02 13:00:00,0.4566,1.57975,3.26936666666667,22.68255,"1b","1b","1b","1b"
2020-07-02 14:00:00,0.438183333333333,1.7272,3.73196666666667,21.4249666666667,"1b","1b","1b","1b"
