"Date_UTC","SO2","NO","NOy","NO2","O3","qc_flag_SO2","qc_flag_NO","qc_flag_NOy","qc_flag_NO2","qc_flag_O3"
2025-07-01,2.8538,0.077,2.10931666666667,5.89063333333333,24.4773333333333,"1b","1b","1b","1b","1b"
2025-07-01 01:00:00,3.21010344827586,0.0738333333333333,1.9327,6.02103448275862,21.648275862069,"1b","1b","1b","1b","1b"
2025-07-01 02:00:00,3.38723333333333,0.0782,3.24946666666667,7.22953333333333,20.4331666666667,"1b","1b","1b","1b","1b"
2025-07-01 03:00:00,3.26413333333333,0.101383333333333,2.69084745762712,6.17588333333333,21.2518333333333,"1b","1b","1b","1b","1b"
2025-07-01 04:00:00,3.23011666666667,0.151883333333333,1.85170175438596,5.18205,22.0926666666667,"1b","1b","1b","1b","1b"
2025-07-01 05:00:00,3.23306666666667,0.40555,2.57346666666667,6.15753333333333,21.5601666666667,"1b","1b","1b","1b","1b"
2025-07-01 06:00:00,3.503,0.478116666666667,2.15475,5.41648333333333,23.1778333333333,"1b","1b","1b","1b","1b"
2025-07-01 07:00:00,3.18088333333333,1.06421666666667,3.13886666666667,6.20203333333333,23.582,"1b","1b","1b","1b","1b"
2025-07-01 08:00:00,3.12161666666667,1.25063333333333,3.514,6.44411666666667,23.531,"1b","1b","1b","1b","1b"
2025-07-01 09:00:00,3.47176666666667,1.32158333333333,3.94118333333333,6.85503333333333,24.633,"1b","1b","1b","1b","1b"
2025-07-01 10:00:00,3.17388333333333,1.10541666666667,3.94185,6.8461,27.0536666666667,"1b","1b","1b","1b","1b"
2025-07-01 11:00:00,3.31668333333333,0.440033333333333,2.53333333333333,5.40566666666667,29.5741666666667,"1b","1b","1b","1b","1b"
2025-07-01 12:00:00,3.17965,0.887583333333333,4.45856666666667,7.5973,29.302,"1b","1b","1b","1b","1b"
2025-07-01 13:00:00,3.09398333333333,0.636583333333333,3.456,6.18323333333333,33.3523333333333,"1b","1b","1b","1b","1b"
2025-07-01 14:00:00,3.35971666666667,0.514583333333333,3.9746,7.77955,31.3191666666667,"1b","1b","1b","1b","1b"
2025-07-01 15:00:00,3.84596666666667,0.595816666666667,3.99613333333333,9.14653333333333,27.471,"1b","1b","1b","1b","1b"
2025-07-01 16:00:00,3.52401666666667,0.657383333333333,4.53956666666667,9.7154,27.1388333333333,"1b","1b","1b","1b","1b"
2025-07-01 17:00:00,3.45151666666667,0.690616666666667,5.16101666666667,10.2037833333333,26.0076666666667,"1b","1b","1b","1b","1b"
2025-07-01 18:00:00,3.18101666666667,0.37145,4.01365,8.20916666666667,25.73,"1b","1b","1b","1b","1b"
2025-07-01 19:00:00,3.35806666666667,0.299566666666667,4.11186666666667,8.33925,25.4158333333333,"1b","1b","1b","1b","1b"
