"Date_UTC","SO2","NO","NOy","NO2","O3","qc_flag_SO2","qc_flag_NO","qc_flag_NOy","qc_flag_NO2","qc_flag_O3"
2025-08-01,NA,0.0548833333333333,-0.114633333333333,NA,20.755,"5b","1b","1b","5b","1b"
2025-08-01 01:00:00,NA,0.0649666666666667,-0.337533333333333,NA,19.4241379310345,"5b","1b","1b","5b","1b"
2025-08-01 02:00:00,NA,0.07315,-0.21255,NA,18.9985,"5b","1b","1b","5b","1b"
2025-08-01 03:00:00,NA,0.101266666666667,-0.127066666666667,NA,18.7066666666667,"5b","1b","1b","5b","1b"
2025-08-01 04:00:00,NA,0.103483333333333,0.376866666666667,NA,18.3583333333333,"5b","1b","1b","5b","1b"
2025-08-01 05:00:00,NA,0.33135,1.49805,NA,17.2491666666667,"5b","1b","1b","5b","1b"
2025-08-01 06:00:00,NA,96.8162333333333,100.456966666667,NA,17.1955,"5b","2b","2b","5b","1b"
2025-08-01 07:00:00,NA,NA,NA,NA,18.4231666666667,"5b","0b","0b","5b","1b"
2025-08-01 08:00:00,NA,NA,NA,NA,19.5873333333333,"5b","0b","0b","5b","1b"
2025-08-01 09:00:00,NA,216.293283333333,218.58345,NA,17.4326666666667,"5b","2b","2b","5b","1b"
2025-08-01 10:00:00,0.563333333333333,2.0547,81.3749166666667,NA,17.304,"1b","2b","2b","5b","1b"
2025-08-01 11:00:00,0.41655,1.03284745762712,3.18237288135593,NA,18.6383333333333,"1b","2b","2b","5b","1b"
2025-08-01 12:00:00,0.656833333333333,1.64853333333333,5.44761666666667,NA,17.255,"1b","1b","1b","5b","1b"
2025-08-01 13:00:00,0.5112,1.25061666666667,5.57241666666667,NA,16.9491666666667,"1b","1b","1b","5b","1b"
2025-08-01 14:00:00,0.540316666666667,1.66355,5.36445,NA,18.3461666666667,"1b","1b","1b","5b","1b"
2025-08-01 15:00:00,0.441616666666667,0.5441,2.1968,NA,21.3406666666667,"1b","1b","1b","5b","1b"
2025-08-01 16:00:00,0.5746,0.70215,2.77303333333333,NA,20.5703333333333,"1b","1b","1b","5b","1b"
2025-08-01 17:00:00,0.35935,0.4972,2.70105,NA,19.9303333333333,"1b","1b","1b","5b","1b"
2025-08-01 18:00:00,0.314846153846154,0.347566666666667,2.30731666666667,NA,20.2351666666667,"1b","1b","1b","5b","1b"
2025-08-01 19:00:00,0.308933333333333,0.347133333333333,3.77026666666667,NA,18.6966666666667,"1b","1b","1b","5b","1b"
2025-08-01 20:00:00,0.330966666666667,0.246133333333333,4.19268333333333,NA,18.2326666666667,"1b","1b","1b","5b","1b"
2025-08-01 21:00:00,0.275366666666667,0.216216666666667,5.06293333333333,NA,17.3235,"1b","1b","1b","5b","1b"
2025-08-01 22:00:00,0.373824561403509,0.176516666666667,4.6865,NA,16.9798333333333,"1b","1b","1b","5b","1b"
2025-08-01 23:00:00,0.227116666666667,0.18495,4.16615254237288,NA,16.816,"1b","1b","1b","5b","1b"
2025-08-02,0.3956,0.17485,2.65011666666667,NA,16.8653333333333,"1b","1b","1b","5b","1b"
2025-08-02 01:00:00,0.231379310344828,0.16045,1.53765,NA,18.1037931034483,"1b","1b","1b","5b","1b"
2025-08-02 02:00:00,0.2673,0.1574,1.21985,NA,18.1028333333333,"1b","1b","1b","5b","1b"
2025-08-02 03:00:00,0.276183333333333,0.1568,0.766583333333333,NA,18.338,"1b","1b","1b","5b","1b"
2025-08-02 04:00:00,0.375733333333333,0.148383333333333,0.845583333333333,NA,18.4203333333333,"1b","1b","1b","5b","1b"
