"Date_UTC","SO2","NO","NOy","NO2","O3","qc_flag_SO2","qc_flag_NO","qc_flag_NOy","qc_flag_NO2","qc_flag_O3"
2026-01-01,2.5675,0.362333333333333,3.20336666666667,4.4454,29.5736666666667,"1b","1b","1b","1b","3b"
2026-01-01 01:00:00,2.49030508474576,0.322783333333333,1.47993333333333,2.88224137931034,34.6186206896552,"1b","1b","1b","1b","3b"
2026-01-01 02:00:00,2.4175,0.314483333333333,1.98596666666667,4.08358333333333,34.309,"1b","1b","1b","1b","3b"
2026-01-01 03:00:00,2.56661403508772,0.532916666666667,2.76393333333333,4.81565,33.8018333333333,"1b","1b","1b","1b","3b"
2026-01-01 04:00:00,2.4658813559322,0.635333333333333,2.521,4.24981666666667,34.3163333333333,"1b","1b","1b","1b","3b"
2026-01-01 05:00:00,2.43917857142857,0.769116666666667,3.04785,4.76273333333333,32.4803333333333,"1b","1b","1b","4b","3b"
2026-01-01 06:00:00,2.53522807017544,3.0705,7.60398333333333,8.77588333333333,29.6306666666667,"1b","1b","1b","4b","3b"
2026-01-01 07:00:00,2.35525423728814,0.855883333333333,4.4949,6.55008333333333,29.176,"1b","1b","1b","4b","3b"
2026-01-01 08:00:00,2.446,0.364616666666667,2.05866666666667,4.18923333333333,30.5423333333333,"1b","1b","1b","4b","3b"
2026-01-01 09:00:00,2.44001818181818,0.476466666666667,2.31371666666667,4.71441666666667,28.6816666666667,"1b","1b","1b","4b","3b"
2026-01-01 10:00:00,2.48103389830508,0.602216666666667,2.3517,4.4992,30.1236666666667,"1b","1b","1b","1b","3b"
2026-01-01 11:00:00,2.59248333333333,0.773133333333333,3.05115,5.26043333333333,30.7648333333333,"1b","1b","1b","1b","3b"
2026-01-01 12:00:00,2.5861724137931,0.76255,3.26103333333333,5.2944,31.1166666666667,"1b","1b","1b","1b","3b"
2026-01-01 13:00:00,2.60753448275862,0.687433333333333,3.0736,5.2708,31.5966666666667,"1b","1b","1b","1b","3b"
2026-01-01 14:00:00,2.54403448275862,0.50265,3.37561666666667,5.97371666666667,29.826,"1b","1b","1b","1b","3b"
2026-01-01 15:00:00,2.5882641509434,0.55595,2.76441666666667,5.018,31.8738333333333,"1b","1b","1b","1b","3b"
2026-01-01 16:00:00,2.49096551724138,0.372583333333333,2.35628333333333,5.28946666666667,33.0435,"1b","1b","1b","1b","3b"
2026-01-01 17:00:00,2.49322413793103,0.529366666666667,5.23578333333333,8.08543333333333,27.7993333333333,"1b","1b","1b","1b","3b"
2026-01-01 18:00:00,2.61892727272727,0.36205,3.38701666666667,5.85868333333333,29.9026666666667,"1b","1b","1b","1b","3b"
2026-01-01 19:00:00,2.67351785714286,0.316783333333333,3.0161,5.58031666666667,31.7925,"1b","1b","1b","1b","3b"
2026-01-01 20:00:00,2.68355357142857,0.383366666666667,3.08018333333333,5.80298333333333,31.076,"1b","1b","1b","1b","3b"
2026-01-01 21:00:00,2.70885964912281,0.551866666666667,4.4033,5.98466666666667,29.5711666666667,"1b","1b","1b","1b","3b"
2026-01-01 22:00:00,2.76298214285714,0.45235,3.33666666666667,5.60703333333333,28.9235,"1b","1b","1b","1b","3b"
2026-01-01 23:00:00,2.50301694915254,0.212433333333333,4.31051666666667,7.03781666666667,26.3001666666667,"1b","1b","1b","1b","3b"
2026-01-02,2.38898214285714,0.254366666666667,3.0426,6.5994,26.6713333333333,"1b","1b","1b","1b","3b"
2026-01-02 01:00:00,2.56703636363636,0.171766666666667,0.166466666666667,1.88565517241379,36.0658620689655,"1b","1b","1b","1b","3b"
2026-01-02 02:00:00,2.62783050847458,0.1001,-0.2034,2.11235,34.2906666666667,"1b","1b","1b","1b","3b"
2026-01-02 03:00:00,2.51692452830189,0.152466666666667,0.85265,3.61228333333333,31.1705,"1b","1b","1b","1b","3b"
2026-01-02 04:00:00,2.64525,0.255766666666667,1.5659,3.70008333333333,31.1601666666667,"1b","1b","1b","1b","3b"
2026-01-02 05:00:00,2.62458620689655,0.190033333333333,1.08646666666667,3.45241666666667,30.195,"1b","1b","1b","1b","3b"
2026-01-02 06:00:00,2.62785185185185,0.195816666666667,1.51866666666667,4.29281666666667,32.6023333333333,"1b","1b","1b","1b","3b"
2026-01-02 07:00:00,2.56225862068966,0.602916666666667,4.87701666666667,7.23748333333333,30.4791666666667,"1b","1b","1b","1b","3b"
2026-01-02 08:00:00,2.49370909090909,1.4151,7.9856,10.0542666666667,27.8338333333333,"1b","1b","1b","1b","3b"
2026-01-02 09:00:00,2.27194736842105,1.01523333333333,7.42736666666667,9.96741666666667,27.8698333333333,"1b","1b","1b","1b","3b"
2026-01-02 10:00:00,2.59291228070175,1.51711666666667,7.8194,9.92003333333333,28.208,"1b","1b","1b","1b","3b"
2026-01-02 11:00:00,2.38246296296296,1.80378333333333,7.19295,8.61235,30.0511666666667,"1b","1b","1b","1b","3b"
2026-01-02 12:00:00,2.28105263157895,1.44836666666667,5.91116666666667,7.92428333333333,30.5563333333333,"1b","1b","1b","1b","3b"
2026-01-02 13:00:00,2.75426785714286,1.72455,7.08761666666667,8.52223333333333,30.9816666666667,"1b","1b","1b","1b","3b"
2026-01-02 14:00:00,2.58055357142857,1.24761666666667,6.07606666666667,8.43786666666667,31.6183333333333,"1b","1b","1b","1b","3b"
2026-01-02 15:00:00,2.72655172413793,0.92815,8.27563333333333,10.6403666666667,28.9868333333333,"1b","1b","1b","1b","3b"
2026-01-02 16:00:00,2.49551724137931,0.8398,9.13213333333333,11.6456,27.2493333333333,"1b","1b","1b","1b","3b"
2026-01-02 17:00:00,2.68303389830508,1.59995,8.51588333333333,10.4682166666667,28.1360833333333,"1b","1b","1b","1b","3b"
2026-01-02 18:00:00,2.6138,1.11701666666667,10.3924333333333,12.7286166666667,24.4306666666667,"1b","1b","1b","1b","3b"
2026-01-02 19:00:00,2.61828070175439,1.91461666666667,13.75485,15.94015,20.2713333333333,"1b","1b","1b","1b","3b"
2026-01-02 20:00:00,2.47205454545455,0.570183333333333,9.44771666666667,12.3591666666667,20.887,"1b","1b","1b","1b","3b"
2026-01-02 21:00:00,2.65552727272727,0.403233333333333,7.8191,10.5476666666667,23.4065,"1b","1b","1b","1b","3b"
2026-01-02 22:00:00,2.80294444444444,0.811783333333333,8.27761666666667,10.3826833333333,23.3015,"1b","1b","1b","1b","3b"
2026-01-02 23:00:00,2.48110526315789,0.2019,3.69411666666667,5.87931666666667,27.8826666666667,"1b","1b","1b","1b","3b"
2026-01-03,2.53433333333333,0.121566666666667,1.05168333333333,3.84163333333333,30.7883333333333,"1b","1b","1b","1b","3b"
2026-01-03 01:00:00,2.30343103448276,0.106933333333333,0.649466666666667,3.42479310344828,32.258275862069,"1b","1b","1b","1b","3b"
2026-01-03 02:00:00,2.41012280701754,0.0920166666666667,0.903966666666667,3.2876,32.6131666666667,"1b","1b","1b","1b","3b"
2026-01-03 03:00:00,2.27744827586207,0.109033333333333,0.87385,3.16628333333333,34.1763333333333,"1b","1b","1b","1b","3b"
2026-01-03 04:00:00,2.38711538461538,0.1568,1.47395,3.76901666666667,33.593,"1b","1b","1b","1b","3b"
2026-01-03 05:00:00,2.2524406779661,0.0735166666666667,1.38106666666667,3.70958333333333,33.7998333333333,"1b","1b","1b","1b","3b"
2026-01-03 06:00:00,2.38455357142857,0.218916666666667,3.29701666666667,5.93866666666667,30.9066666666667,"1b","1b","1b","1b","3b"
2026-01-03 07:00:00,2.67966037735849,0.3615,5.38718333333333,8.03038333333333,29.5555,"1b","1b","1b","1b","3b"
2026-01-03 08:00:00,2.51434482758621,0.986483333333333,6.45333333333333,8.32611666666667,29.8563333333333,"1b","1b","1b","1b","3b"
2026-01-03 09:00:00,2.35520338983051,0.951616666666667,6.42013333333333,8.56335,29.6773333333333,"1b","1b","1b","1b","3b"
2026-01-03 10:00:00,2.30856363636364,1.00536666666667,4.60478333333333,6.66173333333333,31.7266666666667,"1b","1b","1b","1b","3b"
2026-01-03 11:00:00,2.44894642857143,0.977033333333333,4.06318333333333,6.03376666666667,32.8443333333333,"1b","1b","1b","1b","3b"
2026-01-03 12:00:00,2.4721724137931,1.14021666666667,4.18461666666667,6.13941666666667,32.1971666666667,"1b","1b","1b","1b","3b"
2026-01-03 13:00:00,2.48270175438596,0.939016666666667,4.08065,5.90076666666667,32.2283333333333,"1b","1b","1b","1b","3b"
2026-01-03 14:00:00,2.47883333333333,0.67285,3.89911666666667,6.30856666666667,32.0788333333333,"1b","1b","1b","1b","3b"
2026-01-03 15:00:00,2.54224137931034,0.501866666666667,4.67526666666667,7.20145,30.887,"1b","1b","1b","1b","3b"
2026-01-03 16:00:00,2.43825862068966,0.312316666666667,8.31175,11.7351,24.7243333333333,"1b","1b","1b","1b","3b"
2026-01-03 17:00:00,2.28235,0.314516666666667,8.45313333333333,11.5384333333333,24.5848333333333,"1b","1b","1b","1b","3b"
2026-01-03 18:00:00,2.35635714285714,0.841716666666667,10.2051666666667,12.8720833333333,23.4881666666667,"1b","1b","1b","1b","3b"
2026-01-03 19:00:00,2.60123636363636,0.439066666666667,9.33563333333333,12.0965,23.6316666666667,"1b","1b","1b","1b","3b"
2026-01-03 20:00:00,2.72536666666667,0.374333333333333,8.4399,11.0575333333333,24.675,"1b","1b","1b","1b","3b"
2026-01-03 21:00:00,2.52491228070175,0.27155,7.26611666666667,9.61903333333333,26.0106666666667,"1b","1b","1b","1b","3b"
2026-01-03 22:00:00,2.68115517241379,0.393983333333333,8.72801666666667,10.9364166666667,23.8403333333333,"1b","1b","1b","1b","3b"
2026-01-03 23:00:00,2.55310909090909,0.292566666666667,8.14796666666667,10.7076666666667,22.8558333333333,"1b","1b","1b","1b","3b"
2026-01-04,2.62135087719298,0.291083333333333,9.0113,11.6135333333333,20.889,"1b","1b","1b","1b","3b"
2026-01-04 01:00:00,2.56572413793103,0.180616666666667,5.58853333333333,7.08665517241379,26.7403448275862,"1b","1b","1b","1b","3b"
2026-01-04 02:00:00,2.48903448275862,0.154316666666667,4.44108333333333,6.9706,25.881,"1b","1b","1b","1b","3b"
2026-01-04 03:00:00,2.38077586206897,0.184866666666667,3.99108333333333,6.37616666666667,26.0391666666667,"1b","1b","1b","1b","3b"
2026-01-04 04:00:00,2.28230909090909,0.4255,3.86941666666667,6.42473333333333,25.421,"1b","1b","1b","4b","3b"
2026-01-04 05:00:00,2.37336363636364,0.38195,5.2801,7.44506666666667,22.6958333333333,"1b","1b","1b","4b","3b"
2026-01-04 06:00:00,2.31579245283019,0.1974,3.38513333333333,5.9439,24.7751666666667,"1b","1b","1b","4b","3b"
2026-01-04 07:00:00,2.30825,0.32795,6.81611666666667,10.2347833333333,17.516,"1b","1b","1b","4b","3b"
2026-01-04 08:00:00,2.30174137931034,0.706616666666667,9.03651666666667,11.35705,18.6596666666667,"1b","1b","1b","4b","3b"
2026-01-04 09:00:00,2.31429824561404,0.840433333333333,6.30541666666667,8.69126666666667,24.0035,"1b","1b","1b","4b","3b"
2026-01-04 10:00:00,2.45455357142857,1.22458333333333,5.73735,7.66648333333333,27.7113333333333,"1b","1b","1b","4b","3b"
2026-01-04 11:00:00,2.36547368421053,1.5285,5.78331666666667,7.47263333333333,28.8596666666667,"1b","1b","1b","1b","3b"
2026-01-04 12:00:00,2.59802,1.81431666666667,6.95411666666667,8.19181666666667,27.9645,"1b","1b","1b","1b","3b"
2026-01-04 13:00:00,2.5446,1.14168333333333,4.65853333333333,6.7361,31.5058333333333,"1b","1b","1b","1b","3b"
2026-01-04 14:00:00,2.51886206896552,1.20763333333333,5.52086666666667,7.36896666666667,30.0816666666667,"1b","1b","1b","1b","3b"
2026-01-04 15:00:00,2.61310526315789,1.32728333333333,8.69966666666667,11.121,25.7240666666667,"1b","1b","1b","1b","3b"
2026-01-04 16:00:00,2.53752631578947,4.51805,21.9432166666667,23.0047333333333,12.3194833333333,"1b","1b","1b","1b","3b"
