"date..UTC.0.","Al_Flags","Al_Concentration..ng.m3.","Al_Concentration.Uncertainty..ng.m3.","Si_Flags","Si_Concentration..ng.m3.","Si_Concentration.Uncertainty..ng.m3.","P_Flags","P_Concentration..ng.m3.","P_Concentration.Uncertainty..ng.m3.","S_Flags","S_Concentration..ng.m3.","S_Concentration.Uncertainty..ng.m3.","Cl_Flags","Cl_Concentration..ng.m3.","Cl_Concentration.Uncertainty..ng.m3.","K_Flags","K_Concentration..ng.m3.","K_Concentration.Uncertainty..ng.m3.","Ca_Flags","Ca_Concentration..ng.m3.","Ca_Concentration.Uncertainty..ng.m3.","Ti_Flags","Ti_Concentration..ng.m3.","Ti_Concentration.Uncertainty..ng.m3.","V_Flags","V_Concentration..ng.m3.","V_Concentration.Uncertainty..ng.m3.","Cr_Flags","Cr_Concentration..ng.m3.","Cr_Concentration.Uncertainty..ng.m3.","Mn_Flags","Mn_Concentration..ng.m3.","Mn_Concentration.Uncertainty..ng.m3.","Fe_Flags","Fe_Concentration..ng.m3.","Fe_Concentration.Uncertainty..ng.m3.","Co_Flags","Co_Concentration..ng.m3.","Co_Concentration.Uncertainty..ng.m3.","Ni_Flags","Ni_Concentration..ng.m3.","Ni_Concentration.Uncertainty..ng.m3.","Cu_Flags","Cu_Concentration..ng.m3.","Cu_Concentration.Uncertainty..ng.m3.","Zn_Flags","Zn_Concentration..ng.m3.","Zn_Concentration.Uncertainty..ng.m3.","Ga_Flags","Ga_Concentration..ng.m3.","Ga_Concentration.Uncertainty..ng.m3.","Ge_Flags","Ge_Concentration..ng.m3.","Ge_Concentration.Uncertainty..ng.m3.","As_Flags","As_Concentration..ng.m3.","As_Concentration.Uncertainty..ng.m3.","Se_Flags","Se_Concentration..ng.m3.","Se_Concentration.Uncertainty..ng.m3.","Br_Flags","Br_Concentration..ng.m3.","Br_Concentration.Uncertainty..ng.m3.","Sr_Flags","Sr_Concentration..ng.m3.","Sr_Concentration.Uncertainty..ng.m3.","Y_Flags","Y_Concentration..ng.m3.","Y_Concentration.Uncertainty..ng.m3.","Zr_Flags","Zr_Concentration..ng.m3.","Zr_Concentration.Uncertainty..ng.m3.","Mo_Flags","Mo_Concentration..ng.m3.","Mo_Concentration.Uncertainty..ng.m3.","Pd_Flags","Pd_Concentration..ng.m3.","Pd_Concentration.Uncertainty..ng.m3.","Ag_Flags","Ag_Concentration..ng.m3.","Ag_Concentration.Uncertainty..ng.m3.","Cd_Flags","Cd_Concentration..ng.m3.","Cd_Concentration.Uncertainty..ng.m3.","In_Flags","In_Concentration..ng.m3.","In_Concentration.Uncertainty..ng.m3.","Sn_Flags","Sn_Concentration..ng.m3.","Sn_Concentration.Uncertainty..ng.m3.","Sb_Flags","Sb_Concentration..ng.m3.","Sb_Concentration.Uncertainty..ng.m3.","Te_Flags","Te_Concentration..ng.m3.","Te_Concentration.Uncertainty..ng.m3.","Ba_Flags","Ba_Concentration..ng.m3.","Ba_Concentration.Uncertainty..ng.m3.","La_Flags","La_Concentration..ng.m3.","La_Concentration.Uncertainty..ng.m3.","Ce_Flags","Ce_Concentration..ng.m3.","Ce_Concentration.Uncertainty..ng.m3.","Pt_Flags","Pt_Concentration..ng.m3.","Pt_Concentration.Uncertainty..ng.m3.","Hg_Flags","Hg_Concentration..ng.m3.","Hg_Concentration.Uncertainty..ng.m3.","Tl_Flags","Tl_Concentration..ng.m3.","Tl_Concentration.Uncertainty..ng.m3.","Pb_Flags","Pb_Concentration..ng.m3.","Pb_Concentration.Uncertainty..ng.m3.","Bi_Flags","Bi_Concentration..ng.m3.","Bi_Concentration.Uncertainty..ng.m3.","PM.size.fraction"
"2021-08-01 10:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-01 11:00:00","E: Uncertainty",325.1323,582.1579,NA,0,0,"E: Uncertainty",3.7639,28.2584,NA,412.5136,24.1462,NA,10.7449,7.8509,NA,22.2803,3.409,NA,19.3361,2.5696,"E: Uncertainty",0.308,0.9941,NA,0,0,NA,0,0,NA,0,0,NA,34.3653,1.9016,"E: Uncertainty",0.1021,0.6019,"E: Uncertainty",0.0772,0.4738,NA,1.4696,0.5,NA,3.0902,0.5008,NA,0,0,NA,0,0,"E: Uncertainty",0.1629,0.3498,"E: Uncertainty",0.1743,0.4007,NA,1.1213,0.5791,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",7.2313,8.8577,"E: Uncertainty",0.3751,11.7817,NA,0,0,NA,0,0,"E: Uncertainty",1.4413,25.4263,"E: Uncertainty",2.1142,31.6256,NA,0,0,"E: Uncertainty",1.1885,2.7109,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"PM2.5"
"2021-08-01 12:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-01 13:00:00","E: Uncertainty",470.7609,591.7334,NA,0,0,NA,0,0,NA,722.745,33.5449,NA,0,0,NA,24.4246,3.563,NA,20.7059,2.6664,"E: Uncertainty",1.0266,1.0402,NA,0,0,NA,0,0,NA,0,0,NA,50.5426,2.4119,"E: Uncertainty",0.0466,0.6126,NA,0,0,NA,2.7302,0.5481,NA,5.692,0.5963,NA,0,0,NA,0,0,NA,1.3642,0.3978,"E: Uncertainty",0.0462,0.4122,NA,1.2564,0.5953,"E: Uncertainty",0.8172,1.5266,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",3.3583,9.018,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",1.6837,32.1152,"E: Uncertainty",18.0036,44.4481,"E: Uncertainty",0.735,2.7812,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,3.538,0.8314,NA,0,0,"PM2.5"
"2021-08-01 14:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-01 15:00:00","E: Uncertainty",231.6117,573.6621,NA,0,0,NA,0,0,NA,515.9604,26.9501,NA,0,0,NA,18.2821,3.3081,NA,17.6941,2.5262,"E: Uncertainty",0.4892,0.9957,"E: Uncertainty",0.2599,0.7361,NA,0,0,NA,0,0,NA,44.1577,2.2023,NA,0,0,NA,0,0,NA,1.4022,0.494,NA,3.0211,0.503,NA,0,0,NA,0,0,NA,1.1693,0.3829,"E: Uncertainty",0.2434,0.3982,NA,1.0215,0.5723,"E: Uncertainty",0.006,1.4734,NA,0,0,NA,0,0,NA,0,0,NA,15.9631,9.0417,NA,0,0,"E: Uncertainty",8.3393,13.4324,NA,0,0,"E: Uncertainty",4.5487,25.4534,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1.456,0.7606,NA,0,0,"PM2.5"
"2021-08-01 16:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-01 17:00:00","E: Uncertainty",553.0566,605.2966,NA,0,0,NA,0,0,NA,381.0592,23.2054,NA,0,0,NA,23.3858,3.4151,NA,14.1187,2.4545,NA,1.0541,1.0124,"E: Uncertainty",0.0855,0.741,NA,0,0,NA,0,0,NA,47.8425,2.3301,NA,0,0,NA,0,0,NA,1.2984,0.4975,NA,4.4713,0.5489,NA,0,0,NA,0,0,NA,0.6433,0.3731,"E: Uncertainty",0.0899,0.4155,NA,1.1886,0.5906,"E: Uncertainty",0.461,1.5159,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",0.4208,8.8115,NA,15.7659,11.7488,"E: Uncertainty",0.2616,13.6325,NA,0,0,NA,0,0,"E: Uncertainty",7.039,31.8741,"E: Uncertainty",10.5766,43.9169,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"PM2.5"
"2021-08-01 18:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-01 19:00:00","E: Uncertainty",536.553,581.5031,NA,0,0,NA,0,0,NA,358.7214,22.4098,NA,0,0,NA,26.8123,3.517,NA,18.3717,2.5449,NA,2.5171,1.0402,NA,0,0,NA,0,0,NA,0,0,NA,42.4817,2.1478,"E: Uncertainty",0.0361,0.5874,NA,0,0,NA,1.6201,0.4882,NA,5.5327,0.5712,NA,0,0,NA,0,0,NA,0.554,0.3573,NA,0,0,NA,0.9527,0.5781,"E: Uncertainty",0.5048,1.4932,NA,0,0,NA,0,0,NA,0,0,NA,12.7555,8.7935,NA,0,0,"E: Uncertainty",3.6247,13.363,NA,0,0,NA,0,0,"E: Uncertainty",3.0157,31.123,"E: Uncertainty",0.435,42.653,NA,0,0,NA,0.0154,5e-04,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"PM2.5"
